ID_REF	symp_1_VALUE
AFFX-TrpnX-M_at	3.9
AFFX-TrpnX-5_at	5.3
AFFX-TrpnX-3_at	1.8
AFFX-ThrX-M_at	4.2
AFFX-ThrX-5_at	4.5
AFFX-ThrX-3_at	9.4
AFFX-r2-P1-cre-5_at	14149.9
AFFX-r2-P1-cre-3_at	17786.2
AFFX-r2-Hs28SrRNA-M_at	101.6
AFFX-r2-Hs28SrRNA-5_at	92.9
AFFX-r2-Hs28SrRNA-3_at	195
AFFX-r2-Hs18SrRNA-M_x_at	86.8
AFFX-r2-Hs18SrRNA-5_at	96.7
AFFX-r2-Hs18SrRNA-3_s_at	136.3
AFFX-r2-Ec-bioD-5_at	4314.1
AFFX-r2-Ec-bioD-3_at	4226.8
AFFX-r2-Ec-bioC-5_at	943.8
AFFX-r2-Ec-bioC-3_at	1136.5
AFFX-r2-Ec-bioB-M_at	594.7
AFFX-r2-Ec-bioB-5_at	285.5
AFFX-r2-Ec-bioB-3_at	372.3
AFFX-r2-Bs-thr-M_s_at	30.8
AFFX-r2-Bs-thr-5_s_at	54.4
AFFX-r2-Bs-thr-3_s_at	3.4
AFFX-r2-Bs-phe-M_at	10.2
AFFX-r2-Bs-phe-5_at	10.5
AFFX-r2-Bs-phe-3_at	15.6
AFFX-r2-Bs-lys-M_at	14.5
AFFX-r2-Bs-lys-5_at	1.5
AFFX-r2-Bs-lys-3_at	16.9
AFFX-r2-Bs-dap-M_at	2.7
AFFX-r2-Bs-dap-5_at	2.5
AFFX-r2-Bs-dap-3_at	6.5
AFFX-PheX-M_at	2.6
AFFX-PheX-5_at	3.1
AFFX-PheX-3_at	30.1
AFFX-M27830_M_at	564.4
AFFX-M27830_5_at	327.4
AFFX-M27830_3_at	18.1
AFFX-LysX-M_at	4.3
AFFX-LysX-5_at	1.7
AFFX-LysX-3_at	3.6
AFFX-HUMRGE/M10098_M_at	102.1
AFFX-HUMRGE/M10098_5_at	88.3
AFFX-HUMRGE/M10098_3_at	182.2
AFFX-HUMISGF3A/M97935_MB_at	144.3
AFFX-HUMISGF3A/M97935_MA_at	22.7
AFFX-HUMISGF3A/M97935_5_at	17.7
AFFX-HUMISGF3A/M97935_3_at	323.2
AFFX-HUMGAPDH/M33197_M_at	2398
AFFX-HUMGAPDH/M33197_5_at	2269.4
AFFX-HUMGAPDH/M33197_3_at	3251.5
AFFX-hum_alu_at	16359.5
AFFX-HSAC07/X00351_M_at	4509.5
AFFX-HSAC07/X00351_5_at	3374.7
AFFX-HSAC07/X00351_3_at	8086.7
AFFX-DapX-M_at	41.7
AFFX-DapX-5_at	2.5
AFFX-DapX-3_at	1.5
AFFX-CreX-5_at	8158.3
AFFX-CreX-3_at	12452.8
AFFX-BioDn-5_at	666.8
AFFX-BioDn-3_at	3662.7
AFFX-BioC-5_at	866
AFFX-BioC-3_at	738
AFFX-BioB-M_at	716.5
AFFX-BioB-5_at	203.8
AFFX-BioB-3_at	262.3
91952_at	11.3
91920_at	152.6
91826_at	16.9
91816_f_at	54.2
91703_at	11.1
91684_g_at	59
91682_at	140
91617_at	26.5
91580_at	16.2
90610_at	305.5
90265_at	461
89977_at	46.4
89948_at	62.3
89476_r_at	82.5
87100_at	20.8
823_at	41.3
81811_at	118.9
81737_at	21.7
79005_at	122.8
78495_at	71.1
78383_at	178.5
78330_at	37.6
78047_s_at	351.6
77508_r_at	279.3
76897_s_at	17.2
74694_s_at	87.8
71933_at	388.9
66053_at	36.1
65884_at	102.1
65770_at	101.6
65718_at	42.9
65635_at	261
65630_at	61.8
65591_at	175.2
65588_at	56.4
65585_at	53.8
65521_at	172.9
65517_at	60.1
65493_at	33.6
65472_at	43.8
65438_at	32.3
65133_i_at	4.9
65086_at	49.4
64942_at	198.4
64900_at	20.8
64899_at	23.2
64883_at	238.2
64488_at	46.4
64486_at	128.1
64474_g_at	17.9
64440_at	182.1
64438_at	90.2
64432_at	50.3
64418_at	293.1
64408_s_at	29.9
64371_at	84.9
64064_at	556.3
63825_at	76.6
635_s_at	50
63305_at	58.3
632_at	194.4
63009_at	96.7
62987_r_at	89.6
62212_at	90.7
61874_at	158.7
61734_at	55.5
61732_r_at	0.6
61297_at	11.1
60815_at	24.6
60794_f_at	24.7
60528_at	263.6
60474_at	30.2
60471_at	238.8
60084_at	22.2
59999_at	52.6
59705_at	56.1
59697_at	47.8
59644_at	79.2
59631_at	36.8
59625_at	9.6
59437_at	22.3
59433_at	67.4
59375_at	136.8
58994_at	34.2
58916_at	36.6
58900_at	355.2
58780_s_at	202.8
58696_at	38.5
58367_s_at	267.6
58308_at	41.5
57739_at	181.1
57715_at	130.5
57703_at	64.2
57588_at	34.8
57540_at	4.8
57539_at	58.5
57532_at	44.3
57516_at	60.4
57163_at	234.8
57082_at	416.9
56919_at	130.2
56829_at	214.3
56821_at	87.6
56748_at	45.7
564_at	61.2
56256_at	450.1
56197_at	903.3
55872_at	44.4
55705_at	2245.7
55692_at	98.8
55662_at	41.7
55616_at	154.2
55583_at	63.8
55093_at	175.3
55081_at	65.1
55065_at	78.4
54970_at	152.4
54632_at	74
54051_at	11.1
54037_at	4.9
53991_at	26.3
53987_at	54.2
53968_at	102
53912_at	258.8
53720_at	89
53202_at	47.7
53076_at	39.6
53071_s_at	72.4
52975_at	88.6
52940_at	182.6
52837_at	9.8
