ID_REF	control_2_VALUE
AFFX-TrpnX-M_at	10.8
AFFX-TrpnX-5_at	46
AFFX-TrpnX-3_at	8
AFFX-ThrX-M_at	81.2
AFFX-ThrX-5_at	10.7
AFFX-ThrX-3_at	8.6
AFFX-r2-P1-cre-5_at	34483.7
AFFX-r2-P1-cre-3_at	43534.4
AFFX-r2-Hs28SrRNA-M_at	96.4
AFFX-r2-Hs28SrRNA-5_at	144.4
AFFX-r2-Hs28SrRNA-3_at	311.8
AFFX-r2-Hs18SrRNA-M_x_at	188
AFFX-r2-Hs18SrRNA-5_at	265
AFFX-r2-Hs18SrRNA-3_s_at	357.1
AFFX-r2-Ec-bioD-5_at	11161.1
AFFX-r2-Ec-bioD-3_at	9157.5
AFFX-r2-Ec-bioC-5_at	2270.7
AFFX-r2-Ec-bioC-3_at	2293.7
AFFX-r2-Ec-bioB-M_at	1833.1
AFFX-r2-Ec-bioB-5_at	375.6
AFFX-r2-Ec-bioB-3_at	735.7
AFFX-r2-Bs-thr-M_s_at	74.2
AFFX-r2-Bs-thr-5_s_at	140.2
AFFX-r2-Bs-thr-3_s_at	7.8
AFFX-r2-Bs-phe-M_at	27.6
AFFX-r2-Bs-phe-5_at	58.7
AFFX-r2-Bs-phe-3_at	23.2
AFFX-r2-Bs-lys-M_at	54.1
AFFX-r2-Bs-lys-5_at	28.5
AFFX-r2-Bs-lys-3_at	13.9
AFFX-r2-Bs-dap-M_at	8.6
AFFX-r2-Bs-dap-5_at	3.8
AFFX-r2-Bs-dap-3_at	17.7
AFFX-PheX-M_at	4.4
AFFX-PheX-5_at	15.5
AFFX-PheX-3_at	28.7
AFFX-M27830_M_at	737.6
AFFX-M27830_5_at	208.2
AFFX-M27830_3_at	24.3
AFFX-LysX-M_at	21.1
AFFX-LysX-5_at	6.8
AFFX-LysX-3_at	5.3
AFFX-HUMRGE/M10098_M_at	141.5
AFFX-HUMRGE/M10098_5_at	173.1
AFFX-HUMRGE/M10098_3_at	249.3
AFFX-HUMISGF3A/M97935_MB_at	75.5
AFFX-HUMISGF3A/M97935_MA_at	26.2
AFFX-HUMISGF3A/M97935_5_at	5.9
AFFX-HUMISGF3A/M97935_3_at	160.1
AFFX-HUMGAPDH/M33197_M_at	2354.3
AFFX-HUMGAPDH/M33197_5_at	1763.3
AFFX-HUMGAPDH/M33197_3_at	3922.2
AFFX-hum_alu_at	25181.7
AFFX-HSAC07/X00351_M_at	5889
AFFX-HSAC07/X00351_5_at	3205.2
AFFX-HSAC07/X00351_3_at	12330.7
AFFX-DapX-M_at	99.5
AFFX-DapX-5_at	17.6
AFFX-DapX-3_at	5.7
AFFX-CreX-5_at	14627.9
AFFX-CreX-3_at	21139.3
AFFX-BioDn-5_at	1095
AFFX-BioDn-3_at	8896.3
AFFX-BioC-5_at	1658
AFFX-BioC-3_at	1357.1
AFFX-BioB-M_at	1660.1
AFFX-BioB-5_at	350.9
AFFX-BioB-3_at	639.9
91952_at	65.1
91920_at	132.8
91826_at	37.5
91816_f_at	52.2
91703_at	29.1
91684_g_at	135.5
91682_at	216.2
91617_at	11.2
