ID_REF	control_12_VALUE
AFFX-TrpnX-M_at	3.5
AFFX-TrpnX-5_at	33.4
AFFX-TrpnX-3_at	2.3
AFFX-ThrX-M_at	23
AFFX-ThrX-5_at	3.3
AFFX-ThrX-3_at	39.3
AFFX-r2-P1-cre-5_at	28600.5
AFFX-r2-P1-cre-3_at	40509
AFFX-r2-Hs28SrRNA-M_at	115.1
AFFX-r2-Hs28SrRNA-5_at	122.1
AFFX-r2-Hs28SrRNA-3_at	341.1
AFFX-r2-Hs18SrRNA-M_x_at	149.6
AFFX-r2-Hs18SrRNA-5_at	210.7
AFFX-r2-Hs18SrRNA-3_s_at	280.7
AFFX-r2-Ec-bioD-5_at	5965.6
AFFX-r2-Ec-bioD-3_at	6814.7
AFFX-r2-Ec-bioC-5_at	1978.9
AFFX-r2-Ec-bioC-3_at	2063.9
AFFX-r2-Ec-bioB-M_at	1294.5
AFFX-r2-Ec-bioB-5_at	711.3
AFFX-r2-Ec-bioB-3_at	616.3
AFFX-r2-Bs-thr-M_s_at	6.9
AFFX-r2-Bs-thr-5_s_at	41.5
AFFX-r2-Bs-thr-3_s_at	3.9
AFFX-r2-Bs-phe-M_at	17.3
AFFX-r2-Bs-phe-5_at	5.8
AFFX-r2-Bs-phe-3_at	10.3
AFFX-r2-Bs-lys-M_at	16.1
AFFX-r2-Bs-lys-5_at	3.1
AFFX-r2-Bs-lys-3_at	34.5
AFFX-r2-Bs-dap-M_at	9.6
AFFX-r2-Bs-dap-5_at	2
AFFX-r2-Bs-dap-3_at	2.4
AFFX-PheX-M_at	2.5
AFFX-PheX-5_at	1.9
AFFX-PheX-3_at	79.2
AFFX-M27830_M_at	536
AFFX-M27830_5_at	526.7
AFFX-M27830_3_at	39.9
AFFX-LysX-M_at	11.5
AFFX-LysX-5_at	2.6
AFFX-LysX-3_at	4
AFFX-HUMRGE/M10098_M_at	103.4
AFFX-HUMRGE/M10098_5_at	182.9
AFFX-HUMRGE/M10098_3_at	265.3
AFFX-HUMISGF3A/M97935_MB_at	83.6
AFFX-HUMISGF3A/M97935_MA_at	136.1
AFFX-HUMISGF3A/M97935_5_at	15
AFFX-HUMISGF3A/M97935_3_at	229.1
AFFX-HUMGAPDH/M33197_M_at	2501.1
AFFX-HUMGAPDH/M33197_5_at	2401.4
AFFX-HUMGAPDH/M33197_3_at	3163.5
AFFX-hum_alu_at	31530.3
AFFX-HSAC07/X00351_M_at	6334.6
AFFX-HSAC07/X00351_5_at	3743.2
AFFX-HSAC07/X00351_3_at	8776.9
AFFX-DapX-M_at	36.9
AFFX-DapX-5_at	9.7
AFFX-DapX-3_at	6.7
AFFX-CreX-5_at	14999
AFFX-CreX-3_at	23998.7
AFFX-BioDn-5_at	840.6
AFFX-BioDn-3_at	7193.8
AFFX-BioC-5_at	1830.1
AFFX-BioC-3_at	1391.2
AFFX-BioB-M_at	1364.1
AFFX-BioB-5_at	471.5
AFFX-BioB-3_at	684.5
91952_at	40.8
91920_at	169.9
91826_at	52.5
91816_f_at	67.4
91703_at	15.1
91684_g_at	42.5
91682_at	211
91617_at	30.6
91580_at	14.2
90610_at	381.2
90265_at	496.4
89977_at	147.5
89948_at	48.6
89476_r_at	36.7
87100_at	42.6
823_at	99.8
81811_at	307.2
81737_at	12
79005_at	89.5
78495_at	101.9
78383_at	174.1
78330_at	58.9
78047_s_at	594.9
77508_r_at	284.5
76897_s_at	1.8
74694_s_at	130
71933_at	386.7
66053_at	35.1
65884_at	91.9
65770_at	66
65718_at	61.6
65635_at	346.4
65630_at	97.2
65591_at	213.1
65588_at	90.9
65585_at	74.4
65521_at	132.3
65517_at	24.1
65493_at	26.1
65472_at	30.8
65438_at	4.4
65133_i_at	5
65086_at	30.5
64942_at	169.5
64900_at	25.4
64899_at	92
64883_at	139.3
64488_at	56.2
64486_at	267
64474_g_at	64.8
64440_at	180.6
64438_at	51.5
64432_at	18.8
64418_at	295.5
64408_s_at	9
64371_at	69.5
64064_at	665.1
63825_at	122.9
635_s_at	23.5
63305_at	89.2
632_at	212
63009_at	135.3
62987_r_at	261.2
62212_at	114.9
61874_at	84.7
61734_at	17.7
61732_r_at	4.8
61297_at	12.9
60815_at	45.6
60794_f_at	64
60528_at	287.5
60474_at	37.7
60471_at	304.1
60084_at	7.4
59999_at	87.2
59705_at	73.3
59697_at	64.4
59644_at	61.9
59631_at	14.3
59625_at	6.9
59437_at	39.8
59433_at	79.7
59375_at	196.8
58994_at	15.1
58916_at	15.2
58900_at	519.2
58780_s_at	318.4
58696_at	18.8
58367_s_at	357.2
58308_at	85.3
57739_at	279.6
57715_at	139.6
57703_at	30.1
57588_at	48.3
57540_at	45.8
57539_at	82.8
57532_at	46.2
57516_at	21.8
57163_at	267.7
57082_at	441
56919_at	69.9
56829_at	340.7
56821_at	74.3
56748_at	59.6
564_at	131.2
56256_at	428
56197_at	1311.9
55872_at	34.4
55705_at	4755.2
55692_at	101.2
55662_at	70.1
55616_at	173.6
55583_at	81.5
55093_at	320.3
55081_at	68.9
55065_at	112.3
54970_at	197.7
54632_at	120.7
54051_at	51.6
54037_at	11.7
53991_at	11
53987_at	48.4
53968_at	188.3
53912_at	285.8
53720_at	92.7
53202_at	33.4
53076_at	57.8
53071_s_at	60.3
52975_at	137.2
52940_at	327.2
52837_at	38
52741_at	50.1
52731_at	59.1
52651_at	39.3
52285_f_at	7.7
52255_s_at	20.9
52169_at	379.8
52164_at	99.7
52159_at	33.1
52078_at	63.2
52005_at	99.9
51774_s_at	571.4
51228_at	22.1
51226_at	25.6
51200_at	77.3
51192_at	33.2
51176_at	107.1
51158_at	66.7
51146_at	44.5
50965_at	81.5
50400_at	52.7
50376_at	79.7
50374_at	154.3
50314_i_at	131.2
50277_at	613.4
50221_at	116.8
49878_at	343.7
49679_s_at	40.1
49485_at	103.5
49452_at	102.6
49329_at	200.6
49327_at	161.1
49306_at	22.9
49111_at	128.6
49077_at	141
49051_g_at	37.7
49049_at	22.2
48825_at	74
48808_at	9.5
48659_at	248.1
48612_at	789.8
48580_at	597.2
48531_at	206.7
48117_at	265.8
48106_at	154.5
48031_r_at	142.7
48030_i_at	641
47773_at	76.2
47608_at	233.6
47571_at	337.6
47560_at	60.7
47553_at	12.8
47550_at	52.9
47530_at	92.3
47105_at	147.2
47083_at	179.9
47069_at	151.1
46947_at	45.3
46665_at	74.9
46323_at	149.2
46270_at	141.1
46256_at	575.3
46167_at	61.4
46142_at	43.9
45828_at	191.4
45749_at	465.1
45714_at	67
45687_at	288.9
45653_at	8.5
45633_at	11.7
45572_s_at	529.8
45526_g_at	625.8
45297_at	21.4
45288_at	4.4
44822_s_at	27.9
44790_s_at	171.6
44783_s_at	129.7
44702_at	95.9
44696_at	142.3
44673_at	135.4
44669_at	57.5
44654_at	182.7
44617_at	225.8
44563_at	284.4
44146_at	267.5
44120_at	136.6
44111_at	171.8
44065_at	17.1
44040_at	25.8
43977_at	293.2
43934_at	67
43544_at	128.1
43511_s_at	332.2
43427_at	5.9
42361_g_at	8.8
41858_at	83.7
41856_at	163.4
41660_at	8.6
41657_at	30.2
41644_at	229.2
41577_at	22.7
41553_at	57.7
41512_at	126
41469_at	430.8
41397_at	38.3
41387_r_at	302.5
41386_i_at	248.6
41329_at	66.7
41220_at	2137.7
41160_at	140.8
41113_at	68.9
41047_at	166.9
41037_at	48.6
40850_at	316.6
40837_at	90.4
40829_at	324.5
40687_at	15.5
40665_at	10.3
40640_at	25.7
40612_at	20
40569_at	186.7
40562_at	27.2
40560_at	14.5
40524_at	10.1
40489_at	25.6
40472_at	9.9
40465_at	122.8
40446_at	751.1
40420_at	379
40359_at	277
40284_at	10.7
40273_at	28.4
40255_at	34.4
40225_at	396.8
40189_at	179.8
40149_at	64.3
40148_at	3.1
40093_at	111.5
40020_at	97.3
40016_g_at	147.3
39966_at	61.9
39891_at	67.4
39854_r_at	356
39835_at	12.5
39817_s_at	242.7
39763_at	29
39729_at	333.3
39705_at	145.2
39650_s_at	99
396_f_at	966.3
39582_at	78.3
39549_at	1.7
39548_at	38.3
39402_at	308
39318_at	115.6
39313_at	62.1
39249_at	33.5
39248_at	232.6
38964_r_at	3392.4
38918_at	77.1
38892_at	105.2
38766_at	64.8
38710_at	374.9
38707_r_at	671.7
38703_at	332.9
38691_s_at	17.8
38671_at	261.5
38521_at	181.5
38487_at	151.2
38447_at	302.6
38398_at	332.6
38340_at	206
38290_at	213
38269_at	533.6
38241_at	119
38158_at	113.7
38157_at	16.9
38149_at	387
38069_at	156.3
38043_at	21.9
38037_at	34.1
37996_s_at	68.9
37986_at	54.7
37966_at	127.9
37965_at	60.5
37953_s_at	61.2
37950_at	50.7
37943_at	85.8
37892_at	4.9
37872_at	149.7
37860_at	190.3
37831_at	111.5
37802_r_at	15.2
37796_at	238.2
37793_r_at	224.7
37652_at	135.7
37590_g_at	102.4
37586_at	95
37577_at	32.1
37566_at	39.3
37549_g_at	25.7
37547_at	3.9
37512_at	4.3
37462_i_at	121.1
37433_at	25.1
37425_g_at	27.4
37424_at	56.9
37408_at	139.2
37384_at	412.7
37278_at	249.9
37254_at	86.3
37232_at	82.2
37226_at	49.6
37201_at	72.3
37170_at	3.5
37152_at	133.7
37145_at	1816.2
37117_at	8
37079_at	10.8
37028_at	165.5
37022_at	90.9
37020_at	4.3
37012_at	1003.6
37005_at	112
37004_at	95.8
36994_at	1010.8
36936_at	122.5
36920_at	26.1
36907_at	1022.9
36888_at	314.1
36865_at	26.3
36830_at	8.8
36829_at	176.5
36742_at	31.5
36711_at	98.7
36612_at	11.6
36566_at	36.6
36564_at	406.8
36554_at	165.8
36553_at	148.9
36552_at	88.2
36545_s_at	120.2
36499_at	51.1
36475_at	90.4
36129_at	529.3
36084_at	143.3
36030_at	225.5
36019_at	284.9
36004_at	302.5
35974_at	123.2
35846_at	31.6
35820_at	87.5
35776_at	39.1
35685_at	164.7
35671_at	217.8
35666_at	167.2
35626_at	122.9
35617_at	47.1
35436_at	54.6
35265_at	8.5
35254_at	205
35201_at	467.4
35179_at	20.6
35160_at	83.5
35156_at	90.7
35150_at	429.5
35148_at	3.4
35147_at	208.1
34868_at	57
34858_at	265
34846_at	170.6
34764_at	74
