ID_REF	symp_10_VALUE
AFFX-TrpnX-M_at	3.2
AFFX-TrpnX-5_at	6.8
AFFX-TrpnX-3_at	2.4
AFFX-ThrX-M_at	15.5
AFFX-ThrX-5_at	4.8
AFFX-ThrX-3_at	11.1
AFFX-r2-P1-cre-5_at	12480.4
AFFX-r2-P1-cre-3_at	17602.1
AFFX-r2-Hs28SrRNA-M_at	72.1
AFFX-r2-Hs28SrRNA-5_at	61.3
AFFX-r2-Hs28SrRNA-3_at	185.2
AFFX-r2-Hs18SrRNA-M_x_at	80.7
AFFX-r2-Hs18SrRNA-5_at	96.5
AFFX-r2-Hs18SrRNA-3_s_at	115.4
AFFX-r2-Ec-bioD-5_at	3550.8
AFFX-r2-Ec-bioD-3_at	4458.9
AFFX-r2-Ec-bioC-5_at	782.9
AFFX-r2-Ec-bioC-3_at	995.7
AFFX-r2-Ec-bioB-M_at	575.8
AFFX-r2-Ec-bioB-5_at	286.7
AFFX-r2-Ec-bioB-3_at	253.6
AFFX-r2-Bs-thr-M_s_at	77
AFFX-r2-Bs-thr-5_s_at	81.8
AFFX-r2-Bs-thr-3_s_at	9.8
AFFX-r2-Bs-phe-M_at	9.7
AFFX-r2-Bs-phe-5_at	10.3
AFFX-r2-Bs-phe-3_at	5.1
AFFX-r2-Bs-lys-M_at	5.2
AFFX-r2-Bs-lys-5_at	1.5
AFFX-r2-Bs-lys-3_at	34.3
AFFX-r2-Bs-dap-M_at	20.5
AFFX-r2-Bs-dap-5_at	3.3
AFFX-r2-Bs-dap-3_at	9.8
AFFX-PheX-M_at	4.1
AFFX-PheX-5_at	13.4
AFFX-PheX-3_at	46.7
AFFX-M27830_M_at	101.5
AFFX-M27830_5_at	196.3
AFFX-M27830_3_at	27.6
AFFX-LysX-M_at	18
AFFX-LysX-5_at	9.2
AFFX-LysX-3_at	2.1
AFFX-HUMRGE/M10098_M_at	58.9
AFFX-HUMRGE/M10098_5_at	82.3
AFFX-HUMRGE/M10098_3_at	118.4
AFFX-HUMISGF3A/M97935_MB_at	84.6
AFFX-HUMISGF3A/M97935_MA_at	45.5
AFFX-HUMISGF3A/M97935_5_at	11.8
AFFX-HUMISGF3A/M97935_3_at	322.4
AFFX-HUMGAPDH/M33197_M_at	1870.9
AFFX-HUMGAPDH/M33197_5_at	2158.2
AFFX-HUMGAPDH/M33197_3_at	2771
AFFX-hum_alu_at	14500.9
AFFX-HSAC07/X00351_M_at	3471.6
AFFX-HSAC07/X00351_5_at	2270.4
AFFX-HSAC07/X00351_3_at	8200.9
AFFX-DapX-M_at	44.1
AFFX-DapX-5_at	28.5
AFFX-DapX-3_at	4.5
AFFX-CreX-5_at	7714.9
AFFX-CreX-3_at	11401.9
AFFX-BioDn-5_at	566.6
AFFX-BioDn-3_at	3549.7
AFFX-BioC-5_at	689.4
AFFX-BioC-3_at	600.4
AFFX-BioB-M_at	549.7
AFFX-BioB-5_at	144.6
AFFX-BioB-3_at	204.3
91952_at	66.3
91920_at	201
91826_at	17.8
91816_f_at	79.3
91703_at	16.1
91684_g_at	82
91682_at	160.7
91617_at	49.8
91580_at	63.6
90610_at	163
90265_at	384.5
89977_at	79.7
89948_at	64.5
89476_r_at	58.9
87100_at	16.3
823_at	85.1
81811_at	144.7
81737_at	12.3
79005_at	191.6
78495_at	106.4
78383_at	191.5
78330_at	12.6
78047_s_at	480.3
77508_r_at	335.4
76897_s_at	15
74694_s_at	71.8
71933_at	539
66053_at	64.7
65884_at	89.3
65770_at	26.6
65718_at	45.8
65635_at	327.8
65630_at	25.2
65591_at	108.9
65588_at	70.7
65585_at	81.7
65521_at	158.7
65517_at	110.7
65493_at	41.6
65472_at	46.3
65438_at	3.5
65133_i_at	38.6
65086_at	111.8
64942_at	197.4
64900_at	17.2
64899_at	152
64883_at	235.4
64488_at	50.2
64486_at	150.4
64474_g_at	50.2
64440_at	194.7
64438_at	108.1
64432_at	38.6
64418_at	282.1
64408_s_at	52.4
64371_at	128.7
64064_at	636.1
63825_at	49.6
635_s_at	64.6
63305_at	42.1
632_at	206.9
63009_at	148.9
62987_r_at	147.4
62212_at	98.7
61874_at	216.3
61734_at	34.2
61732_r_at	0.6
61297_at	7.5
60815_at	27.2
60794_f_at	41.6
60528_at	294.6
60474_at	33
60471_at	115.2
60084_at	17.6
59999_at	40.6
59705_at	61.1
59697_at	76.6
59644_at	120.7
59631_at	44.2
59625_at	12.8
59437_at	28.6
59433_at	55.4
59375_at	163.7
58994_at	50.2
58916_at	57
58900_at	301.1
58780_s_at	192.4
58696_at	23.6
58367_s_at	293.4
58308_at	41.6
57739_at	274.4
57715_at	157.8
57703_at	82.1
57588_at	53.9
57540_at	10.4
57539_at	77.8
57532_at	53.1
57516_at	72.2
57163_at	173.1
57082_at	488.3
56919_at	128.8
56829_at	279
56821_at	77.1
56748_at	37.6
564_at	72
56256_at	316.9
56197_at	1082.9
55872_at	19.5
55705_at	3610.5
55692_at	85.3
55662_at	54.7
55616_at	182.8
55583_at	78.9
55093_at	147.2
55081_at	55.1
55065_at	74.8
54970_at	224.6
54632_at	63.8
54051_at	39.7
54037_at	7.6
53991_at	10.5
53987_at	99.4
53968_at	125.5
53912_at	164.8
53720_at	103.8
53202_at	45.5
53076_at	59.2
53071_s_at	94.5
52975_at	45.4
52940_at	233.1
52837_at	72.9
52741_at	32.2
52731_at	40
52651_at	89.7
52285_f_at	18.1
52255_s_at	89
52169_at	298.8
52164_at	103.2
52159_at	47.9
52078_at	31.3
52005_at	24.8
51774_s_at	476.5
51228_at	23.1
51226_at	36.4
51200_at	112.7
51192_at	34.2
51176_at	76.2
51158_at	69.4
51146_at	46.3
50965_at	68.7
50400_at	44.6
50376_at	155.2
50374_at	76.5
50314_i_at	128.7
50277_at	488.3
50221_at	86.6
49878_at	445.2
49679_s_at	80.3
49485_at	104.6
49452_at	61.5
49329_at	84.3
49327_at	366.7
49306_at	55
49111_at	74.4
49077_at	172.6
49051_g_at	51.2
49049_at	44.6
48825_at	66
48808_at	57.8
48659_at	216.6
48612_at	674
48580_at	293
48531_at	159.4
48117_at	164.2
48106_at	133.8
48031_r_at	252.9
48030_i_at	690.1
47773_at	50.6
47608_at	229.5
47571_at	206.9
47560_at	65
47553_at	8.6
47550_at	27.5
47530_at	200.1
47105_at	103.2
47083_at	208.6
47069_at	79.5
46947_at	82.8
46665_at	83
46323_at	136.9
46270_at	184.8
46256_at	473.1
46167_at	34.2
46142_at	52.2
45828_at	136.2
45749_at	327.7
45714_at	87
45687_at	179.6
45653_at	12.7
45633_at	5.6
45572_s_at	349.7
45526_g_at	450.8
45297_at	18.8
45288_at	21.3
44822_s_at	55.7
44790_s_at	267.7
44783_s_at	171.7
44702_at	95.9
44696_at	167.7
44673_at	24.6
44669_at	91.4
44654_at	94.3
44617_at	231.5
44563_at	211.3
44146_at	221.8
44120_at	110.7
44111_at	112
44065_at	24.8
44040_at	97.8
43977_at	191.2
43934_at	160.4
43544_at	99
43511_s_at	200.4
43427_at	16.2
42361_g_at	14.5
41858_at	99.1
41856_at	223.8
41660_at	13.5
41657_at	94.5
41644_at	163.1
41577_at	68.2
41553_at	36.8
41512_at	117.1
41469_at	248.9
41397_at	22.7
41387_r_at	373.3
41386_i_at	129.2
41329_at	49.3
41220_at	1683.5
41160_at	25.1
41113_at	22.5
41047_at	110.4
41037_at	26.4
40850_at	200.1
40837_at	20.6
40829_at	164.8
40687_at	7.8
40665_at	18.8
40640_at	77.7
40612_at	75.4
40569_at	197.2
40562_at	63
40560_at	22
40524_at	19
40489_at	99.6
40472_at	8.6
40465_at	96.1
40446_at	330.1
40420_at	222.1
40359_at	263.4
40284_at	6.1
40273_at	18.2
40255_at	64.6
40225_at	259.7
40189_at	512.4
40149_at	168.7
40148_at	19.2
40093_at	55.1
40020_at	107.8
40016_g_at	108.7
39966_at	35.6
39891_at	135.3
39854_r_at	303
39835_at	12.9
39817_s_at	238.6
39763_at	48.2
39729_at	653.5
39705_at	126.3
39650_s_at	70.8
396_f_at	879.1
39582_at	162.5
39549_at	3.2
39548_at	35.5
39402_at	250.2
39318_at	220.8
39313_at	32.5
39249_at	10.8
39248_at	140.7
38964_r_at	2625.4
38918_at	53.5
38892_at	152.2
38766_at	55.7
38710_at	287.7
38707_r_at	456.7
38703_at	286.9
38691_s_at	104.7
38671_at	157.9
38521_at	129.1
38487_at	150.1
38447_at	438.1
38398_at	185.1
38340_at	132.8
38290_at	183.9
38269_at	295.6
38241_at	105.5
38158_at	74.3
38157_at	20.6
38149_at	250.7
38069_at	136.9
38043_at	7.7
38037_at	70.8
37996_s_at	90.3
37986_at	69.8
37966_at	86
37965_at	119
37953_s_at	113.2
37950_at	47.1
