ID_REF	control_14_VALUE
AFFX-TrpnX-M_at	4.6
AFFX-TrpnX-5_at	9.2
AFFX-TrpnX-3_at	28.7
AFFX-ThrX-M_at	28
AFFX-ThrX-5_at	6.4
AFFX-ThrX-3_at	8.7
AFFX-r2-P1-cre-5_at	42583.4
AFFX-r2-P1-cre-3_at	60596.1
AFFX-r2-Hs28SrRNA-M_at	102.9
AFFX-r2-Hs28SrRNA-5_at	241.8
AFFX-r2-Hs28SrRNA-3_at	382.8
AFFX-r2-Hs18SrRNA-M_x_at	183.5
AFFX-r2-Hs18SrRNA-5_at	153.6
AFFX-r2-Hs18SrRNA-3_s_at	204.1
AFFX-r2-Ec-bioD-5_at	9801.9
AFFX-r2-Ec-bioD-3_at	10938.3
AFFX-r2-Ec-bioC-5_at	3062.1
AFFX-r2-Ec-bioC-3_at	3233.8
AFFX-r2-Ec-bioB-M_at	1979.8
AFFX-r2-Ec-bioB-5_at	936.9
AFFX-r2-Ec-bioB-3_at	930.6
AFFX-r2-Bs-thr-M_s_at	11.4
AFFX-r2-Bs-thr-5_s_at	73.1
AFFX-r2-Bs-thr-3_s_at	13.9
AFFX-r2-Bs-phe-M_at	15.1
AFFX-r2-Bs-phe-5_at	2.5
AFFX-r2-Bs-phe-3_at	71.4
AFFX-r2-Bs-lys-M_at	51.6
AFFX-r2-Bs-lys-5_at	1.5
AFFX-r2-Bs-lys-3_at	30.5
AFFX-r2-Bs-dap-M_at	0.9
AFFX-r2-Bs-dap-5_at	4.8
AFFX-r2-Bs-dap-3_at	31.6
AFFX-PheX-M_at	17.1
AFFX-PheX-5_at	5.5
AFFX-PheX-3_at	27.6
AFFX-M27830_M_at	538.8
AFFX-M27830_5_at	425.7
AFFX-M27830_3_at	35.1
AFFX-LysX-M_at	53.5
AFFX-LysX-5_at	23.5
AFFX-LysX-3_at	37.8
AFFX-HUMRGE/M10098_M_at	115
AFFX-HUMRGE/M10098_5_at	223.2
AFFX-HUMRGE/M10098_3_at	273.4
AFFX-HUMISGF3A/M97935_MB_at	102.7
AFFX-HUMISGF3A/M97935_MA_at	99.6
AFFX-HUMISGF3A/M97935_5_at	6.6
AFFX-HUMISGF3A/M97935_3_at	187.6
AFFX-HUMGAPDH/M33197_M_at	2207.7
AFFX-HUMGAPDH/M33197_5_at	1804.6
AFFX-HUMGAPDH/M33197_3_at	2947.6
AFFX-hum_alu_at	39115
AFFX-HSAC07/X00351_M_at	5365
AFFX-HSAC07/X00351_5_at	3445.4
AFFX-HSAC07/X00351_3_at	10706.1
AFFX-DapX-M_at	46.7
AFFX-DapX-5_at	8.7
AFFX-DapX-3_at	4.5
AFFX-CreX-5_at	24170.7
AFFX-CreX-3_at	36539.4
AFFX-BioDn-5_at	1495.4
AFFX-BioDn-3_at	11506.1
AFFX-BioC-5_at	2667.7
AFFX-BioC-3_at	2266.7
AFFX-BioB-M_at	2540.6
AFFX-BioB-5_at	771.4
AFFX-BioB-3_at	962.4
91952_at	15.2
91920_at	101.9
91826_at	17.2
91816_f_at	72.9
91703_at	51.8
91684_g_at	97.2
91682_at	185.3
91617_at	6.9
91580_at	20.6
90610_at	311.5
90265_at	658.2
89977_at	119.1
89948_at	29.3
89476_r_at	120.1
87100_at	34.3
823_at	41.1
81811_at	218.3
81737_at	6.4
79005_at	187.3
78495_at	115.3
78383_at	168.1
78330_at	78.8
78047_s_at	613
77508_r_at	454.8
76897_s_at	5.6
74694_s_at	93.2
71933_at	479.3
66053_at	5.6
65884_at	159.4
65770_at	69.6
65718_at	75.7
65635_at	456.7
65630_at	66.3
65591_at	194.2
65588_at	47.7
65585_at	105.8
65521_at	200
65517_at	49.5
65493_at	28
65472_at	2.1
65438_at	1.8
65133_i_at	3.3
65086_at	39.4
64942_at	237.3
64900_at	7.5
64899_at	102.3
64883_at	190.5
64488_at	118.5
64486_at	258.5
64474_g_at	81.7
64440_at	236.2
64438_at	95.6
64432_at	3.6
64418_at	227.8
64408_s_at	9
64371_at	95.6
64064_at	812.3
63825_at	110.5
635_s_at	43.4
63305_at	152.1
632_at	296.6
63009_at	130.1
62987_r_at	251.3
62212_at	95.1
61874_at	435.4
61734_at	16.5
61732_r_at	1.8
61297_at	42.6
60815_at	26.1
60794_f_at	43.3
60528_at	294.8
60474_at	10
60471_at	321.1
60084_at	7.8
59999_at	63.7
59705_at	61.6
59697_at	23
59644_at	65.6
59631_at	18.8
