ID_REF	symp_4_VALUE
AFFX-TrpnX-M_at	3
AFFX-TrpnX-5_at	10.1
AFFX-TrpnX-3_at	3
AFFX-ThrX-M_at	24.1
AFFX-ThrX-5_at	4.3
AFFX-ThrX-3_at	7.3
AFFX-r2-P1-cre-5_at	15404.7
AFFX-r2-P1-cre-3_at	17988.1
AFFX-r2-Hs28SrRNA-M_at	95.1
AFFX-r2-Hs28SrRNA-5_at	119.9
AFFX-r2-Hs28SrRNA-3_at	271.8
AFFX-r2-Hs18SrRNA-M_x_at	150
AFFX-r2-Hs18SrRNA-5_at	167.1
AFFX-r2-Hs18SrRNA-3_s_at	181.7
AFFX-r2-Ec-bioD-5_at	3778.4
AFFX-r2-Ec-bioD-3_at	4295.2
AFFX-r2-Ec-bioC-5_at	821
AFFX-r2-Ec-bioC-3_at	1038.7
AFFX-r2-Ec-bioB-M_at	587
AFFX-r2-Ec-bioB-5_at	214.8
AFFX-r2-Ec-bioB-3_at	281.9
AFFX-r2-Bs-thr-M_s_at	17.5
AFFX-r2-Bs-thr-5_s_at	44.4
AFFX-r2-Bs-thr-3_s_at	5.2
AFFX-r2-Bs-phe-M_at	29.8
AFFX-r2-Bs-phe-5_at	1.7
AFFX-r2-Bs-phe-3_at	6.9
AFFX-r2-Bs-lys-M_at	7
AFFX-r2-Bs-lys-5_at	18
AFFX-r2-Bs-lys-3_at	9.1
AFFX-r2-Bs-dap-M_at	11.8
AFFX-r2-Bs-dap-5_at	1.8
AFFX-r2-Bs-dap-3_at	16.5
AFFX-PheX-M_at	3.6
AFFX-PheX-5_at	5.3
AFFX-PheX-3_at	67.7
AFFX-M27830_M_at	634.6
AFFX-M27830_5_at	385.8
AFFX-M27830_3_at	27.7
AFFX-LysX-M_at	18.7
AFFX-LysX-5_at	9.6
AFFX-LysX-3_at	3.1
AFFX-HUMRGE/M10098_M_at	76.8
AFFX-HUMRGE/M10098_5_at	113.7
AFFX-HUMRGE/M10098_3_at	231.5
AFFX-HUMISGF3A/M97935_MB_at	180.2
AFFX-HUMISGF3A/M97935_MA_at	137.9
AFFX-HUMISGF3A/M97935_5_at	5.6
AFFX-HUMISGF3A/M97935_3_at	698
AFFX-HUMGAPDH/M33197_M_at	1913.3
AFFX-HUMGAPDH/M33197_5_at	1756.6
AFFX-HUMGAPDH/M33197_3_at	2901.6
AFFX-hum_alu_at	17027.7
AFFX-HSAC07/X00351_M_at	3869.8
AFFX-HSAC07/X00351_5_at	3039.5
AFFX-HSAC07/X00351_3_at	8412.6
AFFX-DapX-M_at	57.7
AFFX-DapX-5_at	24.7
AFFX-DapX-3_at	2.4
AFFX-CreX-5_at	7889.6
AFFX-CreX-3_at	12703.7
AFFX-BioDn-5_at	627.9
AFFX-BioDn-3_at	3596.6
AFFX-BioC-5_at	812.1
AFFX-BioC-3_at	716.3
AFFX-BioB-M_at	593.4
AFFX-BioB-5_at	197.9
AFFX-BioB-3_at	244.9
91952_at	33.1
91920_at	215.3
91826_at	11.5
91816_f_at	42.7
91703_at	23.6
91684_g_at	78.5
91682_at	95.2
91617_at	32.1
91580_at	35.2
90610_at	311.6
90265_at	477
89977_at	49.9
89948_at	66.7
89476_r_at	130.9
87100_at	4.5
823_at	63.1
81811_at	139.1
81737_at	23.8
79005_at	162.7
78495_at	104.5
78383_at	204.5
78330_at	45.4
78047_s_at	434.6
77508_r_at	362
76897_s_at	16.6
74694_s_at	72.9
71933_at	444.5
66053_at	18.8
65884_at	75.7
65770_at	36.8
65718_at	45.7
65635_at	298.6
65630_at	47.7
65591_at	195
65588_at	65.6
65585_at	53.6
65521_at	170.6
65517_at	97.4
65493_at	58
65472_at	40.3
65438_at	3.5
65133_i_at	49.6
65086_at	24.4
64942_at	156.3
64900_at	2.2
64899_at	18
64883_at	174.8
64488_at	53.1
64486_at	168.1
64474_g_at	17.7
64440_at	226.7
64438_at	99.6
64432_at	24.3
64418_at	423.8
64408_s_at	36.1
64371_at	119.5
64064_at	764.4
63825_at	10.2
635_s_at	35.3
63305_at	31.9
632_at	260.2
63009_at	121.6
62987_r_at	113.5
62212_at	111.7
61874_at	224.7
