ID_REF	symp_5_VALUE
AFFX-TrpnX-M_at	3.9
AFFX-TrpnX-5_at	6.5
AFFX-TrpnX-3_at	3.1
AFFX-ThrX-M_at	17.7
AFFX-ThrX-5_at	5.4
AFFX-ThrX-3_at	5.6
AFFX-r2-P1-cre-5_at	18758.2
AFFX-r2-P1-cre-3_at	25435.7
AFFX-r2-Hs28SrRNA-M_at	45.6
AFFX-r2-Hs28SrRNA-5_at	107.6
AFFX-r2-Hs28SrRNA-3_at	180.3
AFFX-r2-Hs18SrRNA-M_x_at	125.2
AFFX-r2-Hs18SrRNA-5_at	129.7
AFFX-r2-Hs18SrRNA-3_s_at	141.2
AFFX-r2-Ec-bioD-5_at	5901.7
AFFX-r2-Ec-bioD-3_at	6327.3
AFFX-r2-Ec-bioC-5_at	1221.1
AFFX-r2-Ec-bioC-3_at	1513.6
AFFX-r2-Ec-bioB-M_at	1015.4
AFFX-r2-Ec-bioB-5_at	381.5
AFFX-r2-Ec-bioB-3_at	420.4
AFFX-r2-Bs-thr-M_s_at	10.2
AFFX-r2-Bs-thr-5_s_at	45.3
AFFX-r2-Bs-thr-3_s_at	6.1
AFFX-r2-Bs-phe-M_at	15.8
AFFX-r2-Bs-phe-5_at	1.3
AFFX-r2-Bs-phe-3_at	7.4
AFFX-r2-Bs-lys-M_at	15.3
AFFX-r2-Bs-lys-5_at	9.1
AFFX-r2-Bs-lys-3_at	22.1
AFFX-r2-Bs-dap-M_at	2.6
AFFX-r2-Bs-dap-5_at	1.7
AFFX-r2-Bs-dap-3_at	2.6
AFFX-PheX-M_at	3.9
AFFX-PheX-5_at	2.4
AFFX-PheX-3_at	21
AFFX-M27830_M_at	612.9
AFFX-M27830_5_at	279.8
AFFX-M27830_3_at	15.8
AFFX-LysX-M_at	5.7
AFFX-LysX-5_at	14.3
AFFX-LysX-3_at	5.1
AFFX-HUMRGE/M10098_M_at	94.7
AFFX-HUMRGE/M10098_5_at	131.1
AFFX-HUMRGE/M10098_3_at	176.1
AFFX-HUMISGF3A/M97935_MB_at	128
AFFX-HUMISGF3A/M97935_MA_at	92.2
AFFX-HUMISGF3A/M97935_5_at	34.8
AFFX-HUMISGF3A/M97935_3_at	418.2
AFFX-HUMGAPDH/M33197_M_at	2399.4
AFFX-HUMGAPDH/M33197_5_at	2350.6
AFFX-HUMGAPDH/M33197_3_at	3396.9
AFFX-hum_alu_at	20481
AFFX-HSAC07/X00351_M_at	4706.8
AFFX-HSAC07/X00351_5_at	3987.3
AFFX-HSAC07/X00351_3_at	11658.8
AFFX-DapX-M_at	30.4
AFFX-DapX-5_at	34.8
AFFX-DapX-3_at	3
AFFX-CreX-5_at	10532
AFFX-CreX-3_at	16233
AFFX-BioDn-5_at	739.6
AFFX-BioDn-3_at	5062.9
AFFX-BioC-5_at	1104.9
AFFX-BioC-3_at	1029.9
AFFX-BioB-M_at	1003.2
AFFX-BioB-5_at	257.9
AFFX-BioB-3_at	277.3
91952_at	49.9
91920_at	213.5
91826_at	13.4
91816_f_at	64
91703_at	8.4
91684_g_at	87.8
91682_at	163.2
91617_at	8.7
91580_at	85
90610_at	191.4
90265_at	404.6
89977_at	19.2
89948_at	81.7
89476_r_at	67.6
87100_at	4.3
823_at	87.7
81811_at	195
81737_at	18.6
79005_at	149.3
78495_at	104.4
78383_at	170.8
78330_at	53.9
78047_s_at	466.7
77508_r_at	409.7
76897_s_at	1.7
74694_s_at	77.6
71933_at	370.4
66053_at	46.2
65884_at	95
65770_at	193.1
65718_at	41.8
65635_at	318.4
65630_at	35.8
65591_at	223.3
65588_at	49.3
65585_at	71.3
65521_at	137
65517_at	92
65493_at	24.1
65472_at	38.7
65438_at	16.9
65133_i_at	34.5
65086_at	21.5
64942_at	194.2
64900_at	20.2
64899_at	86
64883_at	234.5
64488_at	65.6
64486_at	197.1
64474_g_at	67.4
64440_at	182.8
64438_at	110
64432_at	13.7
64418_at	324.4
64408_s_at	35.4
64371_at	88.8
64064_at	729
63825_at	52.1
635_s_at	106.1
63305_at	58.8
632_at	194.6
63009_at	104.6
62987_r_at	190.6
62212_at	129.3
61874_at	281.3
61734_at	14
61732_r_at	2.4
61297_at	7
60815_at	17.6
60794_f_at	33.3
60528_at	261.6
60474_at	29.6
60471_at	169
60084_at	9.3
59999_at	42.6
59705_at	41.9
59697_at	66.3
59644_at	87.4
59631_at	14.2
59625_at	11.2
59437_at	9.5
59433_at	61.9
59375_at	139.3
58994_at	67.1
58916_at	37.3
58900_at	412.1
58780_s_at	154.7
58696_at	29.9
58367_s_at	288.8
58308_at	40.1
57739_at	231.5
57715_at	116.7
57703_at	48.8
57588_at	49.4
57540_at	11.4
57539_at	90.3
57532_at	10.1
57516_at	41.8
57163_at	170.2
57082_at	385.8
56919_at	65.9
56829_at	307.1
56821_at	82.4
56748_at	38.4
564_at	88.8
56256_at	363
56197_at	1126.7
55872_at	50.1
55705_at	4198.9
55692_at	102.9
55662_at	28.5
55616_at	146.3
55583_at	69.9
55093_at	136
55081_at	55.1
55065_at	134
54970_at	195.7
54632_at	43
54051_at	30.8
54037_at	4.5
53991_at	8.8
53987_at	73.9
53968_at	153.1
53912_at	197.7
53720_at	84.5
53202_at	56.6
53076_at	45.1
53071_s_at	69.2
52975_at	83.8
52940_at	198.3
52837_at	41.4
52741_at	75.5
52731_at	5.8
52651_at	39.1
52285_f_at	1.1
52255_s_at	193.1
52169_at	377.2
52164_at	75.1
52159_at	9.4
52078_at	78.5
52005_at	89.1
51774_s_at	513.6
51228_at	24.1
51226_at	62.6
51200_at	83.5
51192_at	38.4
51176_at	72.5
51158_at	14.2
51146_at	50.5
50965_at	97.7
50400_at	51.9
50376_at	78.1
50374_at	111.2
50314_i_at	81.7
50277_at	663.2
50221_at	65.3
49878_at	559.8
49679_s_at	87.4
49485_at	125.5
49452_at	81.8
49329_at	142.7
49327_at	224
49306_at	8.4
49111_at	110.1
49077_at	149.5
49051_g_at	12
49049_at	18.6
48825_at	20.6
48808_at	52
48659_at	295.1
48612_at	793.7
48580_at	453.2
48531_at	167.1
48117_at	129
48106_at	196
48031_r_at	178.4
48030_i_at	978.7
47773_at	59.1
47608_at	183.2
47571_at	240.7
47560_at	58.7
47553_at	6.2
47550_at	6.7
47530_at	148.4
47105_at	108.2
47083_at	180.7
47069_at	92.8
46947_at	49.5
46665_at	85.2
46323_at	113.2
46270_at	128.8
46256_at	460.3
46167_at	10.2
46142_at	9.4
45828_at	172.8
45749_at	324.8
45714_at	21.5
45687_at	224.6
45653_at	24.3
45633_at	3.3
45572_s_at	447.1
45526_g_at	509.2
45297_at	67.1
45288_at	33.5
44822_s_at	19.2
44790_s_at	237.9
44783_s_at	187.6
44702_at	25.8
44696_at	162.8
44673_at	22.3
44669_at	37.6
44654_at	70
44617_at	211.4
44563_at	278.7
44146_at	253.2
44120_at	61.2
44111_at	162.5
44065_at	14.8
44040_at	115.6
43977_at	261.6
43934_at	206.5
43544_at	56
43511_s_at	217.2
43427_at	10.9
42361_g_at	9
41858_at	70.9
41856_at	242.1
41660_at	10.4
41657_at	32.8
41644_at	124.8
41577_at	32.8
41553_at	30.9
41512_at	104.7
