ID_REF	control_3_VALUE
AFFX-TrpnX-M_at	4.5
AFFX-TrpnX-5_at	4.9
AFFX-TrpnX-3_at	1.1
AFFX-ThrX-M_at	6.4
AFFX-ThrX-5_at	4.4
AFFX-ThrX-3_at	6.7
AFFX-r2-P1-cre-5_at	10871.2
AFFX-r2-P1-cre-3_at	12193.8
AFFX-r2-Hs28SrRNA-M_at	10
AFFX-r2-Hs28SrRNA-5_at	9.5
AFFX-r2-Hs28SrRNA-3_at	90
AFFX-r2-Hs18SrRNA-M_x_at	29
AFFX-r2-Hs18SrRNA-5_at	48.7
AFFX-r2-Hs18SrRNA-3_s_at	97.8
AFFX-r2-Ec-bioD-5_at	3154.9
AFFX-r2-Ec-bioD-3_at	3410.4
AFFX-r2-Ec-bioC-5_at	650.1
AFFX-r2-Ec-bioC-3_at	917.9
AFFX-r2-Ec-bioB-M_at	362.2
AFFX-r2-Ec-bioB-5_at	185.9
AFFX-r2-Ec-bioB-3_at	212.8
AFFX-r2-Bs-thr-M_s_at	15.2
AFFX-r2-Bs-thr-5_s_at	35.3
AFFX-r2-Bs-thr-3_s_at	3.8
AFFX-r2-Bs-phe-M_at	3.6
AFFX-r2-Bs-phe-5_at	4.4
AFFX-r2-Bs-phe-3_at	4.8
AFFX-r2-Bs-lys-M_at	1.3
AFFX-r2-Bs-lys-5_at	3.2
AFFX-r2-Bs-lys-3_at	6.3
AFFX-r2-Bs-dap-M_at	1.3
AFFX-r2-Bs-dap-5_at	2.1
AFFX-r2-Bs-dap-3_at	1.4
AFFX-PheX-M_at	1.5
AFFX-PheX-5_at	3.7
AFFX-PheX-3_at	19.1
AFFX-M27830_M_at	50.3
AFFX-M27830_5_at	77.8
AFFX-M27830_3_at	17.8
AFFX-LysX-M_at	12.7
AFFX-LysX-5_at	1
AFFX-LysX-3_at	2.1
AFFX-HUMRGE/M10098_M_at	4.7
AFFX-HUMRGE/M10098_5_at	16.6
AFFX-HUMRGE/M10098_3_at	89.5
AFFX-HUMISGF3A/M97935_MB_at	77
AFFX-HUMISGF3A/M97935_MA_at	20
AFFX-HUMISGF3A/M97935_5_at	2.9
AFFX-HUMISGF3A/M97935_3_at	297
AFFX-HUMGAPDH/M33197_M_at	912.1
AFFX-HUMGAPDH/M33197_5_at	196.6
AFFX-HUMGAPDH/M33197_3_at	3116.8
AFFX-hum_alu_at	10697.2
AFFX-HSAC07/X00351_M_at	5933.9
AFFX-HSAC07/X00351_5_at	343.1
AFFX-HSAC07/X00351_3_at	8672.1
AFFX-DapX-M_at	25
AFFX-DapX-5_at	4.6
AFFX-DapX-3_at	3.3
AFFX-CreX-5_at	6751
AFFX-CreX-3_at	8626.8
AFFX-BioDn-5_at	588
AFFX-BioDn-3_at	2970.3
AFFX-BioC-5_at	623.5
AFFX-BioC-3_at	535
AFFX-BioB-M_at	375.1
AFFX-BioB-5_at	153.6
AFFX-BioB-3_at	142.8
91952_at	60.5
91920_at	212.7
91826_at	19.3
91816_f_at	64.9
91703_at	7.6
