ID_REF	pre_1_VALUE
AFFX-TrpnX-M_at	4.5
AFFX-TrpnX-5_at	16.3
AFFX-TrpnX-3_at	1.9
AFFX-ThrX-M_at	19.9
AFFX-ThrX-5_at	9.3
AFFX-ThrX-3_at	17.1
AFFX-r2-P1-cre-5_at	27938.5
AFFX-r2-P1-cre-3_at	38366.4
AFFX-r2-Hs28SrRNA-M_at	34.2
AFFX-r2-Hs28SrRNA-5_at	87
AFFX-r2-Hs28SrRNA-3_at	117.2
AFFX-r2-Hs18SrRNA-M_x_at	33.7
AFFX-r2-Hs18SrRNA-5_at	133.4
AFFX-r2-Hs18SrRNA-3_s_at	150.8
AFFX-r2-Ec-bioD-5_at	6219.8
AFFX-r2-Ec-bioD-3_at	6905.7
AFFX-r2-Ec-bioC-5_at	1676.1
AFFX-r2-Ec-bioC-3_at	2036.8
AFFX-r2-Ec-bioB-M_at	1048.3
AFFX-r2-Ec-bioB-5_at	508.8
AFFX-r2-Ec-bioB-3_at	590.2
AFFX-r2-Bs-thr-M_s_at	54.6
AFFX-r2-Bs-thr-5_s_at	76.7
AFFX-r2-Bs-thr-3_s_at	5.1
AFFX-r2-Bs-phe-M_at	2.1
AFFX-r2-Bs-phe-5_at	5.5
AFFX-r2-Bs-phe-3_at	36.3
AFFX-r2-Bs-lys-M_at	2.4
AFFX-r2-Bs-lys-5_at	16.3
AFFX-r2-Bs-lys-3_at	6.5
AFFX-r2-Bs-dap-M_at	4.3
AFFX-r2-Bs-dap-5_at	22.6
AFFX-r2-Bs-dap-3_at	0.5
AFFX-PheX-M_at	1.8
AFFX-PheX-5_at	11.5
AFFX-PheX-3_at	18.5
AFFX-M27830_M_at	80
AFFX-M27830_5_at	155.6
AFFX-M27830_3_at	38.7
AFFX-LysX-M_at	7
AFFX-LysX-5_at	2.3
AFFX-LysX-3_at	15.8
AFFX-HUMRGE/M10098_M_at	53.8
AFFX-HUMRGE/M10098_5_at	104.3
AFFX-HUMRGE/M10098_3_at	104.6
AFFX-HUMISGF3A/M97935_MB_at	142.1
AFFX-HUMISGF3A/M97935_MA_at	201.6
AFFX-HUMISGF3A/M97935_5_at	18
AFFX-HUMISGF3A/M97935_3_at	341.2
AFFX-HUMGAPDH/M33197_M_at	2052.7
AFFX-HUMGAPDH/M33197_5_at	1895.7
AFFX-HUMGAPDH/M33197_3_at	2818.3
AFFX-hum_alu_at	25926.8
AFFX-HSAC07/X00351_M_at	5784.1
AFFX-HSAC07/X00351_5_at	2921.7
AFFX-HSAC07/X00351_3_at	9510.6
AFFX-DapX-M_at	36.5
AFFX-DapX-5_at	6.4
AFFX-DapX-3_at	2.3
AFFX-CreX-5_at	16114.4
AFFX-CreX-3_at	24967.6
AFFX-BioDn-5_at	907.2
AFFX-BioDn-3_at	7127.9
AFFX-BioC-5_at	1586.5
AFFX-BioC-3_at	1392.4
AFFX-BioB-M_at	1509.9
AFFX-BioB-5_at	469.8
AFFX-BioB-3_at	501.9
91952_at	76.3
91920_at	117.3
91826_at	13.6
91816_f_at	68.8
91703_at	18.6
91684_g_at	12.7
91682_at	133
91617_at	34.9
91580_at	16.5
90610_at	325.7
90265_at	575
89977_at	122.2
89948_at	22.8
89476_r_at	99.7
87100_at	7.4
823_at	27.9
81811_at	156.8
81737_at	23.1
79005_at	159.3
78495_at	38.8
78383_at	174.3
78330_at	30
78047_s_at	383.9
77508_r_at	272.4
76897_s_at	25
74694_s_at	80.8
71933_at	417.1
66053_at	27.6
65884_at	100.7
65770_at	131.1
65718_at	53.2
65635_at	327.1
65630_at	83.9
65591_at	225.8
65588_at	43.2
65585_at	61.1
65521_at	149.1
65517_at	109.2
65493_at	47
65472_at	47.5
65438_at	3.3
65133_i_at	18.7
65086_at	23.3
64942_at	170.5
64900_at	5.4
64899_at	127.6
64883_at	174.3
64488_at	11.3
64486_at	171.1
64474_g_at	18.1
64440_at	152.9
64438_at	121.2
64432_at	24.5
64418_at	236.6
64408_s_at	50.7
64371_at	79.1
64064_at	551.3
63825_at	68.1
635_s_at	51.3
63305_at	76.4
632_at	218.9
63009_at	155.5
62987_r_at	518.2
62212_at	79.4
61874_at	129.8
61734_at	11.9
61732_r_at	1.2
61297_at	5.4
60815_at	36.7
60794_f_at	59.8
60528_at	271.1
60474_at	25.9
60471_at	259.4
60084_at	26.7
59999_at	92.1
59705_at	63.5
59697_at	81.9
59644_at	75.9
59631_at	36.2
59625_at	14.1
59437_at	33.9
59433_at	83.6
59375_at	149.1
58994_at	9.1
58916_at	17.7
58900_at	445.7
58780_s_at	342.7
58696_at	19.5
58367_s_at	185.3
58308_at	44.2
57739_at	243.3
57715_at	155.7
57703_at	61.7
57588_at	39.7
57540_at	8.2
57539_at	53
57532_at	44.8
57516_at	32.7
57163_at	165.3
57082_at	401.2
56919_at	121.4
56829_at	296.7
56821_at	75.1
56748_at	6.3
564_at	67.5
56256_at	631.5
56197_at	1001
55872_at	8.4
55705_at	3771.2
55692_at	104.4
55662_at	43.7
55616_at	154.1
55583_at	46.8
55093_at	237.4
55081_at	45.9
55065_at	119.8
54970_at	160.1
54632_at	89.1
54051_at	2.8
54037_at	13
53991_at	6.1
53987_at	63.1
53968_at	164.8
53912_at	401.6
53720_at	120.1
53202_at	61.8
53076_at	32.8
53071_s_at	77.4
52975_at	96.4
52940_at	162.6
52837_at	32.2
52741_at	60.1
52731_at	11.4
52651_at	71.8
52285_f_at	4.7
52255_s_at	95.4
52169_at	333.8
52164_at	61.6
52159_at	11
52078_at	54.1
52005_at	14.2
51774_s_at	513.1
51228_at	20.5
51226_at	38.4
51200_at	52.7
51192_at	19.5
51176_at	142
51158_at	31.9
51146_at	62.6
50965_at	99.3
50400_at	27
50376_at	55
50374_at	130.5
50314_i_at	80.5
50277_at	428.6
50221_at	91.1
49878_at	322.7
49679_s_at	79.2
49485_at	68.6
49452_at	30.7
49329_at	128.7
49327_at	238.6
49306_at	16.1
49111_at	188.8
49077_at	196.9
49051_g_at	39.7
49049_at	89.4
48825_at	51.3
48808_at	30.2
48659_at	225.8
48612_at	668.7
48580_at	410.2
48531_at	161.7
48117_at	99
48106_at	182.1
48031_r_at	180.8
48030_i_at	888.8
47773_at	48.4
47608_at	159.9
47571_at	263.4
47560_at	26.5
47553_at	3.2
47550_at	22.8
47530_at	166.3
47105_at	126.3
47083_at	191.2
47069_at	91.1
46947_at	64.7
46665_at	57.9
46323_at	173.9
46270_at	131.2
46256_at	638.7
46167_at	58.7
46142_at	32
45828_at	143.6
45749_at	287.3
45714_at	21.7
45687_at	365.2
45653_at	14.5
45633_at	18.3
45572_s_at	418.7
45526_g_at	340.9
45297_at	55.6
45288_at	50.5
44822_s_at	33
44790_s_at	160
44783_s_at	198.5
44702_at	65.8
44696_at	162.9
44673_at	108.1
44669_at	94.9
44654_at	90.1
44617_at	200
44563_at	275.2
44146_at	265.9
44120_at	65.8
44111_at	133.6
44065_at	26.9
44040_at	110.1
43977_at	217.6
43934_at	119.3
43544_at	65.4
43511_s_at	249.2
43427_at	12.8
42361_g_at	23.4
41858_at	80.6
41856_at	178.6
41660_at	9.4
41657_at	25.6
41644_at	190.8
41577_at	11.8
41553_at	43.7
41512_at	57
41469_at	212.7
41397_at	33.9
41387_r_at	466.2
41386_i_at	70.5
41329_at	68.6
41220_at	1839.5
41160_at	42.6
41113_at	92.9
41047_at	136.6
41037_at	14
40850_at	12.2
40837_at	14
40829_at	470.8
40687_at	9.5
40665_at	19.3
40640_at	59.3
40612_at	22.9
40569_at	200.3
40562_at	18.9
40560_at	72.2
40524_at	52.8
40489_at	33.4
40472_at	10.7
40465_at	75.7
40446_at	613
40420_at	356.5
40359_at	288.7
40284_at	6.2
40273_at	15.4
40255_at	63.3
40225_at	431.6
40189_at	291.9
40149_at	87.9
40148_at	5.2
40093_at	51.2
40020_at	97.8
40016_g_at	87
39966_at	48.6
39891_at	174
39854_r_at	315.4
39835_at	17.2
39817_s_at	130.5
39763_at	17.7
39729_at	252.3
39705_at	151.9
39650_s_at	48.6
396_f_at	675.9
39582_at	162.3
39549_at	5.2
39548_at	17.3
39402_at	218.3
39318_at	78.3
39313_at	36.6
39249_at	40.6
39248_at	176.5
38964_r_at	3463.5
38918_at	71.9
38892_at	127.6
38766_at	55
38710_at	316.2
38707_r_at	524.8
38703_at	324.8
38691_s_at	23.4
38671_at	213.1
38521_at	120.3
38487_at	154.7
38447_at	203.5
38398_at	222.2
38340_at	101.7
38290_at	189.7
38269_at	441.8
38241_at	98.6
38158_at	98.8
38157_at	35.4
38149_at	316.6
38069_at	97.9
38043_at	14.1
38037_at	24.5
37996_s_at	63.6
37986_at	62.1
37966_at	167.5
37965_at	57.7
37953_s_at	41.5
37950_at	46.4
37943_at	109.8
37892_at	4.5
37872_at	146.8
37860_at	163.8
37831_at	53.1
37802_r_at	15.5
37796_at	134.9
37793_r_at	252.6
37652_at	201.1
37590_g_at	74.5
37586_at	78.3
37577_at	54.4
37566_at	17.7
37549_g_at	31.1
37547_at	25.4
37512_at	4.2
37462_i_at	27.5
37433_at	10.5
37425_g_at	17.7
37424_at	47.3
37408_at	166.4
37384_at	421.5
37278_at	214.2
37254_at	54.7
37232_at	50.9
37226_at	48.4
37201_at	67.5
37170_at	2.6
37152_at	108.9
37145_at	819
37117_at	32.8
37079_at	15.1
37028_at	179.5
37022_at	38.5
37020_at	5.1
37012_at	859.7
37005_at	140.4
37004_at	37
36994_at	981.2
36936_at	70.2
36920_at	43.1
36907_at	910.6
36888_at	260.7
36865_at	91.5
36830_at	6.2
36829_at	167.7
36742_at	68
36711_at	88.2
36612_at	12.2
36566_at	105
36564_at	308.8
36554_at	111.3
36553_at	100.4
36552_at	103.8
36545_s_at	38.8
36499_at	86.3
36475_at	59.5
36129_at	443.3
36084_at	68.5
36030_at	263.1
36019_at	282.8
36004_at	237.3
35974_at	296.4
35846_at	15.1
35820_at	79.4
35776_at	62.8
35685_at	202.4
35671_at	280.2
35666_at	156.8
35626_at	80.8
35617_at	49.4
35436_at	10.9
35265_at	84.3
35254_at	228.7
35201_at	476.8
35179_at	11.6
35160_at	83.7
35156_at	38
35150_at	256.9
35148_at	40.7
35147_at	197.9
34868_at	57.3
34858_at	168.6
34846_at	298.5
34764_at	44.6
34726_at	14.2
34697_at	54.9
34689_at	316.4
34478_at	4.5
34471_at	13.4
34449_at	40.2
34408_at	115.9
34406_at	58.7
34260_at	5.6
34225_at	59.2
34221_at	133.8
34210_at	270.6
34206_at	153.9
34187_at	3.9
34063_at	13.4
34031_i_at	50.2
33850_at	26.8
33814_at	113.7
33778_at	307.6
33768_at	272.4
33767_at	4.2
33760_at	15.3
33736_at	21.9
33646_g_at	14.6
336_at	156.4
33579_i_at	52.2
33494_at	11.8
33323_r_at	136.9
33322_i_at	388.5
33307_at	26.1
33304_at	595.6
33197_at	66.7
33148_at	13.2
33132_at	16.6
32837_at	128.6
32836_at	241.4
32811_at	273.2
32723_at	51.8
32699_s_at	71.2
32625_at	15.1
32541_at	30.3
32540_at	62.2
32502_at	22.4
32402_s_at	9.2
32259_at	331.1
32209_at	306.9
32137_at	163.6
32128_at	46.4
32099_at	220
32094_at	82.3
32091_at	188.8
32088_at	21.7
32069_at	328.5
32062_at	45.4
32042_at	23.2
32032_at	188.2
32029_at	187.1
320_at	62.3
31874_at	127.7
31861_at	433.4
31846_at	213.2
31845_at	210.4
31837_at	301.5
31835_at	47.3
31826_at	194.4
31807_at	92.8
31799_at	23
31637_s_at	236.7
266_s_at	44.6
243_g_at	101.9
222384_at	45
222383_s_at	4.2
222382_x_at	25.2
222381_at	59.5
222380_s_at	277
222379_at	17.8
222378_at	47.4
222377_at	50.2
222376_at	91.6
222375_at	8.6
222374_at	57
222373_at	4.6
222372_at	4.1
222371_at	356.2
222370_x_at	66.1
222369_at	37.6
222368_at	159.1
222367_at	4.7
222366_at	43.8
222365_at	5.3
222364_at	12.7
222363_at	78.2
222362_at	14.5
222361_at	45.8
222360_at	0.9
222359_x_at	2.4
222358_x_at	53.4
222357_at	123.5
222356_at	61.8
222355_at	8
222354_at	37.5
222353_at	4.6
222352_at	50
222351_at	8.4
222350_at	27.2
222349_x_at	8.3
222348_at	8.7
222347_at	6.1
222346_at	11.4
222345_at	39.4
222344_at	26.8
222343_at	32.3
222342_at	3.8
222341_x_at	16.6
222340_at	4.1
222339_x_at	117.7
222338_x_at	21.9
222337_at	5.5
222336_at	10.1
222335_at	9
222334_at	22.9
222333_at	203.9
222332_at	23.3
222331_at	8.4
222330_at	10.8
222329_x_at	110.7
222328_x_at	58.3
222327_x_at	42.7
222326_at	84
222325_at	3.3
222324_at	12.9
222323_at	7.6
222322_at	1
222321_at	58.7
222320_at	10.3
222319_at	89.6
222318_at	46.3
222317_at	75.6
222316_at	52.3
222315_at	37.5
222314_x_at	28.8
222313_at	2.8
222312_s_at	51
222311_s_at	60.6
222310_at	93.2
222309_at	35.4
222308_x_at	3.1
222307_at	53.9
222306_at	4.3
222305_at	34.5
222304_x_at	18.6
222303_at	209
222302_at	18.1
222301_at	90.5
222300_at	33.9
222299_x_at	7.8
222298_at	1.6
222297_x_at	82.3
222296_at	17.2
222295_x_at	56
222294_s_at	179.9
222293_at	46.9
222292_at	14.9
222291_at	13.1
222290_at	12
222289_at	11.7
222288_at	15.6
222287_at	6
222286_at	57.8
222285_at	13.1
222284_at	42.4
222283_at	3.6
222282_at	145.3
222281_s_at	12.3
222280_at	180.7
222279_at	78.1
222278_at	9.7
222277_at	54.2
222276_at	10.3
222275_at	55.6
222274_at	5.9
222273_at	44.9
222272_x_at	6.2
222271_at	107.2
222270_at	43.4
222269_at	10.8
222268_x_at	9.6
222267_at	2.9
222266_at	70.2
222265_at	66.8
222264_at	106.1
222263_at	56.6
222262_s_at	55.6
222261_at	23.1
222260_at	50.3
222259_s_at	28.1
222258_s_at	3.6
222257_s_at	56
222256_s_at	4.8
222255_at	3.8
222254_at	3
222253_s_at	14
222252_x_at	123.8
222251_s_at	104.4
222250_s_at	69.8
222249_at	14.8
222248_s_at	3.1
222247_at	27.9
222246_at	4.2
222245_s_at	103
222244_s_at	360.4
222243_s_at	92.8
222242_s_at	32.9
222241_at	14.2
222240_s_at	23
222239_s_at	38
222238_s_at	12.8
222237_s_at	22.3
222236_s_at	10.6
222235_s_at	82.4
222234_s_at	7.9
222233_s_at	22.8
222231_s_at	197
222230_s_at	213
222229_x_at	168.8
222228_s_at	73.7
222227_at	26.9
222226_at	20.9
222225_at	5.3
222224_at	18
222223_s_at	21.6
222222_s_at	3
222221_x_at	29.2
222220_s_at	10.6
222219_s_at	37
222218_s_at	784.5
222217_s_at	45.3
222216_s_at	15.1
222215_at	5.9
222214_at	60.7
222213_x_at	9
222212_s_at	362.2
222211_x_at	9
222210_at	9.3
222209_s_at	6.8
222208_s_at	53.6
222207_x_at	257.6
222206_s_at	10.5
222205_x_at	9.9
222204_s_at	35.6
222203_s_at	33.8
222202_at	13.7
222201_s_at	1.8
222200_s_at	92.5
222199_s_at	215.5
222198_at	34.8
222197_s_at	57.4
222196_at	32.7
222195_s_at	73.2
222194_at	5.7
222193_at	75.9
222192_s_at	22.6
222191_s_at	58.1
222190_s_at	2.9
222189_at	5.1
222188_at	33.6
222187_x_at	177.7
222186_at	47.1
222185_at	51.9
222184_at	61.5
222183_x_at	65
222182_s_at	167.1
222181_at	11.1
222180_at	32
222179_at	13.9
222178_s_at	5.6
222177_s_at	9.5
222176_at	31.2
222175_s_at	95
222174_at	1.9
222173_s_at	19.1
222172_at	35.3
222171_s_at	2.1
222170_at	3.3
222169_x_at	36.8
222168_at	8.7
222167_at	55.1
222166_at	47.7
222165_x_at	17.8
222164_at	22.7
222163_s_at	124.3
222162_s_at	22.2
222161_at	23.8
222160_at	132.9
222159_at	62.1
222158_s_at	48.5
222157_s_at	6.2
222156_x_at	55.7
222155_s_at	79.1
222154_s_at	87
