ID_REF	symp_12_VALUE
AFFX-TrpnX-M_at	5.1
AFFX-TrpnX-5_at	31.1
AFFX-TrpnX-3_at	31.1
AFFX-ThrX-M_at	21.3
AFFX-ThrX-5_at	5.9
AFFX-ThrX-3_at	10.4
AFFX-r2-P1-cre-5_at	22121.9
AFFX-r2-P1-cre-3_at	27935.5
AFFX-r2-Hs28SrRNA-M_at	59.3
AFFX-r2-Hs28SrRNA-5_at	166.9
AFFX-r2-Hs28SrRNA-3_at	241.1
AFFX-r2-Hs18SrRNA-M_x_at	107.1
AFFX-r2-Hs18SrRNA-5_at	173.6
AFFX-r2-Hs18SrRNA-3_s_at	136.8
AFFX-r2-Ec-bioD-5_at	6668.4
AFFX-r2-Ec-bioD-3_at	6849.7
AFFX-r2-Ec-bioC-5_at	1460.7
AFFX-r2-Ec-bioC-3_at	1894.2
AFFX-r2-Ec-bioB-M_at	1124.2
AFFX-r2-Ec-bioB-5_at	349.2
AFFX-r2-Ec-bioB-3_at	396.3
AFFX-r2-Bs-thr-M_s_at	14.9
AFFX-r2-Bs-thr-5_s_at	33.7
AFFX-r2-Bs-thr-3_s_at	3.9
AFFX-r2-Bs-phe-M_at	6
AFFX-r2-Bs-phe-5_at	21.9
AFFX-r2-Bs-phe-3_at	12.3
AFFX-r2-Bs-lys-M_at	4.9
AFFX-r2-Bs-lys-5_at	16
AFFX-r2-Bs-lys-3_at	44.6
AFFX-r2-Bs-dap-M_at	10.8
AFFX-r2-Bs-dap-5_at	3.1
AFFX-r2-Bs-dap-3_at	8.5
AFFX-PheX-M_at	2.6
AFFX-PheX-5_at	7.9
AFFX-PheX-3_at	48.1
AFFX-M27830_M_at	894.3
AFFX-M27830_5_at	345.3
AFFX-M27830_3_at	22
AFFX-LysX-M_at	7.8
AFFX-LysX-5_at	17.6
AFFX-LysX-3_at	4.8
AFFX-HUMRGE/M10098_M_at	93.4
AFFX-HUMRGE/M10098_5_at	176.3
AFFX-HUMRGE/M10098_3_at	150.4
AFFX-HUMISGF3A/M97935_MB_at	116.9
AFFX-HUMISGF3A/M97935_MA_at	104.7
AFFX-HUMISGF3A/M97935_5_at	16.2
AFFX-HUMISGF3A/M97935_3_at	457.5
AFFX-HUMGAPDH/M33197_M_at	1998.9
AFFX-HUMGAPDH/M33197_5_at	2049.1
AFFX-HUMGAPDH/M33197_3_at	2868.3
AFFX-hum_alu_at	23131.6
AFFX-HSAC07/X00351_M_at	4058.3
AFFX-HSAC07/X00351_5_at	2842.6
AFFX-HSAC07/X00351_3_at	7693.4
AFFX-DapX-M_at	45.8
AFFX-DapX-5_at	24.3
AFFX-DapX-3_at	4.8
AFFX-CreX-5_at	11665.1
AFFX-CreX-3_at	17573.7
AFFX-BioDn-5_at	857.3
AFFX-BioDn-3_at	5321.4
AFFX-BioC-5_at	1261.3
AFFX-BioC-3_at	1133
AFFX-BioB-M_at	898
AFFX-BioB-5_at	281.1
AFFX-BioB-3_at	371
91952_at	20.7
91920_at	126.9
91826_at	21.8
91816_f_at	61.8
91703_at	20.6
91684_g_at	86.9
91682_at	166.8
91617_at	7
91580_at	131.5
90610_at	209
90265_at	375
89977_at	54
89948_at	86.1
89476_r_at	97
87100_at	5.4
823_at	79.9
81811_at	170.2
81737_at	35
79005_at	198.9
78495_at	74.2
78383_at	161.2
78330_at	64.2
78047_s_at	493.3
77508_r_at	446.3
76897_s_at	3.2
74694_s_at	82
71933_at	490.9
66053_at	31.1
65884_at	61.8
65770_at	38.6
65718_at	77.1
65635_at	436.2
65630_at	52.7
65591_at	190.4
65588_at	79.6
65585_at	67.5
65521_at	176
65517_at	64.3
65493_at	24.5
65472_at	28.3
65438_at	33.5
65133_i_at	5.9
65086_at	116.6
64942_at	161.5
64900_at	21.8
64899_at	32
64883_at	231
64488_at	22.4
64486_at	149.3
64474_g_at	22.2
64440_at	219.1
64438_at	105.8
64432_at	37.8
64418_at	303.9
64408_s_at	21.6
64371_at	142.9
64064_at	775.3
63825_at	7.6
635_s_at	68
63305_at	84.3
632_at	275
63009_at	159.2
62987_r_at	169.6
62212_at	103.6
61874_at	141.7
61734_at	90.8
61732_r_at	0.4
61297_at	15.9
