ID_REF	pre_symp_4_VALUE
46665_at	12.5
46323_at	130.6
46270_at	166.4
46256_at	707.7
46167_at	72.2
46142_at	12.3
45828_at	135.1
45749_at	407.6
45714_at	73.9
45687_at	308.3
45653_at	13.7
45633_at	20.3
45572_s_at	507.4
45526_g_at	614.9
45297_at	20.4
45288_at	40.4
44822_s_at	80.6
44790_s_at	62.9
44783_s_at	138.9
44702_at	92.5
44696_at	148
44673_at	281.4
44669_at	37.4
44654_at	122.3
44617_at	227.7
44563_at	288.8
44146_at	275.4
44120_at	72.6
44111_at	89.4
44065_at	14.3
44040_at	89.6
43977_at	211.9
43934_at	155.9
43544_at	174.5
43511_s_at	137.3
43427_at	11.5
42361_g_at	23.6
41858_at	107.5
41856_at	241
41660_at	9.6
41657_at	85.2
41644_at	201.7
41577_at	22.6
41553_at	77.3
41512_at	99.8
41469_at	309.6
41397_at	20.5
41387_r_at	293.9
41386_i_at	173.4
41329_at	51.8
41220_at	2286.9
41160_at	38.2
41113_at	27
41047_at	201.2
41037_at	40.8
40850_at	166.1
40837_at	76.1
40829_at	445.8
40687_at	13.7
40665_at	4.5
40640_at	79.4
40612_at	19.8
40569_at	234.8
40562_at	33.1
40560_at	17.5
40524_at	44.4
40489_at	100.4
40472_at	8.5
40465_at	68.3
40446_at	758.3
40420_at	344.7
40359_at	265.4
40284_at	32
40273_at	17
40255_at	32.1
40225_at	291.1
40189_at	198.9
40149_at	69
40148_at	3.8
40093_at	11.4
40020_at	30.6
40016_g_at	164.3
39966_at	64.2
39891_at	189
39854_r_at	519.4
39835_at	64.4
39817_s_at	213.1
39763_at	18
39729_at	257.9
39705_at	160.7
39650_s_at	70
396_f_at	763.8
39582_at	111.8
39549_at	3.1
39548_at	24.9
39402_at	312.7
39318_at	45.7
39313_at	33.3
39249_at	23.2
39248_at	218
38964_r_at	4571
38918_at	88.3
38892_at	97.3
38766_at	44.3
38710_at	444.9
38707_r_at	644.9
38703_at	354.9
38691_s_at	26.7
38671_at	268.1
38521_at	179.4
38487_at	156.5
38447_at	409.7
38398_at	332.3
38340_at	115.7
38290_at	247.5
38269_at	738.2
38241_at	151.2
38158_at	139.9
38157_at	32.1
38149_at	314.2
38069_at	164.9
38043_at	31.2
38037_at	24.2
37996_s_at	45.2
37986_at	66.7
37966_at	218.6
37965_at	132.6
37953_s_at	30.8
37950_at	33.6
37943_at	133.3
37892_at	8
37872_at	166.6
37860_at	160.5
37831_at	20.5
37802_r_at	12.6
37796_at	247.7
37793_r_at	215.2
37652_at	78.7
37590_g_at	42.8
37586_at	95.6
37577_at	24.4
37566_at	6.5
37549_g_at	45.1
37547_at	11
37512_at	1.8
37462_i_at	22.9
37433_at	30.4
37425_g_at	9.1
37424_at	19.8
37408_at	221.3
37384_at	273.9
37278_at	215.3
37254_at	98.3
37232_at	7
37226_at	47.2
37201_at	16.1
37170_at	5.2
37152_at	107.7
37145_at	757.7
37117_at	10.4
37079_at	27.3
37028_at	215.5
37022_at	63.1
37020_at	8.7
37012_at	719.9
37005_at	128.3
37004_at	18.5
36994_at	846.9
36936_at	106.1
36920_at	16.7
36907_at	1016.4
36888_at	339.9
36865_at	20
36830_at	7.5
36829_at	191.9
36742_at	129.3
36711_at	104.4
36612_at	45.4
36566_at	103.7
36564_at	294.7
36554_at	139.9
36553_at	107.7
36552_at	84.8
36545_s_at	54.5
36499_at	39.5
36475_at	55.9
36129_at	413.2
36084_at	90.7
36030_at	296.4
36019_at	256.1
36004_at	334.4
35974_at	138
35846_at	18.8
35820_at	54.9
35776_at	121.3
35685_at	197.9
35671_at	200.9
35666_at	236.6
35626_at	79.6
35617_at	41.2
35436_at	26.3
35265_at	7
35254_at	350.9
35201_at	632.7
35179_at	104.3
35160_at	15.9
35156_at	106.1
35150_at	330.6
35148_at	4
35147_at	228.8
34868_at	92.9
34858_at	239.1
34846_at	207.6
34764_at	70
34726_at	20.5
34697_at	58.1
34689_at	681.7
34478_at	15.4
34471_at	54.7
34449_at	24.2
34408_at	140.4
34406_at	33.7
34260_at	7
34225_at	74.2
34221_at	158.3
34210_at	231
34206_at	142
34187_at	44.6
34063_at	43.2
34031_i_at	37
33850_at	54.3
33814_at	103.3
33778_at	389.7
33768_at	350.3
33767_at	8.3
33760_at	33.8
33736_at	64.7
33646_g_at	23
336_at	220.2
33579_i_at	115.1
33494_at	1.9
33323_r_at	183.6
33322_i_at	347.8
33307_at	93.9
33304_at	924.7
33197_at	42.8
33148_at	27.1
33132_at	152.5
32837_at	178
32836_at	272.1
32811_at	193.3
32723_at	45.3
32699_s_at	121.4
32625_at	27
32541_at	62.5
32540_at	79
32502_at	114.3
32402_s_at	12.3
32259_at	293.2
32209_at	244.1
32137_at	158.8
32128_at	8.7
32099_at	189.3
32094_at	111.2
32091_at	307.9
32088_at	23.4
32069_at	371.3
32062_at	35.3
32042_at	7.1
32032_at	213.9
32029_at	314.6
320_at	65.7
31874_at	155.5
31861_at	187.1
31846_at	103.6
31845_at	274.1
31837_at	332.1
31835_at	83.5
31826_at	279.6
31807_at	182.5
31799_at	59.7
31637_s_at	172.6
266_s_at	58
243_g_at	117
222384_at	75.2
222383_s_at	8.7
222382_x_at	70.8
222381_at	12.7
222380_s_at	434.1
222379_at	9
222378_at	56.1
222377_at	62.5
222376_at	65.9
222375_at	90.1
222374_at	85.8
222373_at	11.1
222372_at	33.5
222371_at	483.8
222370_x_at	153.1
222369_at	43.8
222368_at	249.3
222367_at	51.1
222366_at	38.5
222365_at	4.4
222364_at	7.1
222363_at	52.5
222362_at	16.6
222361_at	47.4
222360_at	15
222359_x_at	28.1
222358_x_at	124.3
222357_at	165.3
222356_at	93.3
222355_at	105.7
222354_at	7.5
222353_at	36.1
222352_at	37.4
222351_at	51.2
222350_at	31.8
222349_x_at	23.8
222348_at	3.5
222347_at	23.8
222346_at	43.6
222345_at	19.4
222344_at	31.1
222343_at	55.6
222342_at	3.4
222341_x_at	40.8
222340_at	46.8
222339_x_at	117.3
222338_x_at	149.9
222337_at	11.8
222336_at	33.2
222335_at	8.8
222334_at	101
222333_at	175.6
222332_at	39.4
222331_at	16.8
222330_at	2.1
222329_x_at	81
222328_x_at	46.1
222327_x_at	65
222326_at	102.4
222325_at	2.6
222324_at	12.1
222323_at	104.6
222322_at	1.6
222321_at	69.8
222320_at	15.3
222319_at	57.8
222318_at	104.4
222317_at	31.8
222316_at	45.2
222315_at	12.2
222314_x_at	6.2
222313_at	5.1
222312_s_at	64.7
222311_s_at	76.9
222310_at	34.4
222309_at	20.6
222308_x_at	1.3
222307_at	91.4
222306_at	27.9
222305_at	11.5
222304_x_at	12.4
222303_at	129.6
222302_at	100
222301_at	109.9
222300_at	23
222299_x_at	2.4
222298_at	40.3
222297_x_at	75.8
222296_at	11.9
222295_x_at	40.5
222294_s_at	154.1
222293_at	101.8
222292_at	5.6
222291_at	6.2
222290_at	9.1
222289_at	18.8
222288_at	4.6
222287_at	1.8
222286_at	101.8
222285_at	25.7
222284_at	38.7
222283_at	15.3
222282_at	238.8
222281_s_at	24
222280_at	228.8
222279_at	102.6
222278_at	42.4
222277_at	19.9
222276_at	55.4
222275_at	143.3
222274_at	10.9
222273_at	60.7
222272_x_at	15
222271_at	51.2
222270_at	16.9
222269_at	11.4
222268_x_at	40.5
222267_at	37
222266_at	83.8
222265_at	126.1
222264_at	156.5
222263_at	83
222262_s_at	8.8
222261_at	9.1
222260_at	12.2
222259_s_at	6.4
222258_s_at	19.2
222257_s_at	29.8
222256_s_at	9
222255_at	11.3
222254_at	4.4
222253_s_at	20.9
222252_x_at	105.2
222251_s_at	75.8
222250_s_at	44
222249_at	7.6
222248_s_at	3.6
222247_at	19.4
222246_at	5.4
222245_s_at	18.2
222244_s_at	519
222243_s_at	59.5
222242_s_at	69.6
222241_at	13.3
222240_s_at	89.7
222239_s_at	47.7
222238_s_at	28.8
222237_s_at	30.2
222236_s_at	63.9
222235_s_at	17.9
222234_s_at	49.1
222233_s_at	22.1
222231_s_at	274.8
222230_s_at	117.3
222229_x_at	80.5
222228_s_at	123.9
222227_at	60.4
222226_at	12.2
222225_at	22.7
222224_at	3.2
222223_s_at	56.4
222222_s_at	16.6
222221_x_at	5.6
222220_s_at	24.4
222219_s_at	19.9
222218_s_at	671.2
222217_s_at	175.5
222216_s_at	64.1
222215_at	7.4
222214_at	9.5
222213_x_at	13.6
222212_s_at	297.5
222211_x_at	43.1
222210_at	4.8
222209_s_at	15.3
222208_s_at	81.2
222207_x_at	232.7
222206_s_at	6.5
222205_x_at	11.7
222204_s_at	42.8
222203_s_at	25.1
222202_at	5.1
222201_s_at	35.5
222200_s_at	122.1
222199_s_at	206.3
222198_at	14.6
222197_s_at	11.9
222196_at	56.8
222195_s_at	20.3
222194_at	14.1
222193_at	62.9
222192_s_at	140.7
222191_s_at	50.7
222190_s_at	4.2
222189_at	9.4
222188_at	2.7
222187_x_at	214.5
222186_at	5.6
222185_at	136.4
222184_at	10
222183_x_at	75.4
222182_s_at	173.5
222181_at	56.1
222180_at	23.7
222179_at	64.9
222178_s_at	3.8
222177_s_at	14.9
222176_at	37.3
222175_s_at	219.7
222174_at	72.7
222173_s_at	26.2
222172_at	19.7
222171_s_at	1.8
222170_at	4.7
222169_x_at	92
222168_at	19.1
222167_at	49.6
222166_at	64.7
222165_x_at	79.6
222164_at	35.1
222163_s_at	65.6
222162_s_at	45
222161_at	5.6
222160_at	100
222159_at	69.1
222158_s_at	76.8
222157_s_at	8.8
222156_x_at	74.3
222155_s_at	35.2
222154_s_at	224.3
222153_at	27.7
222152_at	99.6
222151_s_at	81.2
222150_s_at	102.2
222149_x_at	37
222148_s_at	151.9
222147_s_at	35.5
222146_s_at	131.1
222145_at	27.6
222144_at	80.2
222143_s_at	247.6
222142_at	30.3
222141_at	35.5
222140_s_at	10.1
222139_at	190.6
222138_s_at	23
222137_at	29.2
222136_x_at	134.5
222135_at	2.6
222134_at	7.1
222133_s_at	92.2
222132_s_at	151.9
222131_x_at	113.3
222130_s_at	46.1
222129_at	203.4
222128_at	32.3
222127_s_at	98.5
222126_at	20.2
222125_s_at	253.7
222124_at	17.3
222123_s_at	59.7
222122_s_at	114.6
222121_at	8
222120_at	47.6
222119_s_at	59.2
222118_at	70.9
222117_s_at	17
222116_s_at	41.2
222115_x_at	68.2
222114_x_at	6.3
222113_s_at	141.8
222112_at	7.2
222111_at	37.8
222110_at	104
222109_at	87.2
222108_at	37.2
222107_x_at	31.3
222106_at	17.9
222105_s_at	100.3
222104_x_at	49.6
222103_at	6
222102_at	11.7
222101_s_at	21
222100_at	31.3
222099_s_at	206.8
222098_s_at	8.4
222097_at	61.2
222096_x_at	38
222095_s_at	53
222094_at	77.4
222093_s_at	121
222092_at	39.1
222091_at	8.9
222090_at	15.3
222089_s_at	12.8
222088_s_at	205.4
222087_at	54.1
222086_s_at	4.7
222085_at	10.1
222084_s_at	33.3
222083_at	17.6
222082_at	131.6
222081_at	6.3
222080_s_at	12
222079_at	41.5
222078_at	20.5
222077_s_at	78.5
222076_at	75.8
222075_s_at	66.3
222074_at	6
222073_at	41.5
222072_at	84.3
222071_s_at	28.7
222070_at	127.2
222069_s_at	11.4
222068_s_at	8
222067_x_at	228.2
222066_at	9.4
222065_s_at	160.4
222064_s_at	10.2
222063_s_at	36.5
222062_at	75.5
222061_at	61.9
222060_at	87.6
222059_at	45.9
222058_at	104.7
222057_at	8.8
222056_s_at	8.5
222055_at	3.7
222054_at	8
222053_at	38.6
222052_at	92.9
222051_s_at	39.2
222050_at	22.6
222049_s_at	13.3
222048_at	52.6
222047_s_at	321.1
222046_at	12.5
222045_s_at	64.3
222044_at	56.7
222043_at	71
222042_x_at	15
222041_at	203.9
222040_at	82.3
222039_at	4.3
222038_s_at	44
222037_at	8.3
222036_s_at	49
222035_s_at	48.9
222034_at	41.9
222033_s_at	5.8
222032_s_at	12.7
222031_at	23.2
222030_at	151.1
222029_x_at	102
222028_at	74.4
222027_at	89
222026_at	62.8
222025_s_at	56.1
222024_s_at	358
222023_at	61
222022_at	53.2
222021_x_at	611.2
222020_s_at	2.5
222019_at	13.2
222018_at	14.7
222017_x_at	63.8
222016_s_at	83.7
222015_at	10
