ID_REF	symp_8_VALUE
46665_at	61.9
46323_at	144.5
46270_at	149.5
46256_at	462.7
46167_at	37.5
46142_at	3.2
45828_at	163.8
45749_at	348.6
45714_at	7.3
45687_at	246.9
45653_at	39.3
45633_at	3.6
45572_s_at	351.6
45526_g_at	439.8
45297_at	101.3
45288_at	5.7
44822_s_at	16.7
44790_s_at	186.4
44783_s_at	120.3
44702_at	108.4
44696_at	121.4
44673_at	56.6
44669_at	61.3
44654_at	91.6
44617_at	183.9
44563_at	253.1
44146_at	253.5
44120_at	89
44111_at	108.1
44065_at	38.2
44040_at	117.4
43977_at	170.8
43934_at	70.7
43544_at	72.4
43511_s_at	246.2
43427_at	10.1
42361_g_at	6.1
41858_at	35.5
41856_at	200.4
41660_at	8.6
41657_at	22.4
41644_at	189
41577_at	27.6
41553_at	44.8
41512_at	110.6
41469_at	156.7
41397_at	69.7
41387_r_at	294.3
41386_i_at	119.5
41329_at	49.2
41220_at	2918.3
41160_at	69.2
41113_at	47
41047_at	148.4
41037_at	20.5
40850_at	67.6
40837_at	16.1
40829_at	222.3
40687_at	10.7
40665_at	15.9
40640_at	58.1
40612_at	4.8
40569_at	152.8
40562_at	32.8
40560_at	101.7
40524_at	5.4
40489_at	16.2
40472_at	12.6
40465_at	94
40446_at	487.7
40420_at	206.3
40359_at	293
40284_at	5.3
40273_at	8.8
40255_at	81.2
40225_at	366
40189_at	594
40149_at	121.9
40148_at	13.9
40093_at	77.3
40020_at	67.1
40016_g_at	62.4
39966_at	30.7
39891_at	133.1
39854_r_at	397.4
39835_at	12
39817_s_at	206.4
39763_at	45.3
39729_at	455.7
39705_at	74.9
39650_s_at	44.4
396_f_at	1028.1
39582_at	216.1
39549_at	2.5
39548_at	29.6
39402_at	260.9
39318_at	114.3
39313_at	25.5
39249_at	76.1
39248_at	188.7
38964_r_at	2741.9
38918_at	95.3
38892_at	138.8
38766_at	8.6
38710_at	305.2
38707_r_at	503.4
38703_at	277.1
38691_s_at	41.6
38671_at	166.9
38521_at	219.8
38487_at	132.8
38447_at	282.8
38398_at	179.5
38340_at	136.5
38290_at	231.1
38269_at	404
38241_at	129.3
38158_at	66.6
38157_at	16.6
38149_at	356.4
38069_at	176.5
38043_at	12.2
38037_at	33.9
37996_s_at	44.9
37986_at	58.6
37966_at	102
37965_at	114
37953_s_at	32.1
37950_at	28.8
37943_at	106.9
37892_at	3.2
37872_at	144.1
37860_at	168.9
37831_at	22.6
37802_r_at	19.3
37796_at	119.1
37793_r_at	28.9
37652_at	148.9
37590_g_at	49.3
37586_at	16.9
37577_at	56.4
37566_at	26.4
37549_g_at	78.8
37547_at	2.4
37512_at	2
