ID_REF	control_7_VALUE
AFFX-TrpnX-M_at	3.8
AFFX-TrpnX-5_at	7.7
AFFX-TrpnX-3_at	4.1
AFFX-ThrX-M_at	16.9
AFFX-ThrX-5_at	8.3
AFFX-ThrX-3_at	13.1
AFFX-r2-P1-cre-5_at	35978.4
AFFX-r2-P1-cre-3_at	46603.3
AFFX-r2-Hs28SrRNA-M_at	188.2
AFFX-r2-Hs28SrRNA-5_at	340.9
AFFX-r2-Hs28SrRNA-3_at	916.5
AFFX-r2-Hs18SrRNA-M_x_at	433.7
AFFX-r2-Hs18SrRNA-5_at	504.3
AFFX-r2-Hs18SrRNA-3_s_at	447.3
AFFX-r2-Ec-bioD-5_at	13585.4
AFFX-r2-Ec-bioD-3_at	12050.5
AFFX-r2-Ec-bioC-5_at	2953.8
AFFX-r2-Ec-bioC-3_at	2954.3
AFFX-r2-Ec-bioB-M_at	2258.1
AFFX-r2-Ec-bioB-5_at	701.6
AFFX-r2-Ec-bioB-3_at	982.2
AFFX-r2-Bs-thr-M_s_at	39.4
AFFX-r2-Bs-thr-5_s_at	40
AFFX-r2-Bs-thr-3_s_at	56.5
AFFX-r2-Bs-phe-M_at	5.8
AFFX-r2-Bs-phe-5_at	2.3
AFFX-r2-Bs-phe-3_at	5.1
AFFX-r2-Bs-lys-M_at	21
AFFX-r2-Bs-lys-5_at	3.3
AFFX-r2-Bs-lys-3_at	84.8
AFFX-r2-Bs-dap-M_at	9
AFFX-r2-Bs-dap-5_at	2.4
AFFX-r2-Bs-dap-3_at	0.8
AFFX-PheX-M_at	9.1
AFFX-PheX-5_at	9.5
AFFX-PheX-3_at	80.6
AFFX-M27830_M_at	1383.9
AFFX-M27830_5_at	891.6
AFFX-M27830_3_at	30.3
AFFX-LysX-M_at	16.3
AFFX-LysX-5_at	4.6
AFFX-LysX-3_at	6.4
AFFX-HUMRGE/M10098_M_at	256.5
AFFX-HUMRGE/M10098_5_at	416.3
AFFX-HUMRGE/M10098_3_at	478.8
AFFX-HUMISGF3A/M97935_MB_at	87.7
AFFX-HUMISGF3A/M97935_MA_at	62.2
AFFX-HUMISGF3A/M97935_5_at	7.7
AFFX-HUMISGF3A/M97935_3_at	195.6
AFFX-HUMGAPDH/M33197_M_at	1709.1
AFFX-HUMGAPDH/M33197_5_at	1591.8
AFFX-HUMGAPDH/M33197_3_at	2644.7
AFFX-hum_alu_at	29230.4
AFFX-HSAC07/X00351_M_at	5365.4
AFFX-HSAC07/X00351_5_at	3814.6
AFFX-HSAC07/X00351_3_at	15279.9
AFFX-DapX-M_at	55.8
AFFX-DapX-5_at	22.3
AFFX-DapX-3_at	1.8
AFFX-CreX-5_at	20123
AFFX-CreX-3_at	33640.3
AFFX-BioDn-5_at	1531.1
AFFX-BioDn-3_at	10815.1
AFFX-BioC-5_at	2262.1
AFFX-BioC-3_at	2156.3
AFFX-BioB-M_at	2058.7
AFFX-BioB-5_at	662.4
AFFX-BioB-3_at	857.4
91952_at	55.5
91920_at	264.5
91826_at	27.8
91816_f_at	60.4
91703_at	15.5
91684_g_at	114.4
91682_at	258.3
91617_at	10.5
91580_at	33.1
90610_at	303.9
90265_at	571.7
89977_at	16.3
89948_at	37.8
89476_r_at	180.1
87100_at	10.5
823_at	40
81811_at	158.2
81737_at	33.4
79005_at	175.7
78495_at	134.4
78383_at	161.5
78330_at	107.8
78047_s_at	618.9
77508_r_at	500.5
76897_s_at	12.7
74694_s_at	79
71933_at	494
66053_at	57.4
65884_at	136.7
65770_at	106.7
65718_at	102.6
65635_at	517.5
65630_at	33.4
65591_at	214.6
65588_at	66.1
65585_at	114.9
65521_at	189.2
65517_at	163.6
65493_at	42.2
65472_at	13.6
65438_at	20.4
65133_i_at	38.4
65086_at	27.9
64942_at	448.9
64900_at	3.4
64899_at	73
64883_at	251
64488_at	62.2
64486_at	304.6
64474_g_at	53.6
64440_at	240.9
64438_at	105.1
64432_at	14.2
64418_at	250.8
64408_s_at	11.6
64371_at	110.2
64064_at	658.2
63825_at	9.1
635_s_at	82
63305_at	62.3
632_at	236.2
63009_at	178.6
62987_r_at	498.9
62212_at	68.7
61874_at	435.5
61734_at	25.5
61732_r_at	0.7
61297_at	8.5
60815_at	4.6
60794_f_at	51.9
60528_at	308.1
60474_at	50.3
60471_at	265.5
60084_at	31.3
59999_at	77.8
59705_at	50.8
59697_at	72.8
59644_at	71.8
59631_at	89.9
59625_at	11.9
59437_at	14.4
59433_at	66.2
59375_at	186.6
58994_at	59.8
58916_at	29.6
58900_at	381.9
58780_s_at	134.9
58696_at	46.4
58367_s_at	341.6
58308_at	71.7
57739_at	391.9
57715_at	184.7
57703_at	127
57588_at	27.7
57540_at	16.5
57539_at	84.2
57532_at	10.9
57516_at	41.9
57163_at	212.4
57082_at	452.5
56919_at	108.2
56829_at	328.1
56821_at	34.1
56748_at	54.4
564_at	125.3
56256_at	234.9
56197_at	992.8
55872_at	30.6
55705_at	4652.4
55692_at	82
55662_at	47.3
55616_at	230.8
55583_at	101.3
55093_at	289.9
55081_at	94.3
55065_at	122.7
54970_at	242.6
54632_at	75.5
54051_at	22.8
54037_at	5.5
53991_at	48.5
53987_at	95
53968_at	151
53912_at	167.3
53720_at	137.5
53202_at	41.6
53076_at	80.6
53071_s_at	67.9
52975_at	141.6
52940_at	265.4
52837_at	20.9
52741_at	145
52731_at	66.5
52651_at	124
52285_f_at	2.3
52255_s_at	128.3
52169_at	296.4
52164_at	39
52159_at	26.1
52078_at	182.8
52005_at	46.1
51774_s_at	570.2
51228_at	21.3
51226_at	62.1
51200_at	108.7
51192_at	58.5
51176_at	93.5
51158_at	91.1
51146_at	84.8
50965_at	157
50400_at	90.6
50376_at	107.2
50374_at	129.2
50314_i_at	191.9
50277_at	449.9
50221_at	100.1
49878_at	631.1
49679_s_at	69.2
49485_at	110.7
49452_at	91.5
49329_at	181.9
49327_at	402.7
49306_at	54.7
49111_at	198.2
49077_at	260.3
49051_g_at	7.9
49049_at	34.3
48825_at	37.3
48808_at	92.6
48659_at	298.7
48612_at	1044.4
48580_at	699.8
48531_at	223.7
48117_at	224.1
48106_at	210.6
48031_r_at	115.8
48030_i_at	255.7
47773_at	13.2
47608_at	175.7
47571_at	234.3
47560_at	53.4
47553_at	5.2
47550_at	12.6
47530_at	146.3
47105_at	121.9
47083_at	156.6
47069_at	157.9
46947_at	82.6
46665_at	76.1
46323_at	110.8
46270_at	185.7
46256_at	527.9
46167_at	28.3
46142_at	10
45828_at	116.7
45749_at	380.5
45714_at	45.5
45687_at	288.7
45653_at	57.8
45633_at	19.8
45572_s_at	348.2
45526_g_at	617.5
45297_at	83.3
45288_at	44.8
44822_s_at	13.8
44790_s_at	138.3
44783_s_at	138.6
44702_at	27.4
44696_at	156.3
44673_at	57.4
44669_at	16.4
44654_at	135
44617_at	382.9
44563_at	419.5
44146_at	285.3
44120_at	96
44111_at	140.7
44065_at	43.7
44040_at	143.1
43977_at	130.3
43934_at	92.1
43544_at	112.3
43511_s_at	359
43427_at	16.8
42361_g_at	17.7
41858_at	72.4
41856_at	212.5
41660_at	11.3
41657_at	37.2
41644_at	168.9
41577_at	47.9
41553_at	37.4
41512_at	90.3
41469_at	314.6
41397_at	74.6
41387_r_at	333.7
41386_i_at	176
41329_at	33.7
41220_at	2577.5
41160_at	44.7
41113_at	19.7
41047_at	156.2
41037_at	30.2
40850_at	313.4
40837_at	23.3
40829_at	303.7
40687_at	15.6
40665_at	25
40640_at	118.4
40612_at	67.8
40569_at	269.7
40562_at	20.5
40560_at	30.7
40524_at	40.7
40489_at	154.8
40472_at	8
40465_at	62.6
40446_at	453.6
40420_at	316.1
40359_at	398.6
40284_at	71.9
40273_at	22.3
40255_at	77.3
40225_at	318.6
40189_at	249.2
40149_at	109.6
40148_at	35.9
40093_at	82
40020_at	34
40016_g_at	104.5
39966_at	62.4
39891_at	77.6
39854_r_at	320
39835_at	26.5
39817_s_at	304.8
39763_at	34.9
39729_at	296.8
39705_at	136.5
39650_s_at	98.7
396_f_at	1404.7
39582_at	95.7
39549_at	9.4
39548_at	25.2
39402_at	258.3
39318_at	150.1
39313_at	36.6
39249_at	26.7
39248_at	237.5
38964_r_at	2483.6
38918_at	119
38892_at	151.8
38766_at	64.3
38710_at	506.3
38707_r_at	545
38703_at	337.1
38691_s_at	75.9
38671_at	223.7
38521_at	179.3
38487_at	200.7
38447_at	562.6
38398_at	235.7
38340_at	172.6
38290_at	195.5
38269_at	501.6
38241_at	106.9
38158_at	83.4
38157_at	30.8
38149_at	298.9
