ID_REF	symp_2_VALUE
AFFX-TrpnX-M_at	4.5
AFFX-TrpnX-5_at	7.4
AFFX-TrpnX-3_at	1.7
AFFX-ThrX-M_at	6.6
AFFX-ThrX-5_at	5.1
AFFX-ThrX-3_at	8.2
AFFX-r2-P1-cre-5_at	16232.2
AFFX-r2-P1-cre-3_at	20298.7
AFFX-r2-Hs28SrRNA-M_at	23
AFFX-r2-Hs28SrRNA-5_at	137.5
AFFX-r2-Hs28SrRNA-3_at	314.4
AFFX-r2-Hs18SrRNA-M_x_at	190.8
AFFX-r2-Hs18SrRNA-5_at	147.2
AFFX-r2-Hs18SrRNA-3_s_at	162.6
AFFX-r2-Ec-bioD-5_at	4964.8
AFFX-r2-Ec-bioD-3_at	4786.4
AFFX-r2-Ec-bioC-5_at	975.1
AFFX-r2-Ec-bioC-3_at	1227.4
AFFX-r2-Ec-bioB-M_at	643.7
AFFX-r2-Ec-bioB-5_at	274.4
AFFX-r2-Ec-bioB-3_at	306.8
AFFX-r2-Bs-thr-M_s_at	27.9
AFFX-r2-Bs-thr-5_s_at	42.5
AFFX-r2-Bs-thr-3_s_at	3.7
AFFX-r2-Bs-phe-M_at	3.6
AFFX-r2-Bs-phe-5_at	0.5
AFFX-r2-Bs-phe-3_at	5
AFFX-r2-Bs-lys-M_at	3.6
AFFX-r2-Bs-lys-5_at	1.1
AFFX-r2-Bs-lys-3_at	10.7
AFFX-r2-Bs-dap-M_at	4.2
AFFX-r2-Bs-dap-5_at	3.8
AFFX-r2-Bs-dap-3_at	1.7
AFFX-PheX-M_at	3
AFFX-PheX-5_at	4.4
AFFX-PheX-3_at	68
AFFX-M27830_M_at	817.8
AFFX-M27830_5_at	464
AFFX-M27830_3_at	25.9
AFFX-LysX-M_at	9.3
AFFX-LysX-5_at	12
AFFX-LysX-3_at	3.8
AFFX-HUMRGE/M10098_M_at	84.4
AFFX-HUMRGE/M10098_5_at	155.1
AFFX-HUMRGE/M10098_3_at	259
AFFX-HUMISGF3A/M97935_MB_at	108.3
AFFX-HUMISGF3A/M97935_MA_at	119
AFFX-HUMISGF3A/M97935_5_at	6.2
AFFX-HUMISGF3A/M97935_3_at	333.4
AFFX-HUMGAPDH/M33197_M_at	2373.2
AFFX-HUMGAPDH/M33197_5_at	2402.8
AFFX-HUMGAPDH/M33197_3_at	3160
AFFX-hum_alu_at	17424.3
AFFX-HSAC07/X00351_M_at	4217.8
AFFX-HSAC07/X00351_5_at	4079.1
AFFX-HSAC07/X00351_3_at	8947.5
