ID_REF	control_6_VALUE
AFFX-TrpnX-M_at	3.3
AFFX-TrpnX-5_at	19
AFFX-TrpnX-3_at	1.8
AFFX-ThrX-M_at	7
AFFX-ThrX-5_at	7.2
AFFX-ThrX-3_at	6.3
AFFX-r2-P1-cre-5_at	26637.8
AFFX-r2-P1-cre-3_at	33842.8
AFFX-r2-Hs28SrRNA-M_at	192.1
AFFX-r2-Hs28SrRNA-5_at	351.9
AFFX-r2-Hs28SrRNA-3_at	670.2
AFFX-r2-Hs18SrRNA-M_x_at	357.6
AFFX-r2-Hs18SrRNA-5_at	260.6
AFFX-r2-Hs18SrRNA-3_s_at	290.6
AFFX-r2-Ec-bioD-5_at	8932.7
AFFX-r2-Ec-bioD-3_at	8322.5
AFFX-r2-Ec-bioC-5_at	1764.9
AFFX-r2-Ec-bioC-3_at	2230.8
AFFX-r2-Ec-bioB-M_at	1254.5
AFFX-r2-Ec-bioB-5_at	475.1
AFFX-r2-Ec-bioB-3_at	553.7
AFFX-r2-Bs-thr-M_s_at	11.5
AFFX-r2-Bs-thr-5_s_at	29.7
AFFX-r2-Bs-thr-3_s_at	5.4
AFFX-r2-Bs-phe-M_at	19.7
AFFX-r2-Bs-phe-5_at	1.2
AFFX-r2-Bs-phe-3_at	3.9
AFFX-r2-Bs-lys-M_at	2.8
AFFX-r2-Bs-lys-5_at	1.7
AFFX-r2-Bs-lys-3_at	31.1
AFFX-r2-Bs-dap-M_at	1.9
AFFX-r2-Bs-dap-5_at	4.2
AFFX-r2-Bs-dap-3_at	6.5
AFFX-PheX-M_at	2.5
AFFX-PheX-5_at	4.1
AFFX-PheX-3_at	56.3
AFFX-M27830_M_at	1072.2
AFFX-M27830_5_at	623.9
AFFX-M27830_3_at	24.7
AFFX-LysX-M_at	8
AFFX-LysX-5_at	4.8
AFFX-LysX-3_at	4.6
AFFX-HUMRGE/M10098_M_at	219.4
AFFX-HUMRGE/M10098_5_at	316.3
AFFX-HUMRGE/M10098_3_at	327.6
AFFX-HUMISGF3A/M97935_MB_at	90.6
AFFX-HUMISGF3A/M97935_MA_at	148.8
AFFX-HUMISGF3A/M97935_5_at	6.3
AFFX-HUMISGF3A/M97935_3_at	396.3
AFFX-HUMGAPDH/M33197_M_at	1853.5
AFFX-HUMGAPDH/M33197_5_at	1780.6
AFFX-HUMGAPDH/M33197_3_at	3249.3
AFFX-hum_alu_at	24780
AFFX-HSAC07/X00351_M_at	6156.5
AFFX-HSAC07/X00351_5_at	4904
AFFX-HSAC07/X00351_3_at	13338.6
AFFX-DapX-M_at	66.6
AFFX-DapX-5_at	30
AFFX-DapX-3_at	5.4
AFFX-CreX-5_at	13808.5
AFFX-CreX-3_at	22399.1
AFFX-BioDn-5_at	1154
AFFX-BioDn-3_at	7418
AFFX-BioC-5_at	1478.4
AFFX-BioC-3_at	1403.2
AFFX-BioB-M_at	1531.1
AFFX-BioB-5_at	416.8
AFFX-BioB-3_at	406.9
91952_at	37
91920_at	199.3
91826_at	16.5
91816_f_at	49.8
91703_at	16.2
91684_g_at	88.4
91682_at	219.8
91617_at	30.5
91580_at	27.2
90610_at	273.8
90265_at	455.2
89977_at	60.6
89948_at	81
89476_r_at	128.2
87100_at	15.3
823_at	47.6
81811_at	255.4
81737_at	19.8
79005_at	160
78495_at	142.3
78383_at	168.2
78330_at	35.9
78047_s_at	620.1
77508_r_at	479.6
76897_s_at	1.3
74694_s_at	101.8
71933_at	516
66053_at	8.2
65884_at	124
65770_at	33.6
65718_at	61.7
65635_at	438
65630_at	99.9
65591_at	222.6
65588_at	71.8
65585_at	100.2
65521_at	140.9
65517_at	119.6
65493_at	50.1
65472_at	3.1
65438_at	2.5
65133_i_at	5
65086_at	86.7
64942_at	246.3
64900_at	14.8
64899_at	76.6
64883_at	125.8
64488_at	56.3
64486_at	179.5
64474_g_at	14.9
64440_at	100.4
64438_at	127.1
64432_at	23.9
64418_at	437.3
64408_s_at	37.6
64371_at	99.5
64064_at	682.9
63825_at	55.2
635_s_at	83.1
63305_at	83.8
632_at	287.1
63009_at	141.9
62987_r_at	224.1
62212_at	96.5
61874_at	259.7
61734_at	48
61732_r_at	1.2
61297_at	10.9
60815_at	9.5
60794_f_at	48.7
60528_at	407.1
60474_at	20.7
60471_at	284.7
60084_at	33
59999_at	58.9
59705_at	25.4
59697_at	93.4
59644_at	44.9
59631_at	22.6
59625_at	50.3
59437_at	14.9
59433_at	81.5
59375_at	247.1
58994_at	57.6
58916_at	57.4
58900_at	408
58780_s_at	125.2
58696_at	61.4
58367_s_at	452.9
58308_at	12.1
57739_at	317.8
57715_at	175.5
57703_at	99.9
57588_at	50.2
57540_at	36.7
57539_at	94.3
57532_at	49.9
57516_at	48.1
57163_at	309.9
57082_at	470.1
56919_at	99.6
56829_at	335
56821_at	88.7
56748_at	15.6
564_at	158
56256_at	548
56197_at	1378.2
55872_at	30.6
55705_at	3742.2
55692_at	115.8
55662_at	54.9
55616_at	212.9
55583_at	122.2
55093_at	199.6
55081_at	72.7
55065_at	113.7
54970_at	271.6
54632_at	121
54051_at	32.1
54037_at	23.4
53991_at	11.3
53987_at	41.7
53968_at	157.9
53912_at	191.9
53720_at	152.3
53202_at	46.2
53076_at	17.4
53071_s_at	85.4
52975_at	35.1
52940_at	289
52837_at	13.9
52741_at	110.9
52731_at	11.5
52651_at	12
52285_f_at	1.3
52255_s_at	183.2
52169_at	297.4
52164_at	106.9
52159_at	20.1
52078_at	49.1
52005_at	83.6
51774_s_at	574.8
51228_at	4.6
51226_at	57.8
51200_at	96.8
51192_at	30.9
51176_at	86
51158_at	43.8
51146_at	61.4
50965_at	134.5
50400_at	57.8
50376_at	36.9
50374_at	108
50314_i_at	187.9
50277_at	459.8
50221_at	136.6
49878_at	545.5
49679_s_at	90.5
49485_at	97.8
49452_at	93.9
49329_at	162.3
49327_at	269
49306_at	25.8
49111_at	163.8
49077_at	173.9
49051_g_at	45.4
49049_at	24.5
48825_at	17.9
48808_at	51
48659_at	429.9
48612_at	1013.4
48580_at	436.7
48531_at	205.1
48117_at	61.4
48106_at	231.4
48031_r_at	115.4
48030_i_at	900.3
47773_at	59.8
47608_at	122.6
47571_at	221.3
47560_at	67.6
47553_at	5.4
47550_at	41.5
47530_at	112.6
47105_at	93.5
47083_at	121.6
47069_at	148.9
46947_at	67.7
46665_at	68.2
46323_at	104.9
46270_at	30.3
46256_at	514.9
46167_at	32.2
46142_at	41.5
45828_at	146.6
45749_at	411.7
45714_at	26.9
45687_at	260.4
45653_at	14.2
45633_at	3.5
45572_s_at	436.4
45526_g_at	601.8
45297_at	88.7
45288_at	6.8
44822_s_at	22.4
44790_s_at	94.7
44783_s_at	142.9
44702_at	120.5
44696_at	146.4
44673_at	141.5
44669_at	54.2
44654_at	126.5
44617_at	262.6
44563_at	364.7
44146_at	303.9
44120_at	80
44111_at	189.5
44065_at	40.6
44040_at	156
43977_at	172.4
43934_at	174.9
43544_at	100.5
43511_s_at	243.3
43427_at	17.5
42361_g_at	11.3
41858_at	158.2
41856_at	253.9
41660_at	7.2
41657_at	41.7
41644_at	140.2
41577_at	35.4
41553_at	71.3
41512_at	93.8
41469_at	236.7
41397_at	52.6
41387_r_at	260.7
41386_i_at	136.6
41329_at	58
41220_at	3781
41160_at	34.9
41113_at	33.8
41047_at	211.4
41037_at	7.1
40850_at	265.5
40837_at	16.3
40829_at	388.3
40687_at	12.2
40665_at	13.9
40640_at	101.7
40612_at	14.5
40569_at	201.3
40562_at	45.1
40560_at	21
40524_at	7.6
40489_at	126.6
40472_at	10.5
40465_at	115.3
40446_at	694.5
40420_at	276.8
40359_at	407.9
40284_at	13.7
40273_at	12.3
40255_at	73.8
40225_at	398.2
40189_at	301.2
40149_at	135.9
40148_at	2.6
40093_at	48.5
40020_at	181.2
40016_g_at	95.8
39966_at	41.5
39891_at	163
39854_r_at	347.1
39835_at	18.3
39817_s_at	233.6
39763_at	27.8
39729_at	358.8
39705_at	131.8
39650_s_at	104.1
396_f_at	1300.9
39582_at	102.5
39549_at	1.9
39548_at	43.7
39402_at	246.6
39318_at	245.8
39313_at	34.1
39249_at	74.8
39248_at	350.5
38964_r_at	2996.1
38918_at	104.4
38892_at	119.9
38766_at	25.4
38710_at	363.7
38707_r_at	593.6
38703_at	385.8
38691_s_at	115.9
38671_at	198.2
38521_at	109.5
38487_at	175.4
38447_at	439
38398_at	254.1
38340_at	169.2
38290_at	150.5
38269_at	543.5
38241_at	143.2
38158_at	143.1
38157_at	32.5
38149_at	413.8
38069_at	177.9
38043_at	13.4
38037_at	77.9
37996_s_at	70.3
37986_at	55.6
37966_at	64.4
37965_at	117
37953_s_at	18.4
37950_at	49.2
37943_at	119.8
37892_at	14
37872_at	179.7
37860_at	135.9
37831_at	75.5
37802_r_at	3.3
37796_at	242.6
37793_r_at	187.9
37652_at	162.3
37590_g_at	81.7
37586_at	50.9
37577_at	31.5
37566_at	24.1
37549_g_at	46.3
37547_at	28.4
37512_at	11.9
37462_i_at	129.3
37433_at	6
37425_g_at	54.6
37424_at	18.3
37408_at	232.9
37384_at	296.5
