ID_REF	control_1_VALUE
AFFX-TrpnX-M_at	6
AFFX-TrpnX-5_at	9.8
AFFX-TrpnX-3_at	2.7
AFFX-ThrX-M_at	8.9
AFFX-ThrX-5_at	5
AFFX-ThrX-3_at	8
AFFX-r2-P1-cre-5_at	29460.1
AFFX-r2-P1-cre-3_at	36903.5
AFFX-r2-Hs28SrRNA-M_at	249.5
AFFX-r2-Hs28SrRNA-5_at	242.2
AFFX-r2-Hs28SrRNA-3_at	950
AFFX-r2-Hs18SrRNA-M_x_at	317.5
AFFX-r2-Hs18SrRNA-5_at	457.7
AFFX-r2-Hs18SrRNA-3_s_at	322.1
AFFX-r2-Ec-bioD-5_at	10173.3
AFFX-r2-Ec-bioD-3_at	9006.2
AFFX-r2-Ec-bioC-5_at	1966.2
AFFX-r2-Ec-bioC-3_at	2446.3
AFFX-r2-Ec-bioB-M_at	1403.4
AFFX-r2-Ec-bioB-5_at	463.6
AFFX-r2-Ec-bioB-3_at	581.3
AFFX-r2-Bs-thr-M_s_at	112.8
AFFX-r2-Bs-thr-5_s_at	88.1
AFFX-r2-Bs-thr-3_s_at	8
AFFX-r2-Bs-phe-M_at	15.4
AFFX-r2-Bs-phe-5_at	1.7
AFFX-r2-Bs-phe-3_at	6.3
AFFX-r2-Bs-lys-M_at	4.3
AFFX-r2-Bs-lys-5_at	2.2
AFFX-r2-Bs-lys-3_at	9
AFFX-r2-Bs-dap-M_at	2.1
AFFX-r2-Bs-dap-5_at	3.4
AFFX-r2-Bs-dap-3_at	1.5
AFFX-PheX-M_at	2.4
AFFX-PheX-5_at	10.3
AFFX-PheX-3_at	94.4
AFFX-M27830_M_at	867.8
AFFX-M27830_5_at	537.1
AFFX-M27830_3_at	33
AFFX-LysX-M_at	11.6
AFFX-LysX-5_at	4.8
AFFX-LysX-3_at	7.6
AFFX-HUMRGE/M10098_M_at	220.8
AFFX-HUMRGE/M10098_5_at	405
AFFX-HUMRGE/M10098_3_at	295.6
AFFX-HUMISGF3A/M97935_MB_at	10.7
