ID_REF	symp_7_VALUE
AFFX-TrpnX-M_at	6
AFFX-TrpnX-5_at	11.9
AFFX-TrpnX-3_at	1.1
AFFX-ThrX-M_at	7.7
AFFX-ThrX-5_at	7.6
AFFX-ThrX-3_at	15.4
AFFX-r2-P1-cre-5_at	12098.9
AFFX-r2-P1-cre-3_at	16188.6
AFFX-r2-Hs28SrRNA-M_at	80.3
AFFX-r2-Hs28SrRNA-5_at	149.5
AFFX-r2-Hs28SrRNA-3_at	257.7
AFFX-r2-Hs18SrRNA-M_x_at	155.4
AFFX-r2-Hs18SrRNA-5_at	74.2
AFFX-r2-Hs18SrRNA-3_s_at	202.7
AFFX-r2-Ec-bioD-5_at	3193.2
AFFX-r2-Ec-bioD-3_at	3680.7
AFFX-r2-Ec-bioC-5_at	784.5
AFFX-r2-Ec-bioC-3_at	958.9
AFFX-r2-Ec-bioB-M_at	601.3
AFFX-r2-Ec-bioB-5_at	305.5
AFFX-r2-Ec-bioB-3_at	277.8
AFFX-r2-Bs-thr-M_s_at	26.2
AFFX-r2-Bs-thr-5_s_at	41.7
AFFX-r2-Bs-thr-3_s_at	4.1
AFFX-r2-Bs-phe-M_at	4
AFFX-r2-Bs-phe-5_at	1.9
AFFX-r2-Bs-phe-3_at	15.3
AFFX-r2-Bs-lys-M_at	36.2
AFFX-r2-Bs-lys-5_at	5.6
AFFX-r2-Bs-lys-3_at	44.9
AFFX-r2-Bs-dap-M_at	3
AFFX-r2-Bs-dap-5_at	3.3
AFFX-r2-Bs-dap-3_at	1.5
AFFX-PheX-M_at	5.1
AFFX-PheX-5_at	4.9
AFFX-PheX-3_at	43.6
AFFX-M27830_M_at	468
AFFX-M27830_5_at	241.4
AFFX-M27830_3_at	22.7
AFFX-LysX-M_at	12
AFFX-LysX-5_at	15
AFFX-LysX-3_at	5
AFFX-HUMRGE/M10098_M_at	79.7
AFFX-HUMRGE/M10098_5_at	114.8
AFFX-HUMRGE/M10098_3_at	222.8
AFFX-HUMISGF3A/M97935_MB_at	111.2
AFFX-HUMISGF3A/M97935_MA_at	50.4
AFFX-HUMISGF3A/M97935_5_at	11
AFFX-HUMISGF3A/M97935_3_at	363.1
AFFX-HUMGAPDH/M33197_M_at	2583.3
AFFX-HUMGAPDH/M33197_5_at	2205.9
AFFX-HUMGAPDH/M33197_3_at	3418.6
AFFX-hum_alu_at	14771.4
AFFX-HSAC07/X00351_M_at	5492.6
AFFX-HSAC07/X00351_5_at	3860.6
AFFX-HSAC07/X00351_3_at	9207.7
AFFX-DapX-M_at	25
AFFX-DapX-5_at	4.1
AFFX-DapX-3_at	1.7
AFFX-CreX-5_at	6114.3
AFFX-CreX-3_at	10308.3
AFFX-BioDn-5_at	478.1
AFFX-BioDn-3_at	3169.9
AFFX-BioC-5_at	819.6
AFFX-BioC-3_at	488
AFFX-BioB-M_at	609.3
AFFX-BioB-5_at	163.5
AFFX-BioB-3_at	169.5
91952_at	65.8
91920_at	184.6
91826_at	18.9
91816_f_at	69.1
91703_at	9.7
91684_g_at	58.2
91682_at	152.8
91617_at	4.2
91580_at	72.1
90610_at	284.3
90265_at	322.5
89977_at	22.7
89948_at	72.4
89476_r_at	118.9
87100_at	43.4
823_at	61.7
81811_at	210.3
81737_at	18.4
79005_at	146.1
78495_at	78.4
78383_at	122.3
78330_at	68.3
78047_s_at	446.7
77508_r_at	411.1
76897_s_at	27
74694_s_at	59.1
71933_at	533.4
66053_at	29
65884_at	84.5
65770_at	79.3
65718_at	64.3
65635_at	387.9
65630_at	71.8
65591_at	160.3
65588_at	61.2
65585_at	94.2
65521_at	207.8
65517_at	217.1
65493_at	25.1
65472_at	40.8
65438_at	15.6
65133_i_at	20.2
65086_at	82
64942_at	166.1
64900_at	8.1
64899_at	38.7
64883_at	293.2
64488_at	100.2
64486_at	153.9
64474_g_at	37.1
64440_at	201.6
64438_at	84.9
64432_at	18.9
64418_at	301.7
64408_s_at	54.2
64371_at	78.5
64064_at	660.9
63825_at	78.2
635_s_at	58.3
63305_at	71.5
632_at	303
63009_at	148.9
62987_r_at	138.4
62212_at	89.7
61874_at	185.6
61734_at	16.5
61732_r_at	8.7
61297_at	8.2
60815_at	3.8
