ID_REF	control_8_VALUE
AFFX-TrpnX-M_at	3.6
AFFX-TrpnX-5_at	5.2
AFFX-TrpnX-3_at	1.3
AFFX-ThrX-M_at	3.6
AFFX-ThrX-5_at	6.5
AFFX-ThrX-3_at	5.7
AFFX-r2-P1-cre-5_at	20262
AFFX-r2-P1-cre-3_at	26492.2
AFFX-r2-Hs28SrRNA-M_at	152.5
AFFX-r2-Hs28SrRNA-5_at	222.4
AFFX-r2-Hs28SrRNA-3_at	540.5
AFFX-r2-Hs18SrRNA-M_x_at	269.1
AFFX-r2-Hs18SrRNA-5_at	203.8
AFFX-r2-Hs18SrRNA-3_s_at	437.7
AFFX-r2-Ec-bioD-5_at	6425.2
AFFX-r2-Ec-bioD-3_at	5965.4
AFFX-r2-Ec-bioC-5_at	1419.6
AFFX-r2-Ec-bioC-3_at	1587.4
AFFX-r2-Ec-bioB-M_at	945.4
AFFX-r2-Ec-bioB-5_at	294
AFFX-r2-Ec-bioB-3_at	477.1
AFFX-r2-Bs-thr-M_s_at	15.9
AFFX-r2-Bs-thr-5_s_at	67
AFFX-r2-Bs-thr-3_s_at	7.5
AFFX-r2-Bs-phe-M_at	4.9
AFFX-r2-Bs-phe-5_at	3.9
AFFX-r2-Bs-phe-3_at	11.8
AFFX-r2-Bs-lys-M_at	38.7
AFFX-r2-Bs-lys-5_at	2.4
AFFX-r2-Bs-lys-3_at	16.3
AFFX-r2-Bs-dap-M_at	5.7
AFFX-r2-Bs-dap-5_at	2
AFFX-r2-Bs-dap-3_at	0.9
AFFX-PheX-M_at	5
AFFX-PheX-5_at	4.8
AFFX-PheX-3_at	19.5
AFFX-M27830_M_at	958.5
AFFX-M27830_5_at	597.2
AFFX-M27830_3_at	22.2
AFFX-LysX-M_at	9.1
AFFX-LysX-5_at	9.1
AFFX-LysX-3_at	2.4
AFFX-HUMRGE/M10098_M_at	196.6
AFFX-HUMRGE/M10098_5_at	289.6
AFFX-HUMRGE/M10098_3_at	337.9
AFFX-HUMISGF3A/M97935_MB_at	145.3
AFFX-HUMISGF3A/M97935_MA_at	204.6
AFFX-HUMISGF3A/M97935_5_at	11.8
AFFX-HUMISGF3A/M97935_3_at	495.8
AFFX-HUMGAPDH/M33197_M_at	2693.4
AFFX-HUMGAPDH/M33197_5_at	2599.6
AFFX-HUMGAPDH/M33197_3_at	3837.2
AFFX-hum_alu_at	19705.7
AFFX-HSAC07/X00351_M_at	5967.3
AFFX-HSAC07/X00351_5_at	4370.5
AFFX-HSAC07/X00351_3_at	13689.4
AFFX-DapX-M_at	18.9
AFFX-DapX-5_at	11.3
AFFX-DapX-3_at	3.1
AFFX-CreX-5_at	10693.1
AFFX-CreX-3_at	17333.9
AFFX-BioDn-5_at	880.9
AFFX-BioDn-3_at	5376.7
AFFX-BioC-5_at	1071.7
AFFX-BioC-3_at	1012.1
AFFX-BioB-M_at	1087.1
AFFX-BioB-5_at	329.8
AFFX-BioB-3_at	298
91952_at	14.3
91920_at	152
91826_at	7.8
91816_f_at	56.4
91703_at	17.1
91684_g_at	47.1
91682_at	178
91617_at	35.4
91580_at	16.2
90610_at	232.6
90265_at	496.3
89977_at	59.7
89948_at	17.8
89476_r_at	46.1
87100_at	9.7
823_at	49.4
81811_at	108
81737_at	17.1
79005_at	157.2
78495_at	89.8
78383_at	149.1
78330_at	63.4
78047_s_at	578.2
77508_r_at	389.7
76897_s_at	1.5
74694_s_at	67.7
71933_at	479
66053_at	38
65884_at	115.9
65770_at	98.9
65718_at	64.9
65635_at	319.2
65630_at	87.9
65591_at	197.7
65588_at	54.2
65585_at	77.4
65521_at	200.7
65517_at	207.1
65493_at	45
65472_at	16.2
65438_at	17.3
65133_i_at	17.6
65086_at	22.3
64942_at	227.8
64900_at	4
64899_at	90.7
64883_at	156
64488_at	54.8
64486_at	264.7
64474_g_at	62.6
64440_at	183.8
64438_at	90.3
64432_at	5.3
64418_at	248.6
64408_s_at	9
64371_at	101.4
64064_at	606.6
63825_at	103.7
635_s_at	81.3
63305_at	90.3
632_at	277.5
63009_at	106.6
