ID_REF	control_4_VALUE
AFFX-TrpnX-M_at	16.2
AFFX-TrpnX-5_at	13.5
AFFX-TrpnX-3_at	12.4
AFFX-ThrX-M_at	38
AFFX-ThrX-5_at	10.2
AFFX-ThrX-3_at	15
AFFX-r2-P1-cre-5_at	20820.5
AFFX-r2-P1-cre-3_at	23682.2
AFFX-r2-Hs28SrRNA-M_at	144.6
AFFX-r2-Hs28SrRNA-5_at	136.5
AFFX-r2-Hs28SrRNA-3_at	298.9
AFFX-r2-Hs18SrRNA-M_x_at	123
AFFX-r2-Hs18SrRNA-5_at	286.3
AFFX-r2-Hs18SrRNA-3_s_at	251.1
AFFX-r2-Ec-bioD-5_at	6945.4
AFFX-r2-Ec-bioD-3_at	6237.3
AFFX-r2-Ec-bioC-5_at	1193
AFFX-r2-Ec-bioC-3_at	1393.6
AFFX-r2-Ec-bioB-M_at	837.1
AFFX-r2-Ec-bioB-5_at	406.8
AFFX-r2-Ec-bioB-3_at	431.8
AFFX-r2-Bs-thr-M_s_at	50.5
AFFX-r2-Bs-thr-5_s_at	29.4
AFFX-r2-Bs-thr-3_s_at	20.2
AFFX-r2-Bs-phe-M_at	30.3
AFFX-r2-Bs-phe-5_at	8.4
AFFX-r2-Bs-phe-3_at	17.9
AFFX-r2-Bs-lys-M_at	18.1
AFFX-r2-Bs-lys-5_at	6.4
AFFX-r2-Bs-lys-3_at	126.1
AFFX-r2-Bs-dap-M_at	13.2
AFFX-r2-Bs-dap-5_at	23.1
AFFX-r2-Bs-dap-3_at	7.6
AFFX-PheX-M_at	12.6
AFFX-PheX-5_at	18.1
AFFX-PheX-3_at	64.5
AFFX-M27830_M_at	582.3
AFFX-M27830_5_at	362
AFFX-M27830_3_at	51
AFFX-LysX-M_at	26.4
AFFX-LysX-5_at	19.8
AFFX-LysX-3_at	16.5
AFFX-HUMRGE/M10098_M_at	51.5
AFFX-HUMRGE/M10098_5_at	217.6
AFFX-HUMRGE/M10098_3_at	448.8
AFFX-HUMISGF3A/M97935_MB_at	78.5
AFFX-HUMISGF3A/M97935_MA_at	36.4
AFFX-HUMISGF3A/M97935_5_at	14.6
AFFX-HUMISGF3A/M97935_3_at	166
AFFX-HUMGAPDH/M33197_M_at	1388.2
AFFX-HUMGAPDH/M33197_5_at	1457.9
AFFX-HUMGAPDH/M33197_3_at	2519.4
AFFX-hum_alu_at	17793.3
AFFX-HSAC07/X00351_M_at	4558.9
AFFX-HSAC07/X00351_5_at	3318
AFFX-HSAC07/X00351_3_at	10498.4
AFFX-DapX-M_at	97
AFFX-DapX-5_at	32.4
AFFX-DapX-3_at	12.2
AFFX-CreX-5_at	11483.8
AFFX-CreX-3_at	16259.4
AFFX-BioDn-5_at	757.6
AFFX-BioDn-3_at	5476.2
AFFX-BioC-5_at	1208.7
AFFX-BioC-3_at	926
AFFX-BioB-M_at	1068.8
AFFX-BioB-5_at	282.7
AFFX-BioB-3_at	355.1
91952_at	101.6
91920_at	454.5
91826_at	48
91816_f_at	70.9
91703_at	50.5
91684_g_at	74.4
91682_at	252.5
91617_at	10.7
91580_at	62.4
90610_at	89.3
90265_at	383
89977_at	124.6
89948_at	45.2
89476_r_at	97.8
87100_at	20.6
823_at	32.6
81811_at	228.9
81737_at	31.6
79005_at	172.7
78495_at	104.3
78383_at	174.1
78330_at	129.3
78047_s_at	686.7
77508_r_at	403.8
76897_s_at	3.5
74694_s_at	61.2
71933_at	393.7
66053_at	21.9
65884_at	175.3
65770_at	60.9
65718_at	39.7
65635_at	337.9
65630_at	15.2
65591_at	198
65588_at	85
65585_at	172.4
65521_at	264.1
65517_at	76.1
65493_at	50.7
65472_at	9.1
65438_at	56.4
65133_i_at	73.2
65086_at	63.1
64942_at	160
64900_at	10.2
64899_at	112.7
64883_at	202.7
64488_at	109.7
64486_at	194.5
64474_g_at	53.7
64440_at	239.4
64438_at	152.4
64432_at	14.8
64418_at	111.3
64408_s_at	65.8
64371_at	149.1
64064_at	448.5
63825_at	22.6
635_s_at	96.7
63305_at	45.6
632_at	392.8
63009_at	106
62987_r_at	930
62212_at	126.9
61874_at	525.1
61734_at	73.5
61732_r_at	21.7
61297_at	31.3
60815_at	20.4
60794_f_at	31.4
60528_at	367
60474_at	32.6
60471_at	210.4
60084_at	13.6
59999_at	77.9
59705_at	91.8
59697_at	109.6
59644_at	74
59631_at	89.4
59625_at	37.4
59437_at	36.8
59433_at	132.4
59375_at	338.4
58994_at	28.8
58916_at	20.9
58900_at	461.4
58780_s_at	168.7
58696_at	102.7
58367_s_at	588
58308_at	71.9
57739_at	172.6
57715_at	71.2
57703_at	106
57588_at	34.4
57540_at	26.6
57539_at	82.9
57532_at	54.6
57516_at	76.1
57163_at	257.3
57082_at	680.9
56919_at	156.7
56829_at	170.4
56821_at	51.1
56748_at	74.2
564_at	118.3
56256_at	449.2
56197_at	722.4
55872_at	42.2
55705_at	4148.2
55692_at	59.5
55662_at	20.5
55616_at	81.2
55583_at	63.3
55093_at	60.3
55081_at	39.9
55065_at	114.4
54970_at	343
54632_at	88.1
54051_at	43.4
54037_at	41.3
53991_at	25.2
53987_at	122.5
53968_at	122
53912_at	123.3
53720_at	112.8
53202_at	62.1
53076_at	50.3
53071_s_at	9.6
52975_at	51.4
52940_at	276.7
52837_at	105.1
52741_at	112.5
52731_at	32.7
52651_at	93.5
52285_f_at	11.9
52255_s_at	189.3
52169_at	328.9
52164_at	88.9
52159_at	68.9
52078_at	105
52005_at	74.7
51774_s_at	597.3
51228_at	18.9
51226_at	58
51200_at	175.4
51192_at	186.1
51176_at	81.5
51158_at	46.5
51146_at	18
50965_at	178.6
50400_at	104.3
50376_at	261.3
50374_at	80.3
50314_i_at	171.3
50277_at	360.3
50221_at	41.3
49878_at	482.3
49679_s_at	120.8
49485_at	103.8
49452_at	36.3
49329_at	155.7
49327_at	305.5
49306_at	21.2
49111_at	60.9
49077_at	358.4
49051_g_at	41.3
49049_at	32.6
48825_at	80.7
48808_at	45.2
48659_at	380.8
48612_at	969
48580_at	553.3
48531_at	147.9
48117_at	294.9
48106_at	300.6
48031_r_at	249.4
48030_i_at	455.4
47773_at	19.9
47608_at	190.4
47571_at	246.2
47560_at	24.3
47553_at	9
47550_at	24.8
47530_at	137.8
47105_at	87.7
47083_at	309.4
47069_at	135.4
46947_at	73.4
46665_at	43.4
46323_at	100.8
46270_at	187.3
46256_at	511
46167_at	24.5
46142_at	104.8
45828_at	126.5
45749_at	452.8
45714_at	160.6
45687_at	172.3
45653_at	33.6
45633_at	7.2
45572_s_at	248.1
45526_g_at	562.3
45297_at	57.4
45288_at	19.8
44822_s_at	35.4
44790_s_at	144.2
44783_s_at	262.7
44702_at	148.9
44696_at	156.7
44673_at	188.1
44669_at	131.7
44654_at	157.6
44617_at	312.8
44563_at	455.9
44146_at	292.4
44120_at	70.7
44111_at	173.4
44065_at	42.4
44040_at	186.8
43977_at	164.6
43934_at	188.8
43544_at	100.9
43511_s_at	121.4
43427_at	36.6
42361_g_at	15.8
41858_at	48.1
41856_at	177.6
41660_at	19.6
41657_at	52.6
41644_at	258.4
41577_at	41.7
41553_at	78.5
41512_at	39
41469_at	315.4
41397_at	131.7
41387_r_at	373.4
41386_i_at	138.4
41329_at	27.8
41220_at	2187.4
41160_at	67.8
41113_at	83.2
41047_at	261.3
41037_at	27.5
40850_at	277.9
40837_at	127.1
40829_at	327.7
40687_at	18.9
40665_at	17.7
40640_at	60.9
40612_at	62.4
40569_at	243.1
40562_at	102.8
40560_at	87
40524_at	66.9
40489_at	170.1
40472_at	25.4
40465_at	60.1
40446_at	336.3
40420_at	241.7
40359_at	544.1
40284_at	12.7
40273_at	27.3
40255_at	92.4
40225_at	413.6
40189_at	176.6
40149_at	137
40148_at	46.1
40093_at	85.7
40020_at	153.6
40016_g_at	58.4
39966_at	41.2
39891_at	140.3
39854_r_at	606.2
39835_at	56.5
39817_s_at	284
39763_at	77.7
39729_at	414.7
39705_at	151.5
39650_s_at	129.1
396_f_at	1402.6
39582_at	48.3
39549_at	10.1
39548_at	61.1
39402_at	167.7
39318_at	159.1
39313_at	25.2
39249_at	39.9
39248_at	150.2
38964_r_at	2423.1
38918_at	119.2
38892_at	75.7
38766_at	15.4
38710_at	480.9
38707_r_at	628.9
38703_at	382
38691_s_at	105.4
38671_at	163.7
38521_at	64.3
38487_at	160.9
38447_at	450.7
38398_at	266.5
38340_at	83
38290_at	162.5
38269_at	348.4
38241_at	69.1
38158_at	106.4
38157_at	104.8
38149_at	268.8
38069_at	80.6
38043_at	47.1
38037_at	77.2
37996_s_at	32.1
37986_at	66.4
37966_at	35.4
37965_at	249.4
37953_s_at	115.5
37950_at	82.9
37943_at	145.4
37892_at	21.9
37872_at	210.1
37860_at	188.2
37831_at	144.1
37802_r_at	2.3
37796_at	157.2
37793_r_at	95.1
37652_at	150.7
37590_g_at	55.3
37586_at	57
37577_at	12.7
37566_at	34.5
37549_g_at	45.9
37547_at	6.5
37512_at	5
37462_i_at	49.1
37433_at	33.3
37425_g_at	63.4
37424_at	105
37408_at	277.5
37384_at	347.3
37278_at	284.7
37254_at	62.1
37232_at	86.6
37226_at	118.5
37201_at	118.9
37170_at	7.3
37152_at	36.1
37145_at	671.2
37117_at	26.7
37079_at	29.2
37028_at	271.8
37022_at	160.1
37020_at	15.8
37012_at	665.9
37005_at	246.2
37004_at	64.4
36994_at	837.7
36936_at	204.5
36920_at	15.6
36907_at	671.8
36888_at	330.2
36865_at	111.6
36830_at	13.9
36829_at	294
36742_at	37.5
36711_at	4.6
36612_at	9.6
36566_at	37.7
36564_at	310.9
36554_at	144.6
36553_at	49
36552_at	86.3
36545_s_at	16.1
36499_at	91.6
36475_at	143
36129_at	576.2
36084_at	155.6
36030_at	244
36019_at	265.2
36004_at	414.7
35974_at	76.8
35846_at	29.7
35820_at	45.5
35776_at	123.1
35685_at	180.8
35671_at	219.1
35666_at	186.5
35626_at	111.5
35617_at	59.3
35436_at	27.4
35265_at	136.5
35254_at	202.2
35201_at	490.2
35179_at	60.4
35160_at	58.6
35156_at	176.6
35150_at	405.1
35148_at	28.3
35147_at	173
34868_at	36.4
34858_at	268.8
34846_at	218
34764_at	40.5
34726_at	49.4
34697_at	22.3
34689_at	295
34478_at	15.3
34471_at	24.9
34449_at	20.5
34408_at	200.2
34406_at	82.1
34260_at	18.1
34225_at	118.1
34221_at	54.9
34210_at	171.1
34206_at	185.9
34187_at	36.8
34063_at	110.1
34031_i_at	54.7
33850_at	32.9
33814_at	181.7
33778_at	344.7
33768_at	461.9
33767_at	19.4
33760_at	26.2
33736_at	78.8
33646_g_at	51.7
336_at	277.4
33579_i_at	100.9
33494_at	88
33323_r_at	481.6
33322_i_at	438.3
33307_at	104.4
33304_at	200.6
33197_at	25.2
33148_at	48.3
33132_at	83.8
32837_at	354.1
32836_at	342.7
32811_at	437.4
32723_at	22.5
32699_s_at	225.8
32625_at	72.5
32541_at	71.7
32540_at	341.6
32502_at	57.1
32402_s_at	26.2
32259_at	148.7
32209_at	299.1
32137_at	142
32128_at	16
32099_at	150.8
32094_at	170.1
32091_at	174.7
32088_at	2.9
32069_at	209.3
32062_at	32.7
32042_at	61.1
32032_at	149
32029_at	264.6
320_at	111.1
31874_at	122.5
31861_at	310.9
31846_at	311.8
31845_at	260.8
31837_at	355.5
31835_at	112.6
31826_at	211.6
31807_at	168.7
31799_at	62
31637_s_at	92.6
266_s_at	25
243_g_at	114.7
222384_at	70.7
222383_s_at	19.3
222382_x_at	74.6
222381_at	123.4
222380_s_at	235.2
222379_at	29.9
222378_at	70.4
222377_at	198.1
222376_at	211.5
222375_at	10.9
222374_at	43.7
222373_at	28.1
222372_at	18.5
222371_at	276.3
222370_x_at	150.2
222369_at	17.6
222368_at	86.9
222367_at	152.3
222366_at	91.7
222365_at	230.1
222364_at	9
222363_at	157.5
222362_at	108.6
222361_at	17.8
222360_at	21.5
222359_x_at	5.5
222358_x_at	29.7
222357_at	31.2
222356_at	171.7
222355_at	76.3
222354_at	13.8
222353_at	91.4
222352_at	54.9
222351_at	15.3
222350_at	10.1
222349_x_at	50
222348_at	10.2
222347_at	15.4
222346_at	27.9
222345_at	89.8
222344_at	33.5
222343_at	58.4
222342_at	26.4
222341_x_at	24.5
222340_at	21.4
222339_x_at	112.7
222338_x_at	73
222337_at	22
222336_at	109.8
222335_at	37.1
222334_at	130.5
222333_at	379.3
222332_at	59.6
222331_at	75.3
222330_at	5.4
222329_x_at	155.2
222328_x_at	58.1
222327_x_at	72.9
222326_at	36.3
222325_at	8.2
222324_at	39
222323_at	110.1
222322_at	6.6
222321_at	56.1
222320_at	10
222319_at	186.4
222318_at	275.1
222317_at	23.1
222316_at	59.8
222315_at	13.2
222314_x_at	19.2
222313_at	6.7
222312_s_at	149.5
222311_s_at	64.3
222310_at	95.9
222309_at	13
222308_x_at	6.7
222307_at	145.6
222306_at	84.3
222305_at	94.6
222304_x_at	18.9
222303_at	61.9
222302_at	154.9
222301_at	271.3
222300_at	125.3
222299_x_at	10.1
222298_at	10.1
222297_x_at	176.1
222296_at	140.2
222295_x_at	67.6
222294_s_at	153.8
222293_at	167.8
222292_at	74.7
222291_at	55.3
222290_at	17.3
222289_at	65.7
222288_at	31.5
222287_at	15.1
222286_at	30.1
222285_at	126.9
222284_at	16.6
222283_at	78.8
222282_at	71.4
222281_s_at	100.1
222280_at	418.6
222279_at	319.7
222278_at	87.2
222277_at	16.3
222276_at	25.5
222275_at	64.7
222274_at	51.2
222273_at	83.3
222272_x_at	13.4
222271_at	23.5
222270_at	14.3
222269_at	50.3
222268_x_at	30.8
222267_at	41.4
222266_at	18
222265_at	107.9
222264_at	129.3
222263_at	23.3
222262_s_at	30.2
222261_at	40
222260_at	24.5
222259_s_at	69.6
222258_s_at	127.1
222257_s_at	24.4
222256_s_at	27.9
222255_at	9.5
222254_at	24
222253_s_at	79.2
222252_x_at	167.3
222251_s_at	78.6
222250_s_at	69.3
222249_at	21.1
222248_s_at	14.8
222247_at	55.4
222246_at	19.6
222245_s_at	37.9
222244_s_at	158.7
222243_s_at	121.9
222242_s_at	203.3
222241_at	53.7
222240_s_at	75
222239_s_at	8.3
222238_s_at	49.3
222237_s_at	79.9
222236_s_at	69.4
222235_s_at	24.3
222234_s_at	51.6
222233_s_at	93.2
222231_s_at	253.2
222230_s_at	83.6
222229_x_at	33.8
222228_s_at	244.6
222227_at	7.2
222226_at	19.2
222225_at	44.1
222224_at	23.7
222223_s_at	56.5
222222_s_at	22.6
222221_x_at	24.8
222220_s_at	53.9
222219_s_at	75.7
222218_s_at	357.9
222217_s_at	36.2
222216_s_at	54.9
222215_at	73.5
222214_at	29.4
222213_x_at	26.2
222212_s_at	192.9
222211_x_at	35.4
222210_at	98.7
222209_s_at	57.8
222208_s_at	66.5
222207_x_at	158.9
222206_s_at	21.9
222205_x_at	31.8
222204_s_at	15
222203_s_at	65.6
222202_at	9
222201_s_at	3.6
222200_s_at	133.1
222199_s_at	176.7
222198_at	41.1
222197_s_at	120.9
222196_at	6.3
222195_s_at	108.9
222194_at	28.5
222193_at	153.1
222192_s_at	33.9
222191_s_at	119.2
222190_s_at	20.9
222189_at	16.5
222188_at	14.2
222187_x_at	245.3
222186_at	9.2
222185_at	138.9
222184_at	105.9
222183_x_at	40
222182_s_at	135.1
222181_at	24.6
222180_at	36.8
222179_at	41.2
222178_s_at	29.2
222177_s_at	52.7
222176_at	42
222175_s_at	167.4
222174_at	79.2
222173_s_at	41.5
222172_at	39.9
222171_s_at	20.7
222170_at	20.2
222169_x_at	26.7
222168_at	62.2
222167_at	98.6
222166_at	78.5
222165_x_at	78.8
222164_at	15.2
222163_s_at	24.7
222162_s_at	59.6
222161_at	17.1
222160_at	384.2
222159_at	136.5
222158_s_at	70.1
222157_s_at	109.2
222156_x_at	11
222155_s_at	35.6
222154_s_at	22.3
222153_at	88.6
222152_at	140.2
222151_s_at	106.7
222150_s_at	85.9
222149_x_at	51.1
222148_s_at	66.6
222147_s_at	104.4
222146_s_at	24.5
222145_at	17.8
222144_at	114.2
222143_s_at	269.8
222142_at	22.7
222141_at	26.5
222140_s_at	21.8
222139_at	48.9
222138_s_at	49.7
222137_at	34.9
222136_x_at	58.8
222135_at	17.7
222134_at	16.8
222133_s_at	12.9
222132_s_at	64.9
222131_x_at	43.5
222130_s_at	102.9
222129_at	173.7
222128_at	20.8
222127_s_at	154.1
222126_at	112.1
222125_s_at	331.8
222124_at	16
222123_s_at	77.9
222122_s_at	214.1
222121_at	4.3
222120_at	38.2
222119_s_at	63
222118_at	19.5
222117_s_at	28.1
222116_s_at	39.8
222115_x_at	233.2
222114_x_at	29.7
222113_s_at	161.5
222112_at	17.9
222111_at	16.1
222110_at	216.7
222109_at	57.9
222108_at	107.3
222107_x_at	56.5
222106_at	33.5
222105_s_at	16.1
222104_x_at	97.9
222103_at	4.6
222102_at	24.4
222101_s_at	35.3
222100_at	19.9
222099_s_at	323.4
222098_s_at	91.3
222097_at	111.7
222096_x_at	176.7
222095_s_at	20.6
222094_at	125.9
222093_s_at	221.5
222092_at	23.6
222091_at	47
222090_at	11.3
222089_s_at	23.8
222088_s_at	422.7
222087_at	25.6
222086_s_at	23.5
222085_at	32.1
222084_s_at	34.1
222083_at	19
222082_at	136.4
222081_at	28.9
222080_s_at	47.9
222079_at	122.6
222078_at	24.7
222077_s_at	57.5
222076_at	35.5
222075_s_at	85.7
222074_at	30
222073_at	46.5
222072_at	44.6
222071_s_at	79.1
222070_at	83.7
222069_s_at	21.7
222068_s_at	51.6
222067_x_at	119.9
222066_at	99.2
222065_s_at	235.4
222064_s_at	140.9
222063_s_at	21.6
222062_at	11.3
222061_at	19.2
222060_at	55.5
222059_at	37.1
222058_at	41.1
222057_at	33.8
222056_s_at	73.8
222055_at	68.9
222054_at	23.2
222053_at	159.4
222052_at	149.6
222051_s_at	41.1
222050_at	21.1
222049_s_at	18
222048_at	20.1
222047_s_at	510.2
222046_at	37
222045_s_at	36.1
222044_at	16.3
222043_at	12.3
222042_x_at	27.3
222041_at	139.2
222040_at	176.7
222039_at	18
222038_s_at	14.3
222037_at	9.6
222036_s_at	8.6
222035_s_at	9
222034_at	13.1
222033_s_at	16.7
222032_s_at	81
222031_at	10.7
222030_at	183.7
222029_x_at	130.6
222028_at	122.5
222027_at	120.8
222026_at	69.8
222025_s_at	25.4
222024_s_at	135.1
222023_at	80
222022_at	203.6
222021_x_at	395.8
222020_s_at	23
222019_at	17.3
222018_at	17.5
222017_x_at	102.9
222016_s_at	64.9
222015_at	50.1
222014_x_at	17.6
222013_x_at	32.3
222012_at	30.3
222011_s_at	143.4
222010_at	26.2
222009_at	18.9
222008_at	22.8
222007_s_at	14.2
222006_at	69.1
222005_s_at	313.8
222004_s_at	29
222003_s_at	99.1
222002_at	46.4
222001_x_at	116
222000_at	13.5
221999_at	311.6
221998_s_at	79.9
221997_s_at	83.1
221996_s_at	21
221995_s_at	34.2
221994_at	13.8
221993_s_at	15.6
221992_at	43.6
221991_at	142.6
221990_at	96.6
221989_at	111.8
221988_at	59.8
221987_s_at	17.3
221986_s_at	26
221985_at	60.6
221984_s_at	351.8
221983_at	189.6
221982_x_at	36.3
221981_s_at	23.9
221980_at	64.4
221979_at	20.3
221978_at	324.4
221977_at	17.4
221976_s_at	11.7
221975_s_at	33
221974_at	21.3
221973_at	68.8
221972_s_at	11.1
221971_x_at	51.2
221970_s_at	45.8
221969_at	227
221968_s_at	16.8
221967_at	230.9
221966_at	73.4
221965_at	148.5
221964_at	14.8
221963_x_at	181.2
221962_s_at	41
221961_at	36
221960_s_at	93.4
221959_at	26.9
221958_s_at	101
221957_at	140.1
221956_at	36.2
221955_at	12.3
221954_at	115.3
221953_s_at	109.3
221952_x_at	589.3
221951_at	166.9
221950_at	57.2
221949_at	171.8
221948_s_at	19.3
221947_at	119.5
221946_at	19.6
221945_at	80.9
221944_at	60.3
221943_x_at	691.6
221942_s_at	245
221941_at	102.9
221940_at	40.5
221939_at	25.3
221938_x_at	144.6
221937_at	96.7
221936_x_at	44.7
221935_s_at	15.6
221934_s_at	98
221933_at	12.8
221932_s_at	414.9
221931_s_at	58.5
221930_at	133.3
221929_at	114.6
221928_at	47.2
221927_s_at	216.9
221926_s_at	19
221925_s_at	44.7
221924_at	78
221923_s_at	189.1
221922_at	26.3
221921_s_at	43.1
221920_s_at	1944.9
221919_at	123.1
221918_at	29.5
221917_s_at	124.1
221916_at	62.9
221915_s_at	96.1
221914_at	42.2
221913_at	71.1
221912_s_at	31.7
221911_at	7.5
221910_at	50.4
221909_at	16.6
221908_at	47.1
221907_at	107.2
221906_at	54.7
221905_at	29.5
221904_at	152.7
221903_s_at	34.4
221902_at	37.3
221901_at	27.5
221900_at	14.2
221899_at	304
221898_at	39.4
221897_at	19.8
221896_s_at	64.5
221895_at	224.4
221894_at	27.8
221893_s_at	78.2
221892_at	173.6
221891_x_at	1022.1
221890_at	63.6
221889_at	25.3
221888_at	46.1
221887_s_at	42.6
221886_at	61.8
221885_at	111.3
221884_at	17.5
221883_at	91.6
221882_s_at	148.1
221881_s_at	29.4
221880_s_at	26.3
221879_at	48.9
221878_at	37.8
221877_at	38.3
221876_at	63.8
221875_x_at	1925.5
221874_at	96
221873_at	47.5
221872_at	15
221871_s_at	24.7
221870_at	54.8
221869_at	55.3
221868_at	39.4
221867_at	16.6
221866_at	39.5
221865_at	133.3
221864_at	276.6
221863_at	40.1
221862_at	160.6
221861_at	63.1
221860_at	98.9
221859_at	453.8
221858_at	29.5
221857_s_at	149.5
221856_s_at	159
221855_at	510.4
221854_at	25.4
221853_s_at	146.3
221852_at	23.8
221851_at	141.4
221850_x_at	292.9
221849_s_at	44.7
221848_at	38.7
221847_at	34.9
221846_s_at	48.6
221845_s_at	62.9
221844_x_at	146.5
221843_s_at	23.1
221842_s_at	176.2
221841_s_at	114.2
221840_at	285.9
221839_s_at	186.2
221838_at	15.5
221837_at	19.2
221836_s_at	169.5
221835_at	52.2
221834_at	27.2
221833_at	22.1
221832_s_at	175.7
221831_at	94.2
221830_at	182.8
221829_s_at	144.8
221828_s_at	88.2
221827_at	171.3
221826_at	19.9
221825_at	93.1
221824_s_at	742.9
221823_at	35.4
221822_at	77.8
221821_s_at	35.6
221820_s_at	280.3
221819_at	268
221818_at	181.3
221817_at	237.3
221816_s_at	102.8
221815_at	24.8
221814_at	35.2
221813_at	49.7
221812_at	39.5
221811_at	56.3
221810_at	24.9
221809_at	66.6
221808_at	17
221807_s_at	45.9
221806_s_at	179.3
221805_at	28.7
221804_s_at	320
221803_s_at	116.4
221802_s_at	20.6
