ID_REF	control_9_VALUE
AFFX-TrpnX-M_at	3.9
AFFX-TrpnX-5_at	8.1
AFFX-TrpnX-3_at	3.1
AFFX-ThrX-M_at	7.5
AFFX-ThrX-5_at	9.6
AFFX-ThrX-3_at	12
AFFX-r2-P1-cre-5_at	26523.1
AFFX-r2-P1-cre-3_at	32728.7
AFFX-r2-Hs28SrRNA-M_at	114.6
AFFX-r2-Hs28SrRNA-5_at	125.8
AFFX-r2-Hs28SrRNA-3_at	264.8
AFFX-r2-Hs18SrRNA-M_x_at	253.2
AFFX-r2-Hs18SrRNA-5_at	145.5
AFFX-r2-Hs18SrRNA-3_s_at	261.8
AFFX-r2-Ec-bioD-5_at	8201.5
AFFX-r2-Ec-bioD-3_at	8317.6
AFFX-r2-Ec-bioC-5_at	1750.7
AFFX-r2-Ec-bioC-3_at	1904.6
AFFX-r2-Ec-bioB-M_at	1548.9
AFFX-r2-Ec-bioB-5_at	433
AFFX-r2-Ec-bioB-3_at	665.9
AFFX-r2-Bs-thr-M_s_at	54.5
AFFX-r2-Bs-thr-5_s_at	50
AFFX-r2-Bs-thr-3_s_at	10.6
AFFX-r2-Bs-phe-M_at	8.8
AFFX-r2-Bs-phe-5_at	4.6
AFFX-r2-Bs-phe-3_at	11.2
AFFX-r2-Bs-lys-M_at	5.7
AFFX-r2-Bs-lys-5_at	4.2
AFFX-r2-Bs-lys-3_at	35.2
AFFX-r2-Bs-dap-M_at	2.1
AFFX-r2-Bs-dap-5_at	2.9
AFFX-r2-Bs-dap-3_at	1.7
AFFX-PheX-M_at	6.5
AFFX-PheX-5_at	3.2
AFFX-PheX-3_at	82.8
AFFX-M27830_M_at	555.4
AFFX-M27830_5_at	258.6
AFFX-M27830_3_at	18.3
AFFX-LysX-M_at	14.5
AFFX-LysX-5_at	19.3
AFFX-LysX-3_at	8.5
AFFX-HUMRGE/M10098_M_at	119.2
AFFX-HUMRGE/M10098_5_at	217
AFFX-HUMRGE/M10098_3_at	318.2
AFFX-HUMISGF3A/M97935_MB_at	80.1
AFFX-HUMISGF3A/M97935_MA_at	23.2
AFFX-HUMISGF3A/M97935_5_at	5.6
AFFX-HUMISGF3A/M97935_3_at	165
AFFX-HUMGAPDH/M33197_M_at	1946
AFFX-HUMGAPDH/M33197_5_at	1515.8
AFFX-HUMGAPDH/M33197_3_at	3170.4
AFFX-hum_alu_at	22576.8
AFFX-HSAC07/X00351_M_at	6655.7
AFFX-HSAC07/X00351_5_at	3413.9
AFFX-HSAC07/X00351_3_at	10268.6
AFFX-DapX-M_at	65.4
AFFX-DapX-5_at	22.6
AFFX-DapX-3_at	4.2
AFFX-CreX-5_at	14636.5
AFFX-CreX-3_at	23488.8
AFFX-BioDn-5_at	1004.6
AFFX-BioDn-3_at	7123.1
AFFX-BioC-5_at	1600.3
AFFX-BioC-3_at	1410
AFFX-BioB-M_at	1280.2
AFFX-BioB-5_at	407.6
AFFX-BioB-3_at	515.4
91952_at	49.3
91920_at	191.9
91826_at	15
91816_f_at	61
91703_at	50.2
91684_g_at	50.4
91682_at	221.3
91617_at	49.6
91580_at	102.7
90610_at	407.8
90265_at	468.7
89977_at	29.6
89948_at	32.6
89476_r_at	134.9
87100_at	13.4
823_at	77.7
81811_at	229.2
81737_at	17
79005_at	149
78495_at	85.2
78383_at	139.7
78330_at	59.8
78047_s_at	698.4
77508_r_at	507.5
