ID_REF	symp_9_VALUE
AFFX-TrpnX-M_at	4.9
AFFX-TrpnX-5_at	5.8
AFFX-TrpnX-3_at	4.2
AFFX-ThrX-M_at	7.4
AFFX-ThrX-5_at	7.8
AFFX-ThrX-3_at	3.5
AFFX-r2-P1-cre-5_at	16546.7
AFFX-r2-P1-cre-3_at	18287.3
AFFX-r2-Hs28SrRNA-M_at	159
AFFX-r2-Hs28SrRNA-5_at	375.3
AFFX-r2-Hs28SrRNA-3_at	534.8
AFFX-r2-Hs18SrRNA-M_x_at	401.7
AFFX-r2-Hs18SrRNA-5_at	436.2
AFFX-r2-Hs18SrRNA-3_s_at	424.3
AFFX-r2-Ec-bioD-5_at	4738.8
AFFX-r2-Ec-bioD-3_at	5134.3
AFFX-r2-Ec-bioC-5_at	1121.4
AFFX-r2-Ec-bioC-3_at	1439.9
AFFX-r2-Ec-bioB-M_at	824.4
AFFX-r2-Ec-bioB-5_at	302
AFFX-r2-Ec-bioB-3_at	417.3
AFFX-r2-Bs-thr-M_s_at	7.7
AFFX-r2-Bs-thr-5_s_at	76.8
AFFX-r2-Bs-thr-3_s_at	10.7
AFFX-r2-Bs-phe-M_at	10.8
AFFX-r2-Bs-phe-5_at	2.2
AFFX-r2-Bs-phe-3_at	27.7
AFFX-r2-Bs-lys-M_at	14.6
AFFX-r2-Bs-lys-5_at	7.6
AFFX-r2-Bs-lys-3_at	24.1
AFFX-r2-Bs-dap-M_at	10.4
AFFX-r2-Bs-dap-5_at	3.6
AFFX-r2-Bs-dap-3_at	0.7
AFFX-PheX-M_at	5.7
AFFX-PheX-5_at	2.9
AFFX-PheX-3_at	15.5
AFFX-M27830_M_at	1053.7
AFFX-M27830_5_at	882.6
AFFX-M27830_3_at	16
AFFX-LysX-M_at	7.4
AFFX-LysX-5_at	3.3
AFFX-LysX-3_at	6.8
AFFX-HUMRGE/M10098_M_at	218.6
AFFX-HUMRGE/M10098_5_at	417.2
AFFX-HUMRGE/M10098_3_at	411.2
AFFX-HUMISGF3A/M97935_MB_at	185.2
AFFX-HUMISGF3A/M97935_MA_at	172.3
AFFX-HUMISGF3A/M97935_5_at	32.9
AFFX-HUMISGF3A/M97935_3_at	641.2
AFFX-HUMGAPDH/M33197_M_at	2005.6
AFFX-HUMGAPDH/M33197_5_at	1893.2
AFFX-HUMGAPDH/M33197_3_at	2988.7
AFFX-hum_alu_at	17223.4
AFFX-HSAC07/X00351_M_at	4262
AFFX-HSAC07/X00351_5_at	3160.8
AFFX-HSAC07/X00351_3_at	8576.4
AFFX-DapX-M_at	17.7
AFFX-DapX-5_at	16.8
AFFX-DapX-3_at	16.9
AFFX-CreX-5_at	9040.8
AFFX-CreX-3_at	13912.1
AFFX-BioDn-5_at	704.2
AFFX-BioDn-3_at	4880.5
AFFX-BioC-5_at	913.8
AFFX-BioC-3_at	834.9
AFFX-BioB-M_at	714.9
AFFX-BioB-5_at	252.9
AFFX-BioB-3_at	307.8
91952_at	26.7
91920_at	157.4
91826_at	21
91816_f_at	36.3
91703_at	14.9
91684_g_at	78.2
91682_at	138.9
91617_at	28.1
91580_at	60.3
90610_at	301
90265_at	425
89977_at	67.5
89948_at	82
89476_r_at	108.7
87100_at	11.9
823_at	47.4
81811_at	166.9
81737_at	26.5
79005_at	155.8
78495_at	77
78383_at	132.6
78330_at	51.7
78047_s_at	393.6
77508_r_at	355.7
76897_s_at	12.8
74694_s_at	84.7
71933_at	362.3
66053_at	33.4
65884_at	101.5
65770_at	45.3
65718_at	57.1
65635_at	314.2
65630_at	47.4
65591_at	150.2
65588_at	58.5
65585_at	72.3
65521_at	204.7
65517_at	79.1
65493_at	44.2
65472_at	41.9
65438_at	20.3
65133_i_at	12.6
65086_at	112.8
64942_at	144.3
64900_at	22.8
64899_at	38.3
64883_at	174.5
64488_at	106.4
64486_at	187.1
64474_g_at	14.5
64440_at	196.7
64438_at	67.7
64432_at	24.1
64418_at	295.1
64408_s_at	56.2
64371_at	94.7
64064_at	516
63825_at	72.6
635_s_at	46.2
63305_at	94.1
632_at	250.4
63009_at	143.2
62987_r_at	132.3
