ID_REF	symp_6_VALUE
AFFX-TrpnX-M_at	4.9
AFFX-TrpnX-5_at	25.2
AFFX-TrpnX-3_at	2.1
AFFX-ThrX-M_at	24.1
AFFX-ThrX-5_at	5.1
AFFX-ThrX-3_at	7.9
AFFX-r2-P1-cre-5_at	18927.9
AFFX-r2-P1-cre-3_at	23054.4
AFFX-r2-Hs28SrRNA-M_at	18
AFFX-r2-Hs28SrRNA-5_at	95.9
AFFX-r2-Hs28SrRNA-3_at	211.6
AFFX-r2-Hs18SrRNA-M_x_at	116.7
AFFX-r2-Hs18SrRNA-5_at	185
AFFX-r2-Hs18SrRNA-3_s_at	109.6
AFFX-r2-Ec-bioD-5_at	5104.3
AFFX-r2-Ec-bioD-3_at	5361.3
AFFX-r2-Ec-bioC-5_at	1192.3
AFFX-r2-Ec-bioC-3_at	1333.2
AFFX-r2-Ec-bioB-M_at	755.3
AFFX-r2-Ec-bioB-5_at	266
AFFX-r2-Ec-bioB-3_at	412.2
AFFX-r2-Bs-thr-M_s_at	46
AFFX-r2-Bs-thr-5_s_at	57.3
AFFX-r2-Bs-thr-3_s_at	7.6
AFFX-r2-Bs-phe-M_at	17.8
AFFX-r2-Bs-phe-5_at	1.3
AFFX-r2-Bs-phe-3_at	13.5
AFFX-r2-Bs-lys-M_at	10.5
AFFX-r2-Bs-lys-5_at	5.7
AFFX-r2-Bs-lys-3_at	36.7
AFFX-r2-Bs-dap-M_at	1.6
AFFX-r2-Bs-dap-5_at	2.8
AFFX-r2-Bs-dap-3_at	19
AFFX-PheX-M_at	3
AFFX-PheX-5_at	4.9
AFFX-PheX-3_at	57.3
AFFX-M27830_M_at	316.2
AFFX-M27830_5_at	259.2
AFFX-M27830_3_at	26.8
AFFX-LysX-M_at	5.2
AFFX-LysX-5_at	4.3
AFFX-LysX-3_at	20.1
AFFX-HUMRGE/M10098_M_at	80.6
AFFX-HUMRGE/M10098_5_at	83
AFFX-HUMRGE/M10098_3_at	152.2
AFFX-HUMISGF3A/M97935_MB_at	149.8
AFFX-HUMISGF3A/M97935_MA_at	109.1
AFFX-HUMISGF3A/M97935_5_at	39
AFFX-HUMISGF3A/M97935_3_at	547.1
AFFX-HUMGAPDH/M33197_M_at	2192.5
AFFX-HUMGAPDH/M33197_5_at	2247.8
AFFX-HUMGAPDH/M33197_3_at	3157.4
AFFX-hum_alu_at	18251.8
AFFX-HSAC07/X00351_M_at	3510.1
AFFX-HSAC07/X00351_5_at	3572.7
AFFX-HSAC07/X00351_3_at	7704.5
AFFX-DapX-M_at	21.7
AFFX-DapX-5_at	3
AFFX-DapX-3_at	3.2
AFFX-CreX-5_at	9193.5
AFFX-CreX-3_at	15994.8
AFFX-BioDn-5_at	725.7
AFFX-BioDn-3_at	4476.8
AFFX-BioC-5_at	1105.7
AFFX-BioC-3_at	889.7
AFFX-BioB-M_at	810.5
AFFX-BioB-5_at	241.1
AFFX-BioB-3_at	357
91952_at	31
91920_at	214.4
91826_at	16.5
91816_f_at	55.8
91703_at	14.8
91684_g_at	76.9
91682_at	140.8
91617_at	14.4
91580_at	71.4
90610_at	231.9
90265_at	471.4
89977_at	15.9
89948_at	40.1
89476_r_at	94.6
87100_at	4.5
823_at	86.8
81811_at	120.6
81737_at	7.2
79005_at	135.1
78495_at	58.4
