ID_REF	pre_5_VALUE
AFFX-TrpnX-M_at	3
AFFX-TrpnX-5_at	6.8
AFFX-TrpnX-3_at	14.3
AFFX-ThrX-M_at	18.9
AFFX-ThrX-5_at	10.6
AFFX-ThrX-3_at	10.1
AFFX-r2-P1-cre-5_at	43543.1
AFFX-r2-P1-cre-3_at	62888.7
AFFX-r2-Hs28SrRNA-M_at	128.2
AFFX-r2-Hs28SrRNA-5_at	182.9
AFFX-r2-Hs28SrRNA-3_at	433.9
AFFX-r2-Hs18SrRNA-M_x_at	235.4
AFFX-r2-Hs18SrRNA-5_at	367.9
AFFX-r2-Hs18SrRNA-3_s_at	510.9
AFFX-r2-Ec-bioD-5_at	10840.3
AFFX-r2-Ec-bioD-3_at	11410.4
AFFX-r2-Ec-bioC-5_at	3283.5
AFFX-r2-Ec-bioC-3_at	3641.2
AFFX-r2-Ec-bioB-M_at	2330.6
AFFX-r2-Ec-bioB-5_at	916.7
AFFX-r2-Ec-bioB-3_at	762.7
AFFX-r2-Bs-thr-M_s_at	31.3
AFFX-r2-Bs-thr-5_s_at	91.4
AFFX-r2-Bs-thr-3_s_at	106.9
AFFX-r2-Bs-phe-M_at	7
AFFX-r2-Bs-phe-5_at	56.6
AFFX-r2-Bs-phe-3_at	12.3
AFFX-r2-Bs-lys-M_at	46.3
AFFX-r2-Bs-lys-5_at	2.8
AFFX-r2-Bs-lys-3_at	35.7
AFFX-r2-Bs-dap-M_at	3.1
AFFX-r2-Bs-dap-5_at	3.4
AFFX-r2-Bs-dap-3_at	2.2
AFFX-PheX-M_at	4.4
AFFX-PheX-5_at	6.4
AFFX-PheX-3_at	58.2
AFFX-M27830_M_at	630.7
AFFX-M27830_5_at	849.6
AFFX-M27830_3_at	22.5
AFFX-LysX-M_at	10
AFFX-LysX-5_at	4.6
AFFX-LysX-3_at	21
AFFX-HUMRGE/M10098_M_at	104.7
AFFX-HUMRGE/M10098_5_at	286.9
AFFX-HUMRGE/M10098_3_at	329.5
AFFX-HUMISGF3A/M97935_MB_at	109
AFFX-HUMISGF3A/M97935_MA_at	155
AFFX-HUMISGF3A/M97935_5_at	39.9
AFFX-HUMISGF3A/M97935_3_at	485.4
AFFX-HUMGAPDH/M33197_M_at	1534.8
AFFX-HUMGAPDH/M33197_5_at	1825.3
AFFX-HUMGAPDH/M33197_3_at	2506.7
AFFX-hum_alu_at	38639.9
AFFX-HSAC07/X00351_M_at	4175.5
AFFX-HSAC07/X00351_5_at	2827.5
AFFX-HSAC07/X00351_3_at	7492.3
AFFX-DapX-M_at	57.9
AFFX-DapX-5_at	9.3
AFFX-DapX-3_at	18.6
AFFX-CreX-5_at	27718.6
AFFX-CreX-3_at	39661.8
AFFX-BioDn-5_at	1442.3
AFFX-BioDn-3_at	12394.8
AFFX-BioC-5_at	2355.3
AFFX-BioC-3_at	2078.3
AFFX-BioB-M_at	2207.7
AFFX-BioB-5_at	575.6
AFFX-BioB-3_at	913.9
91952_at	88.5
91920_at	170.5
91826_at	16.3
91816_f_at	11.5
91703_at	12.8
91684_g_at	132.4
91682_at	70.2
91617_at	1.9
91580_at	137.6
90610_at	139.6
90265_at	474.2
89977_at	93.1
89948_at	21.8
89476_r_at	118.3
87100_at	19.9
823_at	57.3
81811_at	157.5
81737_at	58.9
79005_at	186.8
78495_at	171.5
78383_at	106.5
78330_at	59.3
78047_s_at	439.5
77508_r_at	397.5
76897_s_at	38.2
74694_s_at	61.9
71933_at	457.6
66053_at	4.2
65884_at	115.4
65770_at	35.2
65718_at	92.8
65635_at	505.2
65630_at	57.9
65591_at	238.9
65588_at	62.2
65585_at	72.5
65521_at	205.5
65517_at	142.7
65493_at	79
65472_at	5.5
65438_at	3.8
65133_i_at	3.3
65086_at	107.4
64942_at	296.6
64900_at	16.4
64899_at	23.8
64883_at	209.2
64488_at	190.3
64486_at	253.4
64474_g_at	104.3
64440_at	186.8
64438_at	110.4
64432_at	26.1
64418_at	156.3
64408_s_at	12.2
64371_at	89.7
64064_at	611.9
63825_at	68.2
635_s_at	84.8
63305_at	98.8
632_at	212.2
63009_at	182.6
62987_r_at	467.8
62212_at	97.3
61874_at	383.5
61734_at	90.5
61732_r_at	1.4
61297_at	11.1
60815_at	3.2
60794_f_at	36.9
60528_at	227
60474_at	56.3
60471_at	226.6
60084_at	39.4
59999_at	59.3
59705_at	78.1
59697_at	32.3
59644_at	123.8
59631_at	84.3
59625_at	9.2
59437_at	53.1
59433_at	58.1
59375_at	234.8
58994_at	30.4
58916_at	65
58900_at	381.8
58780_s_at	175.9
58696_at	11.1
58367_s_at	328.5
58308_at	19
57739_at	309
57715_at	109.6
57703_at	76
57588_at	42.8
57540_at	38.9
57539_at	75.2
57532_at	46.5
57516_at	67.3
57163_at	230.6
57082_at	561.1
56919_at	67.1
56829_at	272.3
56821_at	79.4
56748_at	47.8
564_at	147.5
56256_at	328.6
56197_at	1324.9
55872_at	37.6
55705_at	5774.2
55692_at	58.9
55662_at	7.8
55616_at	157.9
55583_at	57.1
55093_at	310.6
55081_at	49.6
55065_at	115.5
54970_at	221.8
54632_at	79.9
54051_at	31
54037_at	8.3
53991_at	11
53987_at	43.8
53968_at	141
53912_at	260
53720_at	124.3
53202_at	33.1
53076_at	82.6
53071_s_at	59.9
52975_at	19.4
52940_at	211.2
52837_at	17.2
52741_at	31.3
52731_at	6.7
52651_at	17.9
52285_f_at	13.1
52255_s_at	133.5
52169_at	311.2
52164_at	56.5
52159_at	31.2
52078_at	153.6
52005_at	57.6
51774_s_at	540.6
51228_at	24.4
51226_at	24.8
51200_at	110.2
51192_at	25.8
51176_at	131
51158_at	43.5
51146_at	19.1
50965_at	82.3
50400_at	74
50376_at	54
50374_at	132.4
50314_i_at	184.5
50277_at	471.7
50221_at	51.8
49878_at	466.5
