ID_REF	control_10_VALUE
AFFX-TrpnX-M_at	3.1
AFFX-TrpnX-5_at	6.8
AFFX-TrpnX-3_at	2.5
AFFX-ThrX-M_at	6.2
AFFX-ThrX-5_at	5.9
AFFX-ThrX-3_at	9.8
AFFX-r2-P1-cre-5_at	43268.7
AFFX-r2-P1-cre-3_at	53694.5
AFFX-r2-Hs28SrRNA-M_at	178.5
AFFX-r2-Hs28SrRNA-5_at	269.6
AFFX-r2-Hs28SrRNA-3_at	563.4
AFFX-r2-Hs18SrRNA-M_x_at	200.4
AFFX-r2-Hs18SrRNA-5_at	265.5
AFFX-r2-Hs18SrRNA-3_s_at	314.4
AFFX-r2-Ec-bioD-5_at	12293.3
AFFX-r2-Ec-bioD-3_at	13765.3
AFFX-r2-Ec-bioC-5_at	3337.7
AFFX-r2-Ec-bioC-3_at	3841.8
AFFX-r2-Ec-bioB-M_at	2252.4
AFFX-r2-Ec-bioB-5_at	760.2
AFFX-r2-Ec-bioB-3_at	1429.9
AFFX-r2-Bs-thr-M_s_at	20.1
AFFX-r2-Bs-thr-5_s_at	54
AFFX-r2-Bs-thr-3_s_at	7.3
AFFX-r2-Bs-phe-M_at	6.6
AFFX-r2-Bs-phe-5_at	2
AFFX-r2-Bs-phe-3_at	19.3
AFFX-r2-Bs-lys-M_at	5.7
AFFX-r2-Bs-lys-5_at	3
AFFX-r2-Bs-lys-3_at	25.1
AFFX-r2-Bs-dap-M_at	3.3
AFFX-r2-Bs-dap-5_at	4.9
AFFX-r2-Bs-dap-3_at	4.7
AFFX-PheX-M_at	5
AFFX-PheX-5_at	8.9
AFFX-PheX-3_at	76.9
AFFX-M27830_M_at	617.4
AFFX-M27830_5_at	388.8
AFFX-M27830_3_at	24.2
AFFX-LysX-M_at	11.3
AFFX-LysX-5_at	5.5
AFFX-LysX-3_at	5
AFFX-HUMRGE/M10098_M_at	218.1
AFFX-HUMRGE/M10098_5_at	217.9
AFFX-HUMRGE/M10098_3_at	433.6
AFFX-HUMISGF3A/M97935_MB_at	8.2
AFFX-HUMISGF3A/M97935_MA_at	31
AFFX-HUMISGF3A/M97935_5_at	8.6
AFFX-HUMISGF3A/M97935_3_at	137.9
AFFX-HUMGAPDH/M33197_M_at	1614.7
AFFX-HUMGAPDH/M33197_5_at	1338.7
AFFX-HUMGAPDH/M33197_3_at	3645.4
AFFX-hum_alu_at	33189.6
AFFX-HSAC07/X00351_M_at	5997.8
AFFX-HSAC07/X00351_5_at	2632.5
AFFX-HSAC07/X00351_3_at	11874.4
AFFX-DapX-M_at	16.6
AFFX-DapX-5_at	23.6
AFFX-DapX-3_at	6.6
AFFX-CreX-5_at	24140.9
AFFX-CreX-3_at	35655.4
AFFX-BioDn-5_at	1648.9
AFFX-BioDn-3_at	13358.8
AFFX-BioC-5_at	2645.1
AFFX-BioC-3_at	2372.8
AFFX-BioB-M_at	2195.4
AFFX-BioB-5_at	670.8
AFFX-BioB-3_at	1060.5
91952_at	57.4
91920_at	253.7
91826_at	23.4
91816_f_at	63.9
91703_at	16.2
91684_g_at	85.7
91682_at	328.5
91617_at	9.1
91580_at	178
90610_at	324.1
90265_at	787.4
89977_at	103
89948_at	36.5
89476_r_at	118.3
87100_at	4.3
823_at	71.3
81811_at	194.1
81737_at	25.1
79005_at	223.9
78495_at	164.8
78383_at	256.7
78330_at	6.3
78047_s_at	876.3
77508_r_at	383.4
76897_s_at	2.4
74694_s_at	122.7
71933_at	683.6
66053_at	6
65884_at	122.7
65770_at	64.5
65718_at	124.1
65635_at	727
65630_at	103.8
65591_at	208.2
65588_at	76.2
65585_at	67.1
65521_at	131.5
65517_at	62.5
65493_at	51.1
65472_at	5.3
65438_at	5.4
65133_i_at	11.7
65086_at	37.4
64942_at	320.3
64900_at	22.4
64899_at	120.3
64883_at	168.1
64488_at	83.5
64486_at	268.3
64474_g_at	122.2
64440_at	266.8
64438_at	116.9
64432_at	7.5
64418_at	265.3
64408_s_at	37.1
64371_at	137.6
64064_at	996.3
63825_at	9.2
635_s_at	21.6
63305_at	59.8
632_at	368.4
63009_at	176.9
62987_r_at	828.7
62212_at	132.6
61874_at	266.9
61734_at	21.4
61732_r_at	1.3
61297_at	7.8
60815_at	20.1
60794_f_at	43.8
60528_at	392.3
60474_at	26.6
60471_at	269.4
60084_at	7.2
59999_at	100.7
59705_at	49.9
59697_at	22.5
59644_at	24.8
59631_at	47.1
59625_at	13.7
59437_at	20.1
59433_at	16.9
59375_at	291.5
58994_at	35
58916_at	80.2
58900_at	787.9
58780_s_at	71.7
58696_at	32.2
58367_s_at	462.9
58308_at	11.6
57739_at	309
57715_at	142.5
57703_at	126.6
57588_at	40.9
57540_at	27.1
57539_at	76.9
57532_at	18.8
57516_at	58.3
57163_at	280.1
57082_at	1215.1
56919_at	163.9
56829_at	208.4
56821_at	43.1
56748_at	66
564_at	84.7
56256_at	529
56197_at	1335
55872_at	4.8
55705_at	6815.7
55692_at	74
55662_at	39.3
55616_at	219.3
55583_at	131.8
55093_at	129.4
55081_at	108.3
55065_at	198.9
54970_at	308.5
54632_at	107.8
54051_at	6.5
54037_at	23.5
53991_at	18.7
53987_at	132.4
53968_at	148.9
53912_at	260.3
53720_at	129
53202_at	38.7
53076_at	40.1
53071_s_at	20.3
52975_at	91.8
52940_at	396.6
52837_at	18.6
52741_at	157.7
52731_at	46.5
52651_at	53.1
52285_f_at	7.2
52255_s_at	141.4
52169_at	397.8
52164_at	113
52159_at	29.1
52078_at	51
52005_at	125.2
51774_s_at	811.6
51228_at	20.6
51226_at	22.4
51200_at	122.8
51192_at	23.8
51176_at	95.4
51158_at	87.6
51146_at	16.6
50965_at	124.4
50400_at	54.9
50376_at	152.2
50374_at	193.7
50314_i_at	187.8
50277_at	656.7
50221_at	51.8
49878_at	977.8
49679_s_at	45.2
49485_at	125
49452_at	143.1
49329_at	195.9
49327_at	589.5
49306_at	28.7
49111_at	152.6
49077_at	126.8
49051_g_at	13.5
49049_at	90.2
48825_at	26.1
48808_at	47.5
48659_at	479.4
48612_at	1293.8
48580_at	429.1
48531_at	184.8
48117_at	118.4
48106_at	323.2
48031_r_at	244
48030_i_at	1468.3
47773_at	64.6
47608_at	228.4
47571_at	373
47560_at	32.2
47553_at	13.4
47550_at	14.9
47530_at	134.9
47105_at	164.5
47083_at	157.3
47069_at	201.5
46947_at	54.9
46665_at	116.5
46323_at	146.9
46270_at	135.7
46256_at	573
46167_at	84
46142_at	19.1
45828_at	145.8
45749_at	703.9
45714_at	64.1
45687_at	162.1
45653_at	20.8
45633_at	3.5
45572_s_at	423.8
45526_g_at	473.9
45297_at	87
45288_at	30.4
44822_s_at	15.3
44790_s_at	178.1
44783_s_at	160.9
44702_at	49
44696_at	157.8
44673_at	110.5
44669_at	107.6
44654_at	82.8
44617_at	382.6
44563_at	465.1
44146_at	472.3
44120_at	98.5
44111_at	177.1
44065_at	17.4
44040_at	181.8
43977_at	92.7
43934_at	88.4
43544_at	91.1
43511_s_at	260.2
43427_at	24.8
42361_g_at	43.1
41858_at	196.5
41856_at	187.4
41660_at	16.3
41657_at	59.9
41644_at	65.3
41577_at	33
41553_at	16.9
41512_at	92.8
41469_at	146.1
41397_at	85.2
41387_r_at	374.6
41386_i_at	127.4
41329_at	64.1
41220_at	5266.4
41160_at	51.9
41113_at	59.2
41047_at	163.6
41037_at	56.5
40850_at	243.4
40837_at	66.2
40829_at	424.1
40687_at	54.8
40665_at	12.5
40640_at	104.4
40612_at	21.6
40569_at	369.5
40562_at	73.9
40560_at	26.6
40524_at	8.5
40489_at	37
40472_at	14.8
40465_at	29.5
40446_at	668.9
40420_at	246.9
40359_at	438.1
40284_at	9
40273_at	33.3
40255_at	70.8
40225_at	464.9
40189_at	294.1
40149_at	141.9
40148_at	5.8
40093_at	173.5
40020_at	153
40016_g_at	230.6
39966_at	18.7
39891_at	81.9
39854_r_at	1391.4
39835_at	12.8
39817_s_at	374.9
39763_at	48.6
39729_at	517.7
39705_at	34.7
39650_s_at	169.7
396_f_at	1555.4
39582_at	63.6
39549_at	9.8
39548_at	11
39402_at	197.2
39318_at	246.4
39313_at	26.2
39249_at	62.6
39248_at	282.3
38964_r_at	4139.9
38918_at	92.3
38892_at	123.9
38766_at	40.1
38710_at	572.1
38707_r_at	1218.7
38703_at	410.4
38691_s_at	163.2
38671_at	243
38521_at	127.1
38487_at	193.6
38447_at	838.8
38398_at	290.8
38340_at	94.2
38290_at	269.9
38269_at	600.3
38241_at	172.8
38158_at	111.1
38157_at	88.2
38149_at	329.2
38069_at	170.1
38043_at	87.3
38037_at	30.8
37996_s_at	74.8
37986_at	65.1
37966_at	120.1
37965_at	179.8
37953_s_at	55.1
37950_at	69.4
37943_at	141.4
37892_at	11.3
37872_at	215.4
37860_at	257.9
37831_at	94.5
37802_r_at	4
37796_at	204
37793_r_at	92
37652_at	169.2
37590_g_at	56.1
37586_at	64.2
37577_at	4.8
37566_at	54
37549_g_at	52.9
37547_at	6.4
37512_at	13.5
37462_i_at	119.1
37433_at	7.6
37425_g_at	67.7
37424_at	17.1
37408_at	259.3
37384_at	376.9
37278_at	408.7
37254_at	108.7
37232_at	108.5
37226_at	138.8
37201_at	107
37170_at	33.3
37152_at	143.1
37145_at	1682.3
37117_at	3.8
37079_at	4
37028_at	199.4
37022_at	191.9
37020_at	7.5
37012_at	934.6
37005_at	173.7
37004_at	20.2
36994_at	811.6
36936_at	106.8
36920_at	4.6
36907_at	1162
36888_at	374.6
36865_at	117.3
36830_at	9.6
36829_at	332
36742_at	92.6
36711_at	33.6
36612_at	5.4
36566_at	65.2
36564_at	320.1
36554_at	205.6
36553_at	154.9
36552_at	20
36545_s_at	64
36499_at	71.9
36475_at	93.9
36129_at	826.2
36084_at	134.4
36030_at	229.9
36019_at	403.8
36004_at	496.8
35974_at	119.2
35846_at	20.2
35820_at	98.4
35776_at	249.4
35685_at	233.3
35671_at	366.1
35666_at	136.8
35626_at	129
35617_at	113.6
35436_at	13.8
35265_at	33.4
35254_at	252.5
35201_at	565.8
35179_at	23.8
35160_at	25.5
35156_at	112.1
35150_at	424.3
35148_at	6.5
35147_at	360.7
34868_at	83.4
34858_at	260.6
34846_at	245.9
