ID_REF	symp_11_VALUE
AFFX-TrpnX-M_at	2.6
AFFX-TrpnX-5_at	22.5
AFFX-TrpnX-3_at	2.8
AFFX-ThrX-M_at	2.9
AFFX-ThrX-5_at	5.7
AFFX-ThrX-3_at	11.5
AFFX-r2-P1-cre-5_at	21635.8
AFFX-r2-P1-cre-3_at	29214.8
AFFX-r2-Hs28SrRNA-M_at	92.2
AFFX-r2-Hs28SrRNA-5_at	167.1
AFFX-r2-Hs28SrRNA-3_at	360.8
AFFX-r2-Hs18SrRNA-M_x_at	181.9
AFFX-r2-Hs18SrRNA-5_at	154.1
AFFX-r2-Hs18SrRNA-3_s_at	172.1
AFFX-r2-Ec-bioD-5_at	7315.6
AFFX-r2-Ec-bioD-3_at	7153.3
AFFX-r2-Ec-bioC-5_at	1379.5
AFFX-r2-Ec-bioC-3_at	1755.2
AFFX-r2-Ec-bioB-M_at	1114.9
AFFX-r2-Ec-bioB-5_at	356.6
AFFX-r2-Ec-bioB-3_at	525.5
AFFX-r2-Bs-thr-M_s_at	21.3
AFFX-r2-Bs-thr-5_s_at	75.1
AFFX-r2-Bs-thr-3_s_at	4.4
AFFX-r2-Bs-phe-M_at	12.9
AFFX-r2-Bs-phe-5_at	1.5
AFFX-r2-Bs-phe-3_at	11
AFFX-r2-Bs-lys-M_at	2.9
AFFX-r2-Bs-lys-5_at	1.7
AFFX-r2-Bs-lys-3_at	26.8
AFFX-r2-Bs-dap-M_at	6.5
AFFX-r2-Bs-dap-5_at	1.7
AFFX-r2-Bs-dap-3_at	0.8
AFFX-PheX-M_at	2.6
AFFX-PheX-5_at	4
AFFX-PheX-3_at	26.8
AFFX-M27830_M_at	587.6
AFFX-M27830_5_at	424.4
AFFX-M27830_3_at	21.3
AFFX-LysX-M_at	9.4
AFFX-LysX-5_at	3.5
AFFX-LysX-3_at	4.4
AFFX-HUMRGE/M10098_M_at	101.6
AFFX-HUMRGE/M10098_5_at	159.4
AFFX-HUMRGE/M10098_3_at	260.2
AFFX-HUMISGF3A/M97935_MB_at	67.7
AFFX-HUMISGF3A/M97935_MA_at	33.8
AFFX-HUMISGF3A/M97935_5_at	14.2
AFFX-HUMISGF3A/M97935_3_at	374.7
AFFX-HUMGAPDH/M33197_M_at	1978.7
AFFX-HUMGAPDH/M33197_5_at	1986.5
AFFX-HUMGAPDH/M33197_3_at	3317.9
AFFX-hum_alu_at	23452.7
AFFX-HSAC07/X00351_M_at	4391.8
AFFX-HSAC07/X00351_5_at	2976.5
AFFX-HSAC07/X00351_3_at	10177.1
AFFX-DapX-M_at	38.8
AFFX-DapX-5_at	15.8
AFFX-DapX-3_at	1.4
AFFX-CreX-5_at	13150.2
AFFX-CreX-3_at	19899.7
AFFX-BioDn-5_at	928.5
AFFX-BioDn-3_at	5880.4
AFFX-BioC-5_at	1261.2
AFFX-BioC-3_at	1098.6
AFFX-BioB-M_at	935.6
AFFX-BioB-5_at	311
AFFX-BioB-3_at	381.4
91952_at	30.2
91920_at	139.2
91826_at	11.2
91816_f_at	58.9
91703_at	8.4
91684_g_at	93.8
91682_at	137
91617_at	19.4
91580_at	47.3
90610_at	263.6
90265_at	444.6
89977_at	90.9
89948_at	24.8
89476_r_at	95.6
87100_at	28.4
823_at	65.6
81811_at	184.2
81737_at	22.1
79005_at	168.3
78495_at	86.8
78383_at	188.7
78330_at	48.1
78047_s_at	455
77508_r_at	447.4
76897_s_at	2.1
74694_s_at	57.5
71933_at	512.1
66053_at	8.9
65884_at	105.3
65770_at	47.3
65718_at	67.2
65635_at	292.7
65630_at	80.6
65591_at	181.4
65588_at	68.7
65585_at	79.2
65521_at	145.9
65517_at	55.9
65493_at	23.5
65472_at	11.9
65438_at	3.5
65133_i_at	5
65086_at	60.1
64942_at	318.8
64900_at	6.4
64899_at	27.3
64883_at	233.7
64488_at	63.9
64486_at	216.9
64474_g_at	75.1
64440_at	291.1
64438_at	79.2
64432_at	12.5
64418_at	245.7
64408_s_at	8.4
64371_at	165
64064_at	607.3
63825_at	73.4
635_s_at	57.3
63305_at	41.6
632_at	267.8
63009_at	101.8
62987_r_at	212.8
62212_at	77
61874_at	332.5
61734_at	27.3
61732_r_at	1.7
61297_at	5.1
60815_at	6
60794_f_at	40.6
60528_at	331
60474_at	42.6
60471_at	220.5
60084_at	5.7
59999_at	52.1
59705_at	42.1
59697_at	72
59644_at	104.2
59631_at	40.6
59625_at	28.7
59437_at	11
59433_at	47.7
59375_at	163.1
58994_at	40.7
58916_at	37.9
58900_at	451.1
58780_s_at	132
58696_at	23.6
58367_s_at	370.7
58308_at	13.8
57739_at	322.5
57715_at	172
