ID_REF	pre_3_VALUE
AFFX-TrpnX-M_at	3.9
AFFX-TrpnX-5_at	11.1
AFFX-TrpnX-3_at	1.6
AFFX-ThrX-M_at	17.1
AFFX-ThrX-5_at	3.4
AFFX-ThrX-3_at	4
AFFX-r2-P1-cre-5_at	31468
AFFX-r2-P1-cre-3_at	43888.2
AFFX-r2-Hs28SrRNA-M_at	83.9
AFFX-r2-Hs28SrRNA-5_at	105.1
AFFX-r2-Hs28SrRNA-3_at	241.5
AFFX-r2-Hs18SrRNA-M_x_at	143.6
AFFX-r2-Hs18SrRNA-5_at	148.9
AFFX-r2-Hs18SrRNA-3_s_at	285.3
AFFX-r2-Ec-bioD-5_at	6276.5
AFFX-r2-Ec-bioD-3_at	7704.7
AFFX-r2-Ec-bioC-5_at	2387.1
AFFX-r2-Ec-bioC-3_at	2441.5
AFFX-r2-Ec-bioB-M_at	1214
AFFX-r2-Ec-bioB-5_at	731.2
AFFX-r2-Ec-bioB-3_at	704.3
AFFX-r2-Bs-thr-M_s_at	67.9
AFFX-r2-Bs-thr-5_s_at	57.1
AFFX-r2-Bs-thr-3_s_at	10.4
AFFX-r2-Bs-phe-M_at	12.3
AFFX-r2-Bs-phe-5_at	0.6
AFFX-r2-Bs-phe-3_at	11.3
AFFX-r2-Bs-lys-M_at	4.1
AFFX-r2-Bs-lys-5_at	4.5
AFFX-r2-Bs-lys-3_at	30.5
AFFX-r2-Bs-dap-M_at	14.3
AFFX-r2-Bs-dap-5_at	12.7
AFFX-r2-Bs-dap-3_at	0.8
AFFX-PheX-M_at	1.7
AFFX-PheX-5_at	3.8
AFFX-PheX-3_at	56.2
AFFX-M27830_M_at	508.4
AFFX-M27830_5_at	384.6
AFFX-M27830_3_at	21.6
AFFX-LysX-M_at	10.4
AFFX-LysX-5_at	4.1
AFFX-LysX-3_at	9.2
AFFX-HUMRGE/M10098_M_at	47.5
AFFX-HUMRGE/M10098_5_at	203
AFFX-HUMRGE/M10098_3_at	264.9
AFFX-HUMISGF3A/M97935_MB_at	123.1
AFFX-HUMISGF3A/M97935_MA_at	121.3
AFFX-HUMISGF3A/M97935_5_at	14.9
AFFX-HUMISGF3A/M97935_3_at	307.9
AFFX-HUMGAPDH/M33197_M_at	2183.2
AFFX-HUMGAPDH/M33197_5_at	2392.4
AFFX-HUMGAPDH/M33197_3_at	2972.7
AFFX-hum_alu_at	32957.5
AFFX-HSAC07/X00351_M_at	3914.7
AFFX-HSAC07/X00351_5_at	2775.2
AFFX-HSAC07/X00351_3_at	6876.6
AFFX-DapX-M_at	54.8
AFFX-DapX-5_at	26.9
AFFX-DapX-3_at	3.9
AFFX-CreX-5_at	18400.5
AFFX-CreX-3_at	31076.6
AFFX-BioDn-5_at	1102.8
AFFX-BioDn-3_at	8197.6
AFFX-BioC-5_at	2080.9
AFFX-BioC-3_at	1581.7
AFFX-BioB-M_at	1613.7
AFFX-BioB-5_at	582
AFFX-BioB-3_at	783.8
91952_at	20.1
91920_at	180.4
91826_at	10
91816_f_at	51.6
91703_at	15.8
91684_g_at	54
91682_at	127.7
91617_at	18.9
91580_at	105.4
90610_at	341.6
90265_at	503.8
89977_at	90.1
89948_at	23.1
89476_r_at	104.6
87100_at	51.2
823_at	12
81811_at	183.3
81737_at	24.8
79005_at	136.7
78495_at	103.9
78383_at	157.8
78330_at	20.3
78047_s_at	533.6
77508_r_at	294.4
76897_s_at	3.2
74694_s_at	107.3
71933_at	402.2
66053_at	48
65884_at	138.3
65770_at	92.4
65718_at	50.1
65635_at	433.8
65630_at	68.1
65591_at	173.4
65588_at	94.1
65585_at	79.9
65521_at	172.7
65517_at	39.7
65493_at	35.7
65472_at	3.8
65438_at	37.3
65133_i_at	40.6
65086_at	29.5
64942_at	229.5
64900_at	5.5
64899_at	65.2
64883_at	147
64488_at	114
64486_at	148.9
64474_g_at	75.8
64440_at	181.7
64438_at	104
64432_at	5.2
64418_at	214.4
64408_s_at	50.7
64371_at	82.6
64064_at	665.5
63825_at	110.1
635_s_at	26.2
63305_at	81
632_at	277.3
63009_at	129.3
62987_r_at	526.6
62212_at	122.8
61874_at	206.3
61734_at	12.7
61732_r_at	1.7
61297_at	31
60815_at	13.5
60794_f_at	60.3
60528_at	282
60474_at	37.6
60471_at	267.4
60084_at	44.3
59999_at	83.2
59705_at	43
59697_at	119.6
59644_at	72.4
59631_at	32.9
59625_at	67.4
59437_at	34.8
59433_at	84.5
59375_at	126.8
58994_at	51.8
58916_at	60.1
58900_at	395.1
58780_s_at	131.9
58696_at	26.3
58367_s_at	313.2
58308_at	25.3
57739_at	260.1
57715_at	104.4
57703_at	69.2
57588_at	8.1
57540_at	53.1
57539_at	64
57532_at	82.9
57516_at	56.9
57163_at	148.5
57082_at	556
56919_at	155.8
56829_at	333.2
56821_at	66
56748_at	25.2
564_at	69
56256_at	579.6
56197_at	1408.5
55872_at	54.7
55705_at	5395.7
55692_at	91.6
55662_at	36.8
55616_at	221
55583_at	37.9
55093_at	392.5
55081_at	40.2
55065_at	67
54970_at	147.8
54632_at	104.8
54051_at	34.6
54037_at	11
53991_at	34.2
53987_at	67.7
53968_at	179.8
53912_at	243.1
53720_at	130.2
53202_at	48.7
53076_at	42.7
53071_s_at	69.2
52975_at	17.8
52940_at	258.3
52837_at	17.4
52741_at	39.5
52731_at	51.4
52651_at	56.2
52285_f_at	9.3
52255_s_at	114.7
52169_at	313.2
52164_at	102.1
52159_at	44.9
52078_at	120.9
52005_at	67.6
51774_s_at	575.7
51228_at	10.4
51226_at	21.9
51200_at	76.4
51192_at	25.3
51176_at	106.9
51158_at	9.7
51146_at	104.1
50965_at	75.7
50400_at	60.1
50376_at	27.2
50374_at	155.6
50314_i_at	117.6
50277_at	489.1
50221_at	39.1
49878_at	455.8
49679_s_at	67.8
49485_at	131.4
49452_at	66.8
49329_at	180.1
49327_at	261.9
49306_at	7.9
49111_at	154.3
49077_at	227.9
49051_g_at	22.9
49049_at	39.9
48825_at	9.5
48808_at	43.2
48659_at	217.1
48612_at	811.3
48580_at	476.3
48531_at	188.2
48117_at	140
48106_at	232.1
48031_r_at	141.9
48030_i_at	1304.5
47773_at	70.2
47608_at	171
47571_at	247.2
47560_at	37.4
47553_at	4
47550_at	12.4
47530_at	94.1
47105_at	109.2
47083_at	123.6
47069_at	127.1
46947_at	106.6
46665_at	195.9
46323_at	121.5
46270_at	154.5
46256_at	773.1
46167_at	69.1
46142_at	13.8
45828_at	149.1
45749_at	298.7
45714_at	60.1
45687_at	132.5
