ID_REF	symp_3_VALUE
AFFX-TrpnX-M_at	2.7
AFFX-TrpnX-5_at	3.1
AFFX-TrpnX-3_at	1.3
AFFX-ThrX-M_at	4.9
AFFX-ThrX-5_at	4.2
AFFX-ThrX-3_at	4.4
AFFX-r2-P1-cre-5_at	6393.7
AFFX-r2-P1-cre-3_at	7318.1
AFFX-r2-Hs28SrRNA-M_at	40.8
AFFX-r2-Hs28SrRNA-5_at	9.2
AFFX-r2-Hs28SrRNA-3_at	41.5
AFFX-r2-Hs18SrRNA-M_x_at	24.3
AFFX-r2-Hs18SrRNA-5_at	40.3
AFFX-r2-Hs18SrRNA-3_s_at	73.9
AFFX-r2-Ec-bioD-5_at	1768
AFFX-r2-Ec-bioD-3_at	1760.4
AFFX-r2-Ec-bioC-5_at	407.8
AFFX-r2-Ec-bioC-3_at	462.9
AFFX-r2-Ec-bioB-M_at	211.9
AFFX-r2-Ec-bioB-5_at	116
AFFX-r2-Ec-bioB-3_at	108.9
AFFX-r2-Bs-thr-M_s_at	12.2
AFFX-r2-Bs-thr-5_s_at	41.8
AFFX-r2-Bs-thr-3_s_at	3.6
AFFX-r2-Bs-phe-M_at	18
AFFX-r2-Bs-phe-5_at	0.4
AFFX-r2-Bs-phe-3_at	2.8
AFFX-r2-Bs-lys-M_at	6.4
AFFX-r2-Bs-lys-5_at	1
AFFX-r2-Bs-lys-3_at	14.8
AFFX-r2-Bs-dap-M_at	3.2
AFFX-r2-Bs-dap-5_at	0.9
AFFX-r2-Bs-dap-3_at	1
AFFX-PheX-M_at	2
AFFX-PheX-5_at	1.7
AFFX-PheX-3_at	6.3
AFFX-M27830_M_at	37.3
AFFX-M27830_5_at	76.9
AFFX-M27830_3_at	25.2
AFFX-LysX-M_at	5.6
AFFX-LysX-5_at	1.1
AFFX-LysX-3_at	5.9
AFFX-HUMRGE/M10098_M_at	5
AFFX-HUMRGE/M10098_5_at	8.9
AFFX-HUMRGE/M10098_3_at	88.9
AFFX-HUMISGF3A/M97935_MB_at	139.1
AFFX-HUMISGF3A/M97935_MA_at	42.3
AFFX-HUMISGF3A/M97935_5_at	2.6
AFFX-HUMISGF3A/M97935_3_at	565.2
AFFX-HUMGAPDH/M33197_M_at	1932.6
AFFX-HUMGAPDH/M33197_5_at	2003.9
AFFX-HUMGAPDH/M33197_3_at	2481
AFFX-hum_alu_at	7849.4
AFFX-HSAC07/X00351_M_at	3702.4
AFFX-HSAC07/X00351_5_at	2548.5
AFFX-HSAC07/X00351_3_at	6487.2
AFFX-DapX-M_at	13.4
AFFX-DapX-5_at	2.8
AFFX-DapX-3_at	2.6
AFFX-CreX-5_at	3703
AFFX-CreX-3_at	5417.6
AFFX-BioDn-5_at	319.7
AFFX-BioDn-3_at	1696.8
AFFX-BioC-5_at	378.1
AFFX-BioC-3_at	260.3
AFFX-BioB-M_at	172.5
AFFX-BioB-5_at	102.9
AFFX-BioB-3_at	77.7
91952_at	34.6
91920_at	132.5
91826_at	9.4
91816_f_at	52.1
91703_at	12.1
91684_g_at	62.3
91682_at	93.3
91617_at	23.3
91580_at	12
90610_at	278.7
90265_at	265.1
89977_at	36.4
89948_at	36.7
89476_r_at	26.1
87100_at	1.3
823_at	22.5
81811_at	88.2
81737_at	6.6
79005_at	127.2
78495_at	95.8
78383_at	201.1
78330_at	21.1
78047_s_at	328.5
77508_r_at	272.9
76897_s_at	1.6
74694_s_at	75.6
71933_at	384.2
66053_at	11
65884_at	79.3
65770_at	141.1
65718_at	31.7
65635_at	296.9
65630_at	54.4
65591_at	165.4
65588_at	80.4
65585_at	58.3
65521_at	88.2
65517_at	52.5
65493_at	30.8
65472_at	55.3
65438_at	7.2
65133_i_at	20
65086_at	15.4
64942_at	127.1
64900_at	2.6
64899_at	60
64883_at	165.6
64488_at	28.4
64486_at	150.8
64474_g_at	40.9
64440_at	123.7
64438_at	81.1
64432_at	31.1
64418_at	308.2
64408_s_at	32.8
64371_at	57.7
64064_at	663.8
63825_at	5.3
635_s_at	34.4
63305_at	39.5
632_at	147.1
63009_at	54.2
62987_r_at	86.3
62212_at	102.5
61874_at	154.6
61734_at	14.2
61732_r_at	0.1
61297_at	5.3
60815_at	7.2
60794_f_at	29.9
60528_at	237
60474_at	34.9
60471_at	238.6
60084_at	20.1
59999_at	57.4
59705_at	44.4
59697_at	60.4
59644_at	119.3
59631_at	47
59625_at	5.7
59437_at	15.2
59433_at	59.1
59375_at	133.5
58994_at	41.3
58916_at	32.1
58900_at	204.7
58780_s_at	117.7
58696_at	8.1
58367_s_at	245.7
58308_at	31.3
57739_at	183.1
57715_at	119.2
57703_at	45.8
57588_at	30.5
57540_at	11.5
57539_at	57.8
57532_at	57.6
57516_at	73.7
57163_at	161.6
57082_at	368.8
56919_at	109.5
56829_at	267.2
56821_at	57.8
56748_at	16.7
564_at	54.3
56256_at	509.6
56197_at	972.1
55872_at	26.1
55705_at	1917.5
55692_at	103.1
55662_at	49.2
55616_at	121.6
55583_at	25.4
55093_at	158.4
55081_at	54.6
55065_at	81.5
54970_at	113.7
54632_at	68.8
54051_at	30.9
54037_at	3.2
53991_at	10.1
53987_at	53.8
53968_at	78.8
53912_at	279.1
53720_at	98.8
53202_at	45.9
53076_at	34.4
53071_s_at	100.8
52975_at	54.8
52940_at	229.1
52837_at	8.5
52741_at	56.6
52731_at	39.7
52651_at	15.1
52285_f_at	16.2
52255_s_at	81.5
52169_at	374.2
52164_at	71.9
52159_at	55.3
52078_at	106.8
52005_at	66.5
51774_s_at	357.8
51228_at	4.6
51226_at	31.6
51200_at	92.5
51192_at	23
51176_at	83.5
51158_at	24.5
51146_at	49.1
50965_at	73.8
50400_at	34.5
50376_at	45.1
50374_at	75
50314_i_at	61.5
50277_at	413.7
50221_at	111.5
49878_at	344.4
49679_s_at	52.5
49485_at	100.8
49452_at	64.7
49329_at	126.3
49327_at	209.1
49306_at	12.1
49111_at	120.3
49077_at	113
49051_g_at	22.5
49049_at	52.9
48825_at	52.1
48808_at	33.9
48659_at	277.5
48612_at	499.1
48580_at	383
48531_at	149.7
48117_at	140.5
48106_at	103.5
48031_r_at	50.1
48030_i_at	640.4
47773_at	48.9
47608_at	176.3
47571_at	197.6
47560_at	42.5
47553_at	1.4
47550_at	16.8
47530_at	127.1
47105_at	91.2
47083_at	201.4
47069_at	113
46947_at	45.6
46665_at	83.3
46323_at	209.6
46270_at	148.9
46256_at	452.4
46167_at	38.9
46142_at	2.6
45828_at	172.4
45749_at	339.8
45714_at	15.2
45687_at	237.2
45653_at	22.2
45633_at	4.2
45572_s_at	382.2
45526_g_at	448.9
45297_at	18.5
45288_at	24.4
44822_s_at	29.9
44790_s_at	291.4
44783_s_at	145.1
44702_at	33.3
44696_at	84.5
44673_at	44
44669_at	73.9
44654_at	88.5
44617_at	186
44563_at	226.8
44146_at	215
44120_at	77.7
44111_at	121.8
44065_at	10.6
44040_at	112.5
43977_at	151.3
43934_at	79.1
43544_at	23
43511_s_at	277.5
43427_at	40.9
42361_g_at	2.6
41858_at	73.1
41856_at	145.7
41660_at	4.5
41657_at	110.2
41644_at	164.3
41577_at	32.7
41553_at	39.7
41512_at	86.9
41469_at	564.1
41397_at	23
41387_r_at	280.5
41386_i_at	162.3
41329_at	63.2
41220_at	2423.5
41160_at	26.6
41113_at	24.7
41047_at	142.2
41037_at	2.7
40850_at	12.2
40837_at	65.1
40829_at	146.2
40687_at	11.1
40665_at	9.7
40640_at	44.2
40612_at	30.1
40569_at	145.5
40562_at	41.8
40560_at	21
40524_at	3.4
40489_at	61.6
40472_at	6.4
40465_at	114.2
40446_at	356.8
40420_at	276.7
40359_at	309
40284_at	4
40273_at	11.7
40255_at	62.3
40225_at	246.3
40189_at	784.3
40149_at	107.9
40148_at	4.7
40093_at	14.7
40020_at	74.4
40016_g_at	113.2
39966_at	34.9
39891_at	102.7
39854_r_at	254.8
39835_at	44.4
39817_s_at	183.4
39763_at	25.1
39729_at	353.6
39705_at	93.3
39650_s_at	64
396_f_at	699.9
39582_at	231
39549_at	1.1
39548_at	26.7
39402_at	265.3
39318_at	136.4
39313_at	13.7
39249_at	32.9
39248_at	241.8
38964_r_at	2062.9
38918_at	60.4
38892_at	145.8
38766_at	87.1
38710_at	291.8
38707_r_at	465.6
38703_at	266.3
38691_s_at	15.9
38671_at	157.9
38521_at	77.1
38487_at	117.4
38447_at	216.3
38398_at	175.9
38340_at	187.1
38290_at	227.5
38269_at	284.5
38241_at	131.3
38158_at	67.9
38157_at	10.4
38149_at	360
38069_at	154.8
38043_at	28.5
38037_at	35
37996_s_at	43.4
37986_at	64.1
37966_at	80.4
37965_at	127.2
37953_s_at	18.5
37950_at	43.7
37943_at	112.6
37892_at	3.4
37872_at	111.6
37860_at	179.6
37831_at	38.2
37802_r_at	22.4
37796_at	133.4
37793_r_at	82.4
37652_at	157.4
37590_g_at	77.9
37586_at	44.2
37577_at	63.5
37566_at	17
37549_g_at	60.3
37547_at	40.7
37512_at	0.9
37462_i_at	21.4
37433_at	15.8
37425_g_at	10.1
37424_at	9.7
37408_at	139.9
37384_at	239.1
37278_at	186.2
37254_at	89.1
37232_at	33.4
37226_at	69.3
37201_at	52.6
37170_at	6.7
37152_at	115.9
