ID_REF	control_5_VALUE
AFFX-TrpnX-M_at	10.7
AFFX-TrpnX-5_at	42.9
AFFX-TrpnX-3_at	5
AFFX-ThrX-M_at	17.5
AFFX-ThrX-5_at	6.6
AFFX-ThrX-3_at	26.1
AFFX-r2-P1-cre-5_at	32214.8
AFFX-r2-P1-cre-3_at	45591.4
AFFX-r2-Hs28SrRNA-M_at	163.2
AFFX-r2-Hs28SrRNA-5_at	203
AFFX-r2-Hs28SrRNA-3_at	431.3
AFFX-r2-Hs18SrRNA-M_x_at	277.2
AFFX-r2-Hs18SrRNA-5_at	325.6
AFFX-r2-Hs18SrRNA-3_s_at	290.9
AFFX-r2-Ec-bioD-5_at	10219.3
AFFX-r2-Ec-bioD-3_at	11500.9
AFFX-r2-Ec-bioC-5_at	2225.6
AFFX-r2-Ec-bioC-3_at	3207.7
AFFX-r2-Ec-bioB-M_at	1876.3
AFFX-r2-Ec-bioB-5_at	614.8
AFFX-r2-Ec-bioB-3_at	574.8
AFFX-r2-Bs-thr-M_s_at	114
AFFX-r2-Bs-thr-5_s_at	56.4
AFFX-r2-Bs-thr-3_s_at	12.2
AFFX-r2-Bs-phe-M_at	41.3
AFFX-r2-Bs-phe-5_at	4.3
AFFX-r2-Bs-phe-3_at	13.8
AFFX-r2-Bs-lys-M_at	54.1
AFFX-r2-Bs-lys-5_at	28.4
AFFX-r2-Bs-lys-3_at	94
AFFX-r2-Bs-dap-M_at	24.1
AFFX-r2-Bs-dap-5_at	7.9
AFFX-r2-Bs-dap-3_at	4.6
AFFX-PheX-M_at	3.9
AFFX-PheX-5_at	10.2
AFFX-PheX-3_at	70.8
AFFX-M27830_M_at	1188.8
AFFX-M27830_5_at	495.9
AFFX-M27830_3_at	33.8
AFFX-LysX-M_at	13.9
AFFX-LysX-5_at	29.5
AFFX-LysX-3_at	12.2
AFFX-HUMRGE/M10098_M_at	26.9
AFFX-HUMRGE/M10098_5_at	255.1
AFFX-HUMRGE/M10098_3_at	302.4
AFFX-HUMISGF3A/M97935_MB_at	87.7
AFFX-HUMISGF3A/M97935_MA_at	38.2
AFFX-HUMISGF3A/M97935_5_at	8.4
AFFX-HUMISGF3A/M97935_3_at	274
AFFX-HUMGAPDH/M33197_M_at	1260.1
AFFX-HUMGAPDH/M33197_5_at	1376.8
AFFX-HUMGAPDH/M33197_3_at	1812
AFFX-hum_alu_at	24719.7
AFFX-HSAC07/X00351_M_at	4044.3
AFFX-HSAC07/X00351_5_at	2966.8
AFFX-HSAC07/X00351_3_at	7447.6
AFFX-DapX-M_at	110.4
AFFX-DapX-5_at	55.2
AFFX-DapX-3_at	29.4
AFFX-CreX-5_at	18530
AFFX-CreX-3_at	31675.8
AFFX-BioDn-5_at	1279.7
AFFX-BioDn-3_at	9275.4
AFFX-BioC-5_at	2004.7
AFFX-BioC-3_at	1740.7
AFFX-BioB-M_at	1953.9
AFFX-BioB-5_at	470.3
AFFX-BioB-3_at	637.5
91952_at	81.6
91920_at	202.6
91826_at	25.3
91816_f_at	59
91703_at	42.6
91684_g_at	67.4
91682_at	226
91617_at	40.2
91580_at	86.7
90610_at	182.6
90265_at	453.8
89977_at	133
89948_at	103.8
89476_r_at	214.8
87100_at	24.7
823_at	75.6
81811_at	136.8
81737_at	18.1
79005_at	252.7
78495_at	53.9
78383_at	111.4
78330_at	46.3
78047_s_at	751.9
77508_r_at	704.1
76897_s_at	2.2
74694_s_at	97.7
71933_at	509.9
66053_at	56.5
65884_at	91.7
65770_at	36.5
65718_at	91
65635_at	422.4
65630_at	146.1
65591_at	142.6
65588_at	71.7
65585_at	94.5
65521_at	206.6
65517_at	181.7
65493_at	16.1
65472_at	23.3
65438_at	6.4
65133_i_at	37.7
65086_at	172.7
64942_at	189.5
64900_at	21.5
64899_at	44.1
64883_at	184.3
64488_at	88.8
64486_at	134.3
64474_g_at	79.4
64440_at	248.2
64438_at	136.2
64432_at	39.7
64418_at	186.1
64408_s_at	57.9
64371_at	224.9
64064_at	575.6
63825_at	9.4
635_s_at	34.8
63305_at	89.7
632_at	407.7
63009_at	166.5
62987_r_at	196.8
62212_at	73
61874_at	281.8
61734_at	33
61732_r_at	8.9
61297_at	15.4
60815_at	20.6
60794_f_at	38.8
60528_at	237.6
60474_at	66.7
60471_at	186.6
60084_at	9.6
59999_at	137.2
59705_at	69.4
59697_at	26.8
59644_at	143.3
59631_at	83.7
59625_at	22.4
59437_at	96.6
59433_at	71.8
59375_at	319.2
58994_at	46.9
58916_at	93.8
58900_at	546.4
58780_s_at	24.7
58696_at	29.9
58367_s_at	256.6
58308_at	47.3
57739_at	295.8
57715_at	114.4
57703_at	189.1
57588_at	49.3
57540_at	25.4
57539_at	79.2
57532_at	14.4
57516_at	67
57163_at	234.6
57082_at	460.1
56919_at	132.9
56829_at	296
56821_at	50.6
56748_at	91.7
564_at	237.9
56256_at	287.8
56197_at	906.8
55872_at	34.4
55705_at	5181.7
55692_at	26.3
55662_at	14.2
55616_at	180.4
55583_at	106.2
55093_at	78.8
55081_at	99.1
55065_at	106.1
54970_at	454.6
54632_at	91.7
54051_at	36.5
54037_at	44.6
53991_at	38
53987_at	118.3
53968_at	130.9
53912_at	197.3
53720_at	118.7
53202_at	32.7
53076_at	64.1
53071_s_at	68.2
52975_at	34.9
52940_at	262
52837_at	8.1
52741_at	68.8
52731_at	12.8
52651_at	144
52285_f_at	3.3
52255_s_at	161.9
52169_at	301.1
52164_at	65.5
52159_at	33.7
52078_at	52.2
52005_at	29.7
51774_s_at	661.9
51228_at	34.3
51226_at	105.9
51200_at	113.2
51192_at	34.3
51176_at	133
51158_at	134
51146_at	71.3
50965_at	198.8
50400_at	53.3
50376_at	176.3
50374_at	122.4
50314_i_at	262.7
50277_at	374.6
50221_at	93.3
49878_at	489.1
49679_s_at	37.3
49485_at	121.6
49452_at	30
49329_at	219.7
49327_at	737.6
49306_at	48
49111_at	197.6
49077_at	323.2
49051_g_at	85.2
49049_at	187.9
48825_at	107.5
48808_at	19.1
48659_at	482.2
48612_at	1292.2
48580_at	501.7
48531_at	245
48117_at	152.6
48106_at	307.1
48031_r_at	159.9
48030_i_at	768.1
47773_at	76.4
47608_at	195.9
47571_at	148.9
47560_at	119.1
47553_at	6.5
47550_at	74.2
47530_at	153.4
47105_at	25.1
47083_at	216.9
47069_at	126.5
46947_at	103.2
46665_at	96.9
46323_at	112.4
46270_at	246.3
46256_at	477.3
46167_at	38.9
46142_at	8.3
45828_at	142.8
45749_at	283.2
45714_at	41.1
45687_at	151.1
45653_at	44.7
45633_at	5.8
45572_s_at	403
45526_g_at	533.5
45297_at	25.2
45288_at	4
44822_s_at	24.2
44790_s_at	164.6
44783_s_at	132.7
44702_at	177.2
