ID_REF	control_11_VALUE
AFFX-TrpnX-M_at	3.9
AFFX-TrpnX-5_at	5.6
AFFX-TrpnX-3_at	25.5
AFFX-ThrX-M_at	4.4
AFFX-ThrX-5_at	7.2
AFFX-ThrX-3_at	7.6
AFFX-r2-P1-cre-5_at	32764.6
AFFX-r2-P1-cre-3_at	43827.5
AFFX-r2-Hs28SrRNA-M_at	128
AFFX-r2-Hs28SrRNA-5_at	133
AFFX-r2-Hs28SrRNA-3_at	311.6
AFFX-r2-Hs18SrRNA-M_x_at	180.8
AFFX-r2-Hs18SrRNA-5_at	209.7
AFFX-r2-Hs18SrRNA-3_s_at	261.2
AFFX-r2-Ec-bioD-5_at	6577
AFFX-r2-Ec-bioD-3_at	7590.8
AFFX-r2-Ec-bioC-5_at	2328.8
AFFX-r2-Ec-bioC-3_at	2391.4
AFFX-r2-Ec-bioB-M_at	1402.6
AFFX-r2-Ec-bioB-5_at	560.3
AFFX-r2-Ec-bioB-3_at	680.2
AFFX-r2-Bs-thr-M_s_at	63.8
AFFX-r2-Bs-thr-5_s_at	77.1
AFFX-r2-Bs-thr-3_s_at	4.9
AFFX-r2-Bs-phe-M_at	47.8
AFFX-r2-Bs-phe-5_at	1.6
AFFX-r2-Bs-phe-3_at	57.2
AFFX-r2-Bs-lys-M_at	58.4
AFFX-r2-Bs-lys-5_at	7
AFFX-r2-Bs-lys-3_at	45.4
AFFX-r2-Bs-dap-M_at	47.8
AFFX-r2-Bs-dap-5_at	3.2
AFFX-r2-Bs-dap-3_at	33.8
AFFX-PheX-M_at	17.3
AFFX-PheX-5_at	3
AFFX-PheX-3_at	51.9
AFFX-M27830_M_at	363.6
AFFX-M27830_5_at	384.4
AFFX-M27830_3_at	34.5
AFFX-LysX-M_at	22.9
AFFX-LysX-5_at	4.5
AFFX-LysX-3_at	26.3
AFFX-HUMRGE/M10098_M_at	128.7
AFFX-HUMRGE/M10098_5_at	217.6
AFFX-HUMRGE/M10098_3_at	341.1
AFFX-HUMISGF3A/M97935_MB_at	90.2
AFFX-HUMISGF3A/M97935_MA_at	164.9
AFFX-HUMISGF3A/M97935_5_at	28.7
AFFX-HUMISGF3A/M97935_3_at	141.6
AFFX-HUMGAPDH/M33197_M_at	2902.3
AFFX-HUMGAPDH/M33197_5_at	2520.7
AFFX-HUMGAPDH/M33197_3_at	3664.9
AFFX-hum_alu_at	36451.6
AFFX-HSAC07/X00351_M_at	7629.5
AFFX-HSAC07/X00351_5_at	4258.3
AFFX-HSAC07/X00351_3_at	11503.3
AFFX-DapX-M_at	34.5
AFFX-DapX-5_at	2.8
AFFX-DapX-3_at	3.6
AFFX-CreX-5_at	17292.3
AFFX-CreX-3_at	27363.3
AFFX-BioDn-5_at	983.8
AFFX-BioDn-3_at	8268.6
AFFX-BioC-5_at	1862.4
AFFX-BioC-3_at	1372.5
AFFX-BioB-M_at	1832
AFFX-BioB-5_at	527.6
AFFX-BioB-3_at	602.8
91952_at	43.9
91920_at	163.7
91826_at	16.8
91816_f_at	84.9
91703_at	12.6
91684_g_at	62.7
91682_at	155.2
91617_at	45.4
91580_at	92.4
90610_at	284.2
90265_at	601.9
89977_at	127.3
89948_at	19.8
